"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2bebcb66-2fd7-4ba4-b44a-d77c10afdbbe","","not-started","Inground","checklist","FALSE","FALSE","Inground"
"b76683e1-c968-4758-b72a-15534a208954","","work-in-progress","","folder","TRUE","FALSE","Penetrations"
"69c1dcd7-7490-4b8b-994b-c0ba5a750d51","","not-started","","folder","TRUE","FALSE","Penetrations","Basement"
"d8926257-9c62-4266-b941-09791db07f3b","","not-started","Penetrations","checklist","FALSE","FALSE","Penetrations","Basement","Male Toilets"
"ab3f1c07-57f8-4f37-896f-79170c03daf2","","no-status-not-started","","folder","TRUE","FALSE","Penetrations","Ground"
"b6bd9c71-1e22-4451-ac19-d20ae24fb96f","","no-status-not-started","","folder","TRUE","FALSE","Penetrations","Level 1"
"f666822c-ecc1-49e2-a49f-a52a6b65d609","","no-status-not-started","","folder","TRUE","FALSE","Penetrations","Level 1","Roughins "
"4c1f78e2-d474-461b-a226-c77be1128448","","no-status-not-started","","folder","TRUE","FALSE","Penetrations","Level 1","Drainage"
"92117430-01b6-45ca-a1c5-f35cac2fb45d","","no-status-not-started","","folder","TRUE","FALSE","Penetrations","Level 1","Water riser"
"eee6ba52-8412-4627-9584-62e3258d9bb6","","not-started","","folder","TRUE","FALSE","Penetrations","Level 2"
"084e4209-b13c-48be-8320-a6b2bdb1f6be","","not-started","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 2","201"
"8e1366ec-1cdf-47cd-aadd-f5bb189aa0f5","","not-started","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 2","202"
"80cb7544-7dd8-4d58-b61d-3f6908becf76","","not-started","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 2","203"
"4a03f8aa-dc5d-440e-93bc-a284bac35af0","","not-started","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 2","204"
"91fea75e-ecda-4f4e-9340-e6b1b4bbd191","","pass","","folder","TRUE","FALSE","Penetrations","Level 3"
"e54bfa6f-ee97-425b-a1a7-54868029630e","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","301"
"13b2606c-80e5-4606-9eeb-27d6e3bc4d20","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","302"
"a22bc4ad-c1b7-42c3-b7ff-a4d2da72efc7","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","303"
"963b9228-5561-4eef-9401-9814440491d8","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","304"
"823e265e-ec82-4ebb-ba34-1186039d3827","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","305"
"40722944-9a34-452c-b3f3-a43bc64f9fd4","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","306"
"e81dd5e9-d63b-47fb-a8f9-32e34f42c7e8","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","307"
"7ed7a118-989c-427d-8df3-7f5d1583fb10","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","308"
"38e97c78-a085-4c6a-85bd-10808cdfa2c9","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","309"
"6b14ec57-496b-40f2-8e20-f22ffa0c22c1","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","310"
"590f2e26-8160-4d38-a53c-b41266bf15e7","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","311"
"b4570eef-ba55-48a5-afc6-e84f6182eb88","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","312"
"9112996d-9458-46a9-8eed-1ea19ad7e95c","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","313"
"ad87f6c9-af4e-4545-8690-bb6a7ac35a21","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","314"
"c70ac635-ea1e-429c-98af-a07164a30246","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","315"
"386ec150-c05d-4111-922f-d0fcc8d773ee","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","316"
"32c55d15-5cd5-466a-b66b-2449eeec4dbc","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","317"
"137db9ed-f7b4-4f2f-b044-fb03ef05335a","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","318"
"31d915f5-e16c-4775-9274-c278e15c4373","","pass","Penetrations","checklist","FALSE","FALSE","Penetrations","Level 3","319"
