Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Wall Closure Rough In,,,,,,,,,,
,Scope,,,Site QA,,,,,,
,Rows,,,,,,,,,
,,Basement 1,grouping,Basement 1,,,,,,
,,Basement 1 - Air conditioning to Main switch Room (AC-B.01),,Site QA,Rough-In,Basement 1,Air conditioning to Main switch Room (AC-B.01),Wall Closure Checklist 1 Rough In [A],,
,,Basement 1 - Air conditioning to Main switch Room (AC-B.02),,Site QA,Rough-In,Basement 1,Air conditioning to Main switch Room (AC-B.02),Wall Closure Checklist 1 Rough In [A],,
,,BLK-A,grouping,BLK-A,,,,,,
,,BLK-A - Level 3 - Apartment Wall Closure - A311,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A311,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A312,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A312,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A313,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A313,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A314,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A314,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A315,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A315,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A316,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A316,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A317,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A317,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A318,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A318,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A319,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A319,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 3 - Apartment Wall Closure - A320,,Site QA,Rough-In,BLK-A,Level 3,Apartment Wall Closure,A320,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 4 - Apartment Wall Closure - A411,,Site QA,Rough-In,BLK-A,Level 4,Apartment Wall Closure,A411,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 4 - Apartment Wall Closure - A412,,Site QA,Rough-In,BLK-A,Level 4,Apartment Wall Closure,A412,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 4 - Apartment Wall Closure - A413,,Site QA,Rough-In,BLK-A,Level 4,Apartment Wall Closure,A413,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 4 - Apartment Wall Closure - A414,,Site QA,Rough-In,BLK-A,Level 4,Apartment Wall Closure,A414,Wall Closure Checklist 1 Rough In [A]
,,BLK-A - Level 4 - Apartment Wall Closure - A415,,Site QA,Rough-In,BLK-A,Level 4,Apartment Wall Closure,A415,Wall Closure Checklist 1 Rough In [A]
