"","Details","Set-Out","Formwork","Reinforcement & PT - Checklist","Safety","Concrete Pre-Pour Checklist","Concrete Placement"
"Lower Ground - Zone 1B - Plinth",,,,,,,
"Ground - Zone 1C - Mezz. Floor",,,,,,,
"Level 1 - Zone 1A - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 1 - Zone 1A - Office",,,,,,,
"Level 1 - Zone 1A - Corridor",,,,,,,
"Level 1 - Zone 1B - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 1 - Zone 1B - Office",,,,,,,
"Level 1 - Zone 1B - Corridor",,,,,,,
"Level 1 - Zone 1C - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 1 - Zone 1C - Corridor","pass","pass","pass","pass","pass","pass","pass"
"Level 1 - Zone 1C - Mezz. Floor",,,,,,,
"Level 1 - Zone 1D - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 1 - Zone 1D - Corridor",,,,,,,
"Level 1 - Zone 1D - Mezz. Floor",,,,,,,
"Level 1 - Zone 1E - Office",,,,,,,
"Level 2 - Zone 1A - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 2 - Zone 1A - Office",,,,,,,
"Level 2 - Zone 1A - Corridor",,,,,,,
"Level 2 - Zone 1B - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 2 - Zone 1B - Office",,,,,,,
"Level 2 - Zone 1B - Corridor",,,,,,,
"Level 2 - Zone 1C - Hollowcore",,,,,,,
"Level 2 - Zone 1C - Corridor",,,,,,,
"Level 2 - Zone 1C - Mezz. Floor",,,,,,,
"Level 2 - Zone 1D - Hollowcore","pass","pass","pass","pass","pass","pass","pass"
"Level 2 - Zone 1D - Corridor",,,,,,,
"Level 2 - Zone 1D - Mezz. Floor",,,,,,,
"Level 2 - Zone 1E - Office",,,,,,,
"Upper Level - Zone 1A - Switch Room Roof",,,,,,,
"Upper Level - Zone 1A - Plinths",,,,,,,
"Upper Level - Zone 1B - Switch Room Roof",,,,,,,
"Upper Level - Zone 1B - Plinths",,,,,,,
"Upper Level - Zone 1C - Switch Room Roof",,,,,,,
"Upper Level - Zone 1C - Plinths",,,,,,,
"Upper Level - Zone 1D - Switch Room Roof",,,,,,,
"Upper Level - Zone 1D - Plinths",,,,,,,
