"","Reo","IFC Drawing","data:Steel Supplier","data:Other Steel Supplier","data:Reo Manufacture date DD/MM/YY","Cage dimensions","Fittings marked","Formwork","Formwork ready to commence","data:Panel type","data:Other Panel type","data:Panel difficulty","data:Location","data:Other Location","data:Quantity","data:Panel Weight (t)","data:Volume (m3)","data:Manufacture date DD/MM/YY","Formwork dimensions","data:Panel thickness","data:Thickness projection","data:Panel width","data:Width projection","data:Panel height","data:Height projection","Square","Silicone Bed","Edge Form/ Fillets","Position of reinforcement","Lifting devices securely/in place","Fittings locations V2","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Lifting devices securely/in place V3","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Ready to pour","data:Notes/Changes","Pre Pouring","Take a picture or attach copy of concrete doc","data:Concrete Supplier","data:Other Concrete Supplier","data:Concrete schedule docket #","data:Pouring date DD/MM/YY","data:Concrete Requisition (m3)","Correct mix being used","data:28 Mpa required","data:Other Mpa required","data:Type of concrete","data:Other Type of concrete","data:Concrete strength tested","Post Production","Post Production ready to commence - Lifting Mpa","data:Date panel stripped","data:Location (Rack #)","data:Other Location","Fitments removed (GT Caps, fillets, Ferrule caps)","Correct dimensions","Bulges, Dents and airholes within tolerances","Cracks within tolerances","Marking","Panel conform to specifications/ tolerances","data:Patching/fixing required","Concrete Test results (28 days result)","Storage","Inserts/Rebates removed","Filling points/lifters exposed","data:Location (Rack #)","data:Other Location (Rack #)","data:Status"
"Building A - Level 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A-L1C01","pass","pass","","","27/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","3.1U","1","2.61","1.09","27/09/22","pass","300","pass","1200","pass","3020","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," PSA Foot Anchor 5t","","pass","","pass","pass","Ausmix","","57348","27/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","17","","pass"
"A-L1C02","pass","pass","","","27/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","3.2U","1","2.75","1.14","27/09/22","pass","300","pass","1200","pass","3180","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," PSA Foot Anchor 5t","","pass","","pass","pass","Ausmix","","57348","27/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","18","","pass"
"A-L1C03","pass","pass","","","07/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.2","1","2.36","0.94","07/10/22","pass","300","pass","1000","pass","3140","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","58124","08/10/22","4.2","pass","pass","pass"," 50/20/200","","Yes","pass","pass","10/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","12","","pass"
"A-L1C62","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1U","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifers removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58583","17/10/22","4.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","18/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C63","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifers removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58583","17/10/22","4.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","18/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C64","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.2","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifers removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58583","17/10/22","4.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","18/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C65","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.2U","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifers removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58583","17/10/22","4.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","18/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C66","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.1","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","2 Edge lifters removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58640","18/10/22","6.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C67","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.1U","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","2 Edge lifters removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58640","18/10/22","6.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
