"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Building wrap and cladding system","dynamic","building wrap and cladding system"
,"Columns"
,,"Wall Strapping",,"wall strapping"
,,"External Framing",,"external framing"
,,"Internal Framing",,"internal framing"
,,"Doors",,"doors"
,,"Architrave",,"architrave"
,,"Trims",,"trims"
,,"Wraps/Tape Install",,"wraps/tape install"

