"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Lift Pit",,"lift pit"
,,"Water meter room",,"water meter room"
,,"Refuse Room",,"refuse room"
,,"Gas meter room",,"gas meter room"
,,"Planter 1",,"planter 1"
,,"Planter 2",,"planter 2"
,,"Planter 3",,"planter 3"
,,"Planter 4",,"planter 4"
,,"Planter - Between Units 6 & 7",,"planter - between units 6 & 7"
,,"Planter - Unit 9",,"planter - unit 9"
,,"Planter - Unit 1901",,"planter - unit 1901"
,,"Planter - Units 1901b & 1902",,"planter - units 1901b & 1902"
,,"Planter - Unit 1903",,"planter - unit 1903"
,,"Planter - Between Units 1903 & 1904",,"planter - between units 1903 & 1904"
,,"Planter Unit 1904",,"planter unit 1904"
,,"Plant Deck",,"plant deck"
,,"Planter - Wellness Deck Area",,"planter - wellness deck area"
,,"Planter - Cinema Area",,"planter - cinema area"
,,"Planter - BBQ 1 Area",,"planter - bbq 1 area"
,,"Planter - BBQ 2 Area",,"planter - bbq 2 area"
,,"Planter - Pool Area",,"planter - pool area"
,,"Planter - Lawn Area",,"plantr - lawn area"
,,"Unit 101",,"unit 101"
,,"Gym",,"gym"
,,"Lobby",,"lobby"
,,"Wet Area",,"wet area"
,,"Balconies",,"balconies"
,,"SSL Under pool deck & shell",,"ssl under pool deck & shell"
,,"Pool deck & recreational area under tiles",,"pool deck & recreational area under tiles"
,,"Under timber deck and Under Lawn",,"under timber deck and under lawn"

