"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8f7371f9-3601-4740-aa57-be84cc8cac64","","not-started","SNSW Maintenance - Lighting Audit - Final check","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Lighting Audit - Final check"
"e87b25c1-f4b3-481c-892e-178b800433e4","","not-started","SNSW Maintenance - Distribution Board","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Distribution Board"
"3039b804-73c7-4978-a5b6-a7ea30124ae2","","not-started","SNSW Maintenance - Distribution Board - Final check","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Distribution Board - Final check"
"84966b3a-43da-40d8-9a9a-a9ad689bb8e0","","not-started","SNSW Maintenance - Thermal Imagery","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Thermal Imagery"
"9cb0f239-7e86-444f-b861-a1e3e03a11c1","","not-started","SNSW Maintenance - Thermal Imagery - Final check","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Thermal Imagery - Final check"
"efd252ce-c439-492f-896d-73eca9c23b35","","not-started","SNSW Maintenance - RCD Testing","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - RCD Testing"
"7a4fb4f0-bab4-43bf-be22-4927829df73d","","not-started","SNSW Maintenance - Comms Rack","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Comms Rack"
"a9f14dd1-9494-4344-9954-d8c3ad0f4e94","","not-started","SNSW Maintenance - Comms Rack - Final check","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Comms Rack - Final check"
"f4425b2b-30f8-461f-937d-89507e753e04","","no-status-not-started","SNSW Maintenance - Test and Tag","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Test and Tag"
"b98052ce-2a3a-4da8-a76e-6f73ceb6f2b7","","not-started","SNSW Maintenance - Test and Tag - Final check","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Test and Tag - Final check"
"61eb9e41-0ea3-48d8-a012-3db48c56193b","","no-status-not-started","SNSW Maintenance - General maintenance","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - General maintenance"
"5d1c67bc-d31d-4103-acfc-118327c113c9","","not-started","SNSW Maintenance - General maintenance - Final check","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - General maintenance - Final check"
"c78d8c9c-986d-422e-8823-521691f291ec","","no-status-not-started","SNSW Maintenance - Additional Notes","checklist","FALSE","FALSE","Auburn Service Centre","SNSW Maintenance - Additional Notes"
"9aa41162-fba2-411e-9b49-1b7e3be4c57a","","not-started","","folder","TRUE","FALSE","Ballina Service Centre"
"c6d0376a-9f84-444a-b16a-545c8642e089","","no-status-not-started","SNSW Maintenance - Building details","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Building details"
"4a704a12-96ea-44ec-a341-926f69601a02","","not-started","SNSW Maintenance - Site Information","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Site Information"
"fc40119d-5a64-47be-b7e3-958970499680","","not-started","SNSW Maintenance - Site information - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Site information - Final check"
"13b0dd5c-ff53-4c48-bfcb-5f4e6d17fb97","","not-started","SNSW Maintenance - Emergency Lighting","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Emergency Lighting"
"ac851898-eaeb-4e30-9dfb-6aa19ad8d2ed","","not-started","SNSW Maintenance - Emergency Lighting - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Emergency Lighting - Final check"
"8224ccd1-b183-4baa-a123-2b6ee1d43942","","not-started","SNSW Maintenance - Lighting Audit","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Lighting Audit"
