"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e2feba77-4219-464d-b71c-afff05b8414e","","folder-normal","","","step","TRUE","FALSE","Switchboard"
"409a7b20-5ad1-411c-9646-c415b7924597","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-A"
"add86a54-a533-4e03-94ef-34719b008803","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-A.2"
"1ff7be8a-57f7-4140-ac3e-7a79bca7bac5","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-CB"
"1836edba-bf22-4caf-a5e4-d2c9df298df8","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-CH"
"e97aeaa9-6078-4b10-98c0-67389b1eb872","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-DO"
"88491680-d441-4352-bfef-1c815fe9f25f","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-E"
"b2e6bde3-8aee-43a3-90f4-9b5f26b40fe5","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-EC"
"4c7f762c-69ee-48f2-8ffe-345b44ef35f6","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-GHN"
"80f6a78b-1673-433c-b9cb-2aeebd7acc98","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-GHS"
"1b5abb72-7d1f-4bcd-8ca5-cde5f1b5e114","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-PC"
"69b07bfa-87d8-4037-9a5b-4f0cc9d845bf","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-RO"
"94a0d0de-c4f3-43c0-8a72-e76fd6efb98f","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SPINE"
"2df6559d-5225-4797-9dc6-580e231ee8fa","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SPINE 1"
"f10b3f38-87dd-4ad2-a025-d67af4b6e53d","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SPINE 2"
"abccddc8-61bd-4163-8dd8-38a4c820766f","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SPINE 3"
"8630a09b-28f0-4bd2-89be-f6d012249c31","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-TM"
"ad2fa052-059c-4c2b-9b24-bc0d15b0d318","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-WS"
"10fa15eb-a821-4c95-8f5a-e81f1d672a7d","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SP-1"
"da2c7d22-0fb0-469b-93ff-6860dbd58617","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SP-2"
"dfec6e1f-79f9-4eb3-a174-10081f6ce1b0","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SP-3"
"3d1183b4-26f3-498b-989f-40687ec59e0e","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-SP-4"
"4dca550e-220d-4b41-b636-c1c562ab30ad","","checklist-flat","","MSSB Checklist","checklist-flat","FALSE","FALSE","Switchboard","MSSB-ESS"
"a0d2fa4d-0071-4cb8-a33d-93101f39c50b","","folder-normal","","","step","TRUE","FALSE","Variable Speed Drives"
"506219c6-e089-413e-887d-44f939f62f31","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-HB-1"
"d10474e0-2794-4a06-a819-48e599b39a6c","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-HB-4"
"0da65fe5-a6f4-45a5-82d8-8de2a4eba5c8","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-HB-5"
"47ae250a-33b5-464a-8c65-86330f4f75a0","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-HB-7"
"3ad18ec7-c7fc-4fa5-be47-b81f9d5857d0","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-CB-1"
"a00b8c11-8663-40c7-b2a7-5cc79481f9c2","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-CB-2"
"ed8163a6-ca92-4ee6-9cef-f9083008ae8c","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-CB-3"
"5c542370-23b8-4aad-be06-9dfbfdb24750","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-CB-4"
"23a8685d-33cd-45c9-a2fb-fe4937c0af99","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-CB-5"
"0dbe939d-2762-47b6-abc8-bb1f28761414","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SEF-CB-6"
"cdd06ae0-74b3-4fb3-a874-aa1abc09351a","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SPF-1"
"958d04d0-ac34-4cac-9f8b-822c939732f5","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SPF-2"
"e67ee5f1-762e-4dab-a4dd-4ee0c71454fb","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SPF-3"
"59323db5-ac05-4e68-85db-c239f9053aa5","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SPF-4"
"4e40f248-6328-42d3-b226-b2d9ced168df","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-EAF-PC-1"
"95316b9a-4409-4cab-b2da-167242256dd3","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-EAF-PC-2"
"1f643e99-4f72-46db-88a7-7d635a4ed176","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-EAF-PC-3"
"708f24e8-fe84-4266-83ef-9e85a4ade160","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-EAF-PC-4"
"d411b675-509c-4dff-b0c5-7dd5a2124fde","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SAF-EC-1A"
"c9a3f09e-7b30-40bc-a664-3096c510514c","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SAF-EC-1B"
"83f83728-9446-4f6e-8270-5370adfcdd8e","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-SAF-EC-2"
"3414a202-062b-4225-8a30-8e9ef4f57af4","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-CHWP-RL-1"
"20b82438-f729-45b4-8297-df97ea550e00","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-CHWP-RL-2"
"dfca7b9f-f80a-4269-a347-78de2f1266fc","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-CHWP-RL-3"
"4b81aa7f-f3a0-4d15-bf31-1c322528a80a","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-CHWP-RL-4"
"047cfad3-6a57-4378-aa00-385915a8d5bc","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-CHWP-RL-5"
"e24537de-d72a-4431-9665-debd17367a5e","","checklist-flat","","VSD Checklist","checklist-flat","FALSE","FALSE","Variable Speed Drives","VSD-CHWP-RL-6"
"1f9ca1af-a6ad-4c38-b132-2c6f2e0648be","","folder-normal","","","step","TRUE","FALSE","Smoke Clearance Fans"
