"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4656e173-837b-417b-9e0c-679fbbaac0ec","","folder-normal","not-started","","step","TRUE","FALSE","North"
"a6140186-cd4a-4a27-b08f-57cc3fb84dbc","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","D01"
"dec3e680-e3ca-4e91-8f7c-961456bc93ae","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","D02"
"7dbca240-9498-4831-8e5e-abf142c96fcb","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","D03"
"0d8e94dd-a5c7-41f0-9cc9-9db5ac1b85a6","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","D06"
"cec01aab-f520-4e36-9855-f79d524bb957","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W01"
"6cfca7e9-65f1-492b-acc8-5078f7bc95a4","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W02"
"d2f231fa-9cde-4009-9724-a16519101e87","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W03"
"3b7f9017-8fbe-43db-baa2-17f66485a07f","","folder-normal","not-started","","step","TRUE","FALSE","East"
"11a353f9-cb0a-43b3-82f0-fffef4adf7c0","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","East","D04"
"596161f0-7fe0-474b-a30f-12e766092ac8","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","East","D05"
"179c2be0-8baa-45bb-9b77-f0414efea492","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","East","W04"
"9365d1fe-efae-4286-9806-4975c89bc2c3","","folder-normal","not-started","","step","TRUE","FALSE","South"
"4d453909-3442-4ac1-90f7-2113aa97fd7b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W05"
"aa1cac8a-f969-4420-af4d-9ba4509204bc","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W06"
"6faefcda-9b29-4240-99dc-59eeb49d12b9","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W07"
"490f3e66-42a8-4f34-8996-abdebb3dbe46","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W08"
"92fdc3e8-d1c1-40aa-8b83-da161e0d07f7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W09"
"7f3c8abd-6839-4267-9bf5-67a45c634f12","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W13"
"cfd7f2be-30b3-4b6c-a3d3-2aaba8004a40","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W14"
"4847fa1a-92ed-4467-9e13-bba66187bc89","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W15"
"bc7b0b7e-d296-481b-ba64-dca967716db0","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W16"
"ae888e0f-9c22-4f40-aafd-192ba940e53e","","folder-normal","not-started","","step","TRUE","FALSE","West"
"8209ecea-3099-424f-ad08-716b7e5736bb","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","West","W10"
"8f86455b-3546-4908-9b7c-7171a17bcc2d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","West","W11"
"d760728f-efe1-4344-b014-f696d9b053ea","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","West","W12"
