resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,
,step,,,Level 2,,,,,,,,,,,,,,
,step,,,,FDR-4244.01,,,,,,,,,,,,,
,step,,,,,Rack: 4244.01-PPC-00001,,,,,,,,,,,,
Communications - Cabinet,checklist,,,,,,Cabinet ITC,,,,,,,,,,,
,step,,,,,,Patch Panel: 4244.01-PPT-00001,,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-001,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-002,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-003,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-004,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-005,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-006,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-007,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-008,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-009,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-010,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-011,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-012,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-013,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-014,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-015,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-016,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-017,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-018,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-019,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-020,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-021,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-022,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-023,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-024,,,,,,,,,,
,step,,,,,,Patch Panel: 4244.01-PPT-00002,,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-025,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-026,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-027,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-028,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-029,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-030,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-031,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-032,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-033,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-034,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-035,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-036,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-037,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-038,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-039,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-040,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-041,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-042,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-043,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-044,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-045,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-046,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-047,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-048,,,,,,,,,,
,step,,,,,,Patch Panel: 4244.01-PPT-00003,,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-049,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-050,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-051,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-052,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-053,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-054,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-055,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-056,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-057,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-058,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-059,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-060,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-061,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-062,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-063,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-064,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-065,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-066,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-067,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-068,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-069,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-070,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-071,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-072,,,,,,,,,,
,step,,,,,,Patch Panel: 4244.01-PPT-00004,,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-073,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-074,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-075,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-076,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-077,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-078,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-079,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-080,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-081,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-082,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-083,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-084,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-085,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-086,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-087,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-088,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-089,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-090,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-091,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-092,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-093,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-094,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-095,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-096,,,,,,,,,,
,step,,,,,,Patch Panel: 4244.01-PPT-00005,,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-097,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-098,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-099,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-100,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-101,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-102,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-103,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-104,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-105,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-106,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-107,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-108,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-109,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-110,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-111,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-112,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-113,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-114,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-115,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-116,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-117,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-118,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-119,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-120,,,,,,,,,,
,step,,,,,,Patch Panel: 4244.01-PPT-00006,,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-121,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-122,,,,,,,,,,
Communications - Copper,checklist,,,,,,,4244.01-123,,,,,,,,,,
