"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c4b20986-af63-4b50-92fd-576010aaae24","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B13"
"b8c03177-83b7-4059-bbcd-016b51a95848","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B14"
"f0b66702-f8f6-461e-867b-a460690e2504","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B15"
"5553a370-f66f-48d7-abdf-9a7aef075554","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B16"
"c0040668-2844-44f7-b80f-82b934bf2862","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B17"
"c846c8db-ac17-429f-8f76-16e4f44da5b7","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B18"
"b97b8499-b85b-442b-ab6e-d73abcfda234","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B19"
"e83651e2-52a8-4005-a711-4be97525e050","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B20"
"fbebbdd0-5d77-41a5-9c57-49cce0325925","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B21"
"2b98caa2-0863-4e18-a32d-129a763b7cbf","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B22"
"19ac5a5c-f5a1-4f85-9b6d-76f1d3a732b1","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B23"
"e7c53c4e-23d9-4a56-b86a-d125ff4c403e","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B24"
"88f1d9a0-3bc2-42e9-8a7c-860292ab357c","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B25"
"21b2d523-47a7-42b2-92ff-c4bd1c9dcb17","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B26"
"50c70ed6-2a8b-4c1c-ad4e-378ed672f992","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B27"
"e236a9e7-43eb-41e4-801d-4e02af6e1a15","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B28"
"d86ca459-99df-44d9-99d3-1909fbe97dd8","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B29"
"95702403-89d3-4d14-aedf-2912b6549d51","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B30"
"719b4574-c127-4aaa-bdb7-f2cc62c6ee20","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B31"
"6a7ce0c9-0750-4567-b5ec-c723c98248d5","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B32"
"40a4c3cb-ff85-4cb9-9b1a-cc457f931b7e","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B33"
"197a6089-5dfa-44f8-9683-1acb9d005b84","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B34"
"1ad8617b-0a13-42bf-b283-19d30129a6d2","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B35"
"4a20a242-c717-4cd4-9781-8deb46c52b32","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B36"
"4c66b89b-310d-4518-9eee-54859ae4ebb8","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B37"
"8251ce1c-4fea-4a8b-bbdf-f5fa3dc67c8e","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B38"
"aa68b820-694d-4683-8ece-b8391c636a2b","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-1"
"2a332dfe-2c32-4c01-9693-7129398e9f81","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-2"
"44292f67-00fc-47ad-a04d-a05a847aade8","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-3"
"1f64de36-eb14-4733-a67e-304242d03732","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-4"
"1be50cad-a5a9-49dc-82a2-8a562fa25638","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-5"
"5174f040-5a42-4369-aa46-7cf314989b9b","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-6"
"b433b37d-37f6-4994-9246-e34fe7228cc6","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-7"
"05bb01f0-6f14-4e4d-88ee-829aaf29c0d6","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-8"
"7f1033fe-d153-4c51-8757-f301241eb394","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-9"
"5934a907-393b-40ac-8399-626055048a69","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-10"
"be31050d-5231-4bae-90fd-012a9a56e5c7","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-11"
"332bb9cb-8a4d-42b5-ba32-4d313eab240d","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-12"
"b392fe88-d2b4-4980-8f84-495dbc3141d6","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-13"
"7490780f-8517-43b3-8f5d-f0c33723e782","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-14"
"bb1b5ad7-b45c-41c6-8a25-963bad2cf507","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-15"
"acecdee5-a79f-42d8-adf8-bf2e0969eb05","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-16"
"80509033-a4ce-4c62-a30c-a69aadd03422","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-17"
"7867dfb1-fd27-43cf-8591-7c50321d3866","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-18"
"47c14768-1a04-4e2d-9a76-d8c46c97c548","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-19"
"9f136c40-44b3-42fe-b802-04ea36b68d57","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-20"
"9ed29e29-64ab-42f6-b01c-a257eb242d47","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-21"
"9dc81cfc-3cd6-4c40-b3dd-74410759a982","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-22"
"3465c443-b5a6-429d-81a9-496b66d93ac3","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-23"
"5226136c-5fe0-4163-a6c4-7d72c3fc27e9","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-24"
"f489c8b2-9380-4f91-ae94-04c320fa4cad","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-25"
"cf796d58-0d32-425a-a4ce-44327bf2e806","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-26"
"31353ab4-3f31-4072-8537-5cb9951db967","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-27"
"38b0706d-2f91-4400-84e4-708b0819ab1e","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-28"
"1cffb94d-93da-42d3-bc4b-f7e9cb62009d","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-29"
"c8ae44e3-4b5b-4258-9585-3402bafbd0b5","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-30"
"851f2d15-0481-40e5-939f-cbf9f215ba7c","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-31"
"a50bc6e5-753f-425c-a2b6-c9227f049167","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-32"
"b7d5026e-500d-4056-956d-a2e8efeed47d","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-33"
"c50fadb6-b8a0-4422-88d8-f99028168fd6","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-34"
"18f912a2-e9ff-40c3-bc97-4c8b805de230","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-35"
"b163d461-2d9d-4aae-88f3-298642e39b76","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-36"
"05d7d7a8-3ec1-4a8d-a2ae-d8416775b067","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-37"
"8da795a1-d741-4b01-9551-c597ef4a1e4c","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-38"
"f789dbc4-9e55-40dc-9941-f99c18dbfcab","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-39"
"8c81547a-3126-405d-9142-20b406d670ae","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-40"
"154ab20c-815b-47d0-8767-f8ca044b75c5","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-41"
"3748b319-2403-4ff6-ac4d-a040a73ca540","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-42"
"ff6eb433-cc63-4a5c-afe2-f6ce1885aedf","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-43"
"5f31a405-8d75-4d2f-ad9a-b4fad9b6bcd4","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-44"
"f257fbef-4273-4628-8a7c-9e65a3431ec7","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-45"
"84196d04-bbce-412e-8540-4aa78c8e3ad2","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-46"
"fe32c34c-f605-4a1f-8246-a9b1c08972b0","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-47"
"3d95f231-8419-4385-a07d-026501ae0805","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-48"
"bd896935-744a-47ce-9875-2154caf12410","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-49"
"661bd1dc-415c-4de3-8975-a8b5372046cd","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-50"
"6b27c5ce-69aa-45ca-8f31-8d3862b6bfa3","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-51"
"d243efdb-d84a-456a-a197-b2fd7c1ac0c7","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-52"
"38bc1b21-2576-4375-ad0d-13a832e3e4de","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-53"
"479a3b69-bff5-43e5-b391-504c9937f6ff","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-54"
"e0f92ae8-bf40-4eee-a330-6a7eacf92fbf","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-55"
"0d60d8a3-4e8f-4407-8b24-4f249919c890","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-56"
"73765204-a1be-4b6c-bf0c-cca7e909ed14","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-57"
"ad62b9a1-dae9-4bc2-8c50-99f6a8b07b80","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-58"
"d407fa9b-faf1-4a3e-b184-3a90e00721a1","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-59"
"56ff9322-8c5f-41a6-911d-18e782898079","","work-in-progress","Installers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","P-60"
