"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2282fc10-c29f-4e97-8a3d-946c87f6998e","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B12"
"7e28b07a-282f-4392-b0cf-45fd4e7d702f","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B13"
"dda2e522-974f-4c4f-a9c8-911f9a8ba6f1","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B14"
"b1e1ba38-b0b9-415f-9ca5-78c8a4779fa3","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B15"
"c9b6997c-1230-4f80-aa21-6adc8b379a7f","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B16"
"4328ab7f-2c70-455b-881b-5b7168c428f8","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B17"
"417e727f-a889-4f85-9272-fbf4bae4e74d","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B18"
"8ebb80d6-825d-402c-be69-160c33b4dd42","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B19"
"63eee3dd-7a47-4ef9-bf93-37caa6da63db","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B20"
"e45f8f47-3767-4f91-adff-3482b1184c9c","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B21"
"4bc7c948-5393-4904-be70-600ad9aac44a","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B22"
"9fe5984a-2b7f-4ba2-ba67-a595663f9ca8","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B23"
"16e1f68f-db33-429b-aabf-9661462b89f4","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B24"
"ea39915c-0c2f-4bce-a656-c5225966a130","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B25"
"b544fa5e-b418-4d61-9e84-5197fa002d28","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B26"
"6b31207a-0472-4791-a926-dc290c6cc371","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B27"
"196ebf8f-867b-435e-a34a-093bc0933304","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B28"
