"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d3d7380-9824-4064-be7b-79c2149a4474","","not-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"3048f905-3709-4553-858a-d615b6556491","","work-in-progress","","folder","TRUE","FALSE","QA"
"e64f19e6-1aaa-4e80-aafc-8a5b910c49f9","","not-started","Fibertite Warm Roof over DD400 checklist","checklist","FALSE","FALSE","QA","Fibertite Warm Roof over main roof checklist"
"91242d9a-f8e9-4b34-b5b9-4ebb039a4d83","","work-in-progress","Basedeck install checklist","checklist","FALSE","FALSE","QA","Basedeck install checklist"
