"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"42af2a7d-b353-4ba3-92d9-af7d8d7b19c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"ac227b7a-08ba-4e5c-8a77-edcdb38879a8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Sprinkler Pipe Installation Rough In"
"31e339a5-f73d-4143-a074-1a8cc47daafc","","checklist-sectioned","not-started","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","B2"
"56b51301-b86c-438b-b742-6e3807fd5745","","checklist-sectioned","work-in-progress","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","B1"
"4b5db2c2-8a2a-4031-983e-204f0c6f6c43","","checklist-sectioned","work-in-progress","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Ground Floor"
"e157fadc-833c-43f8-a3ef-48c9c89cc474","","checklist-sectioned","work-in-progress","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Level 1"
"ac21387b-a71e-4708-8a28-83131a16d908","","checklist-sectioned","not-started","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Level 2"
"d6bd2c3b-2d1c-4bf3-bce3-f465c70a19b5","","checklist-sectioned","not-started","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Rooftop"
"3e69e8fc-0270-4887-a9dc-49611565468a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler System Commissioning"
"4d47daff-990a-4e09-94da-ade0ef1f584b","","checklist-sectioned","not-started","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","B2"
"33332dc5-4a58-408e-ba92-864d28369cb1","","checklist-sectioned","not-started","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","B1"
"1f274cfb-1fe8-450c-9380-df9cff7d230f","","checklist-sectioned","not-started","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Ground Floor"
"0714b52f-e301-4d05-91e5-c5ec9c4a5356","","checklist-sectioned","not-started","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Level 1"
"ef10190f-4d7a-4880-aaf4-c85dc2232632","","checklist-sectioned","not-started","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Level 2"
"ca7fb143-ddcf-4c88-ab08-8b8c0952893e","","checklist-sectioned","not-started","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Rooftop"
"470cde01-e29a-4429-9178-5ae77568e674","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fire Detection Installation Rough In"
"d8e9040f-8e59-4e20-a9bb-d51a4e10f7ca","","checklist-sectioned","not-started","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","B2"
"3ba294b7-c86b-41e6-a8b7-b8f30ee4ec81","","checklist-sectioned","not-started","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","B1"
"2eb6aced-f834-443f-9693-30393fa1e568","","checklist-sectioned","not-started","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Ground Floor"
"65370ace-0442-4883-ba49-4d7d2f12d3ba","","checklist-sectioned","not-started","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Level 1"
"c3b7e9ea-8a64-48bf-9bb3-40f3c68a9d13","","checklist-sectioned","not-started","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Level 2"
"0f0bf1db-5b15-4b4f-a177-634ac4c95728","","checklist-sectioned","not-started","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Rooftop"
"e89a4bb4-d2b0-4cd4-a9c1-694b61525c98","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fire Detection System Commissioning"
"99a12699-4012-4932-bb12-0bafb3f73926","","checklist-sectioned","not-started","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","B2"
"a50a68c7-7292-44fc-8694-cc907ff7241d","","checklist-sectioned","not-started","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","B1"
"658ac337-867d-4324-942f-22693e32ea9a","","checklist-sectioned","not-started","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Ground Floor"
"921ce200-e08d-449a-ac6e-f968b36b4b7c","","checklist-sectioned","not-started","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Level 1"
"e074a2b4-5059-4503-84c3-529c729bf38b","","checklist-sectioned","not-started","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Level 2"
"568c72e2-8f34-434f-b678-47d4ef8db677","","checklist-sectioned","not-started","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Rooftop"
"a163fa36-d7cd-4d29-a926-67b68339c1f6","","checklist-flat","not-started","Fire Pump Commissioning","checklist-flat","FALSE","FALSE","Site QA","Pump"
"86fc040e-fdd4-40d0-8a08-6f7afac0f5e0","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Drawings"
"3332b62c-30af-4d47-8cc9-4d305cbf44e7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variation"
"e4ad348d-c87e-4844-9a03-96936c9739a5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Injury Form"
"00b6320d-23e2-4365-abf6-ba61bf1278cf","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meeting"
"1651df6e-28f7-42a4-af94-df4f29d8051e","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meeting","February "
"f3f0d362-20be-4675-92aa-c81019dfb45f","","checklist-flat","pass","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox Meeting","February ","3/3/23"
"900e4dcc-f3b3-4439-a415-69f39c95b993","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Induction"
"4bc623ed-0259-48c2-9e9d-89aa2051183d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Pre Start/Works"
"7908824c-6697-4922-b770-49384fb5e4a5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Pre Start/Works","February"
"c5e6c53d-02e7-48fd-8fa4-1e0e4c57bf99","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","02/02/23"
"79b672f8-81e8-4e40-a496-ea70757496c2","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","3/3/23"
"b365dab4-b889-4854-9d9a-fd29da72d109","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","6/2/23"
"e612f022-a5ff-4d7b-ae86-802e36a50809","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","7/2/23"
"99596917-37db-4f83-beda-417627a1e187","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","8/2/23"
"9664d6db-963a-4e86-9920-07b7332bef3c","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","10/2/23"
"43cbdd10-6bea-4946-8230-719a97c9df7f","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","13/2/22"
"60ec43ae-4572-490b-a0f2-9d7aee4c2f37","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","14/2/23"
"0580aaa9-bb35-421b-9b3e-1f0eec8e95cf","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","15/2/23"
"9828a20f-fdaa-4c6f-92cc-d75b7dac744c","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","16/2/23"
"c6c48465-5d25-4d49-b144-a8e3a6c5be76","","checklist-flat","pass","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","17/2/23"
"83eaf59c-e1c8-4184-934e-d71fdc2da76a","","checklist-flat","work-in-progress","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","20/2/23"
