Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,
ff417a93-f464-405b-b3ef-8cc899f6b0c0,,folder-normal,fail,,step,TRUE,FALSE,Site QA,,,,,
7b62d68b-de52-453a-b1ba-b2210df22282,,folder-normal,fail,,step,TRUE,FALSE,Site QA,First Fix,,,,
180a6d23-da8b-41c7-9fae-0762b6c2da80,,folder-normal,fail,,step,TRUE,FALSE,Site QA,First Fix,Ground Floor,,,
fa09f7f0-5e88-415f-a28a-9596995c6cef,,folder-normal,fail,,step,TRUE,FALSE,Site QA,First Fix,Ground Floor,Preline,,
acd02591-d67d-4ff3-a8e7-fdb497a6e34b,,folder-normal,fail,,step,TRUE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,
14c9847b-e9de-4923-a211-0ac479ef183e,,checklist-sectioned,not-started,QA - Plumbing Preline (Hallways),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Hallways
365a3a0f-8815-43ec-ae16-13b0e0b7cf8a,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs001
74727d02-7470-4afa-b0db-d98611c232a3,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs002
8419e8b5-aa4d-48c6-ada9-fa9cebfab5e6,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs003
90a2ad71-aba1-4be7-9dff-f743b1bcaa19,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs004
66638fb9-fa08-4a78-b865-207e7465f2c0,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs005
980855c0-f8f2-44ef-8c60-cbd298edb570,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs006
c91f28cf-85a8-4aa8-8903-3089b411cdf7,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs007
8f9f395a-23d6-4f8d-95d5-5e3f0592ed7a,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs008
66bdbb9f-5b64-4790-aa11-bafccc1ada0d,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs009
a29bd502-b75e-4c2e-9b82-24203aae29ac,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs010
cdee11a8-c3d7-41b9-b9c9-2f06c4802e78,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,TR
f9d8cfda-3546-4e19-9173-8d87e26b6232,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs011
84bb0170-b0d6-4417-a9c6-193fb729ca68,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs012
1365c529-3fda-41b1-9757-df2e25248f52,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs013
41f7786e-8183-4f48-9921-e0fbe868478d,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs014
8f61a226-1f52-4c87-9d88-63e60b930ecf,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs015
69e53296-d830-4e38-a17c-8871600b5bad,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,WC room
32822b50-dd8b-487f-8313-42d5c6f90f55,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs016
78943c38-7dea-4f46-a0a7-67aee217a62d,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cs017
9ed72971-20fc-4514-bf1a-953e007dd036,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Cleaners
ed58180e-baf8-4218-ba71-b008a5dd40f5,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Linen out
800d10f3-ef0e-4493-b4ab-60e10057a99a,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Don / doff
0a223b8f-1bf2-47d0-b678-4f476037e008,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Sluice room
c4be389e-7fbf-4798-8e43-d776779b76a9,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region A,Staff was
a43ea95e-169a-4b91-b753-8da676f93d02,,folder-normal,fail,,step,TRUE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,
c72ffe9f-54ac-44ed-b62b-11b60bb9fc56,,checklist-sectioned,not-started,QA - Plumbing Preline (Hallways),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Hallways
97cba3c4-08b8-43e0-ad8b-73a750824bf5,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Staff kitchen
9294fe36-6eef-4872-a49c-5a564b1aae05,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,WC
12debc5a-5ad2-4ff3-80a0-62c588543b84,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Pod
a2eb6dc5-1d9b-4806-8f7d-3d561cd09242,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Hair dresser
20a5f076-c52a-457a-bd33-3348d619a27c,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Wellness clinic
243d62e4-7e5b-4757-a5bf-e02f32bc81d0,,checklist-sectioned,not-started,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Cafe
7e55fa28-abfa-4f78-ad39-fa7b2f10f87b,,checklist-sectioned,not-started,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Main kitchen
ffcfec37-4807-4e26-9807-64f49db17e5b,,checklist-sectioned,not-started,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Plant room
370e0d67-5d09-4ae6-a10b-7e1c19df98d3,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,Cs018
a6412ef2-fc65-4886-8872-cbe3e1fe0049,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region B,WC
a6b9a26b-23e3-40a1-a511-8d530e62b9c5,,folder-normal,fail,,step,TRUE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,
95b16deb-dc8b-4a18-878a-ae1e72e9988e,,checklist-sectioned,not-started,QA - Plumbing Preline (Hallways),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Hallways
c4526fcb-9a4b-493f-9626-8b6e6d662201,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs019
967baf55-a11a-425a-a281-a45a820f4117,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs020
3fd33cc7-4f41-415a-933d-24b6e0bb0e25,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs021
b2fc8dea-a2f1-49a7-ace1-cdcdefc14ed4,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs022
accaa6ab-07f5-427c-983e-f9fbc3f09ad6,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs023
e758ac62-dff0-4ec9-b523-9da2cb5ca7b1,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Garden store + off
46153bd3-d817-4de9-9fa7-e5da5107d1ab,,checklist-sectioned,not-started,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Don / doff
bfecc05c-b3a6-446f-ba4b-33752b73e763,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs024
364e34b8-79a3-4a50-80f4-75bb3730035e,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cleaners sink
79c4875b-3942-4cc3-b4a2-a477f861c5f5,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs025
cc04c017-4cbc-48fb-8d38-a7cb174d161b,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Sluice / dirty linen
61eb5fa2-2943-4dde-ae88-b77f1959a263,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs026
85e4e721-3a03-490a-9e2f-fd8492d8bb73,,checklist-sectioned,fail,QA - Plumbing Preline (Levels),checklist,FALSE,FALSE,Site QA,First Fix,Ground Floor,Preline,Region C,Cs027
