"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a9cb6af6-601b-4368-99ac-66b3f2d87225","","work-in-progress","","folder","TRUE","FALSE","Enabling Works"
"2979384e-6b95-4b5d-96ac-85dfba7740bf","","work-in-progress","","folder","TRUE","FALSE","Enabling Works","Watermain"
"ad727b3e-fbf5-4d9c-8f00-2d2859c946a3","","work-in-progress","ITP-0001 - DI Watermain","checklist","FALSE","FALSE","Enabling Works","Watermain","561466-DOW-ITP-0001 (watermain)"
"f5d66454-0dc5-4e52-a58a-b67304eefdef","","work-in-progress","ITP-0002 - PE Watermain","checklist","FALSE","FALSE","Enabling Works","Watermain","561466-DOW-ITP-0002 (ridermain)"
"f5fb3577-6026-414a-9589-be5283d6ae1a","","work-in-progress","ITP-0001 - DI Watermain","checklist","FALSE","FALSE","Enabling Works","Watermain","ITP-0001 (old version)"
"909934ee-a52a-42f8-baa1-3f59cfb1e69d","","work-in-progress","","folder","TRUE","FALSE","Enabling Works","Ducting"
"3b817f8e-2823-4f6d-b1b5-b819a04c0755","","work-in-progress","ITP-0003 - Ducting","checklist","FALSE","FALSE","Enabling Works","Ducting","561466-DOW-ITP-0003 (Gas)"
"63f1d066-3c90-4ed6-9b7b-9187529ce5ba","","work-in-progress","ITP-0003 - Ducting","checklist","FALSE","FALSE","Enabling Works","Ducting","561466-DOW-ITP-0004 (Vodafone)"
"69e270e6-77be-43ab-9ee3-27115f9a1565","","work-in-progress","","folder","TRUE","FALSE","Zone 1"
"29b9a329-1b4b-4f87-9778-4ed8e4d1c69b","","work-in-progress","ITP-1001 - Installation of Manhole - FSMH-A2","checklist","FALSE","FALSE","Zone 1","561466 -DOW-ITP-1001 - FSMH A2"
"f72b5030-8f8c-4c3f-b36d-cba2f23bcedd","","work-in-progress","ITP-1002 - Installation of PVC Foul Sewer Pipes - FSMH-A2 to FSMH-A1","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1002 - FSMH A2-A1"
"3ee1d906-e6d2-455c-8b11-7afeecb926c7","","work-in-progress","ITP-1003 - Installation of pipe from WCMH-3A to WCMH-2B","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1003 - WCMH 3A-2B"
"791456cd-cfec-463b-b2b5-3c3df31c946b","","work-in-progress","ITP-1004 - Installation of Manhole - WCMH-2B","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1004 -  WCMH 2B"
