"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a66db6d-9b04-412b-b9a7-67e2c46deb01","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturing QA"
"bd1fda31-29d0-443b-a5bc-6458ba92a029","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos"
"e2f5f6a5-092b-47ca-a65c-bec5dc5d67ab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos","September 23"
"796701e8-4b15-4dad-8c79-1fe22712ee1a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos","October 23"
"db6571d1-26e3-4cf6-aec2-c51089e712a1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos","November 23"
"fdf03473-2b51-4a96-b340-2a6834934649","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos","December 23"
"d4be1101-232b-4bca-991f-6df8f76a2e7c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos","January 23"
"b2b8a2ac-222a-4d1f-9820-3a31b99526da","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","Site Photos","February 23"
"ad3051dc-e35a-4153-86aa-389cab66b6b3","","checklist-sectioned","not-started","Precast casting","checklist","FALSE","FALSE","Manufacturing QA","Precasting"
"f77a532d-d2a3-4639-ae4b-ea53991c6567","Unsupported Children: folder-normal NCR Forms(4851bb6e-253d-5a6b-b6b0-f5ae4d993217)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 001"
"4851bb6e-253d-5a6b-b6b0-f5ae4d993217","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 001","NCR Forms"
"fab87ad6-68c8-4308-8b82-24db0dae56b3","Unsupported Children: folder-normal NCR Forms(8dfd11da-4eed-568d-aa5a-a9dadc76e14a)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 002"
"8dfd11da-4eed-568d-aa5a-a9dadc76e14a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 002","NCR Forms"
"9759a453-8376-4181-81e8-dd1cc4b8a298","Unsupported Children: folder-normal NCR Forms(3f9ee40d-eac9-5a22-be7b-5086e2539150)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 003"
"3f9ee40d-eac9-5a22-be7b-5086e2539150","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 003","NCR Forms"
"4a176def-089c-4951-9834-9dda7d49a9d1","Unsupported Children: folder-normal NCR Forms(1ef781ed-362c-56ff-a1f4-1ca9f55f5fa8)","checklist-sectioned","work-in-progress","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 004"
"1ef781ed-362c-56ff-a1f4-1ca9f55f5fa8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 004","NCR Forms"
"52e9488a-d231-401b-9b42-b073feb35676","Unsupported Children: folder-normal NCR Forms(bcd54225-8398-516a-81d6-0f809c168dac)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 005"
"bcd54225-8398-516a-81d6-0f809c168dac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 005","NCR Forms"
"8210095d-aae7-4352-83ee-970e465ae919","Unsupported Children: folder-normal NCR Forms(cf63ed78-9f97-5ee7-b843-d1d0a61c5cfc)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 006"
"cf63ed78-9f97-5ee7-b843-d1d0a61c5cfc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 006","NCR Forms"
"c2e11f79-e91e-410c-a311-ad9a5a260084","Unsupported Children: folder-normal NCR Forms(f6525b2d-c161-5e2a-8b50-4b5a56313819)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 007"
"f6525b2d-c161-5e2a-8b50-4b5a56313819","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 007","NCR Forms"
"af723b0a-71c6-4fd4-b087-6d94ce709790","Unsupported Children: folder-normal NCR Forms(d539584e-a584-5bbb-b537-dc01c06f23e7)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 008"
"d539584e-a584-5bbb-b537-dc01c06f23e7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 008","NCR Forms"
"0bb3e719-44fc-43b9-b98d-3fff6e1e6dd4","Unsupported Children: folder-normal NCR Forms(7a5ccb3c-444a-55e6-bfa4-4ed95aeb4d3f)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 009"
"7a5ccb3c-444a-55e6-bfa4-4ed95aeb4d3f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 009","NCR Forms"
"bdc53145-8405-491c-a058-228aa5a798f8","Unsupported Children: folder-normal NCR Forms(65a5e869-2a50-58b9-87e5-3cb237b00fe6)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 010"
"65a5e869-2a50-58b9-87e5-3cb237b00fe6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 010","NCR Forms"
"7de35f13-baec-43f2-b193-dfa5b9f2ab76","Unsupported Children: folder-normal NCR Forms(f66627af-26d8-5cc3-b64d-d444be7e3b48)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 011"
"f66627af-26d8-5cc3-b64d-d444be7e3b48","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 011","NCR Forms"
"6b237597-5bfb-4d79-8bb8-335f62b168ec","Unsupported Children: folder-normal NCR Forms(4d3390aa-491a-58aa-8495-16ca987bcf5b)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 012"
"4d3390aa-491a-58aa-8495-16ca987bcf5b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 012","NCR Forms"
"febf33e5-6043-435f-988b-596e1385a371","Unsupported Children: folder-normal NCR Forms(b7fae55e-88df-561b-926d-bd544ce3ed5f)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 013"
"b7fae55e-88df-561b-926d-bd544ce3ed5f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 013","NCR Forms"
"53c3d5ee-1757-4892-89b6-bc449fd52c64","Unsupported Children: folder-normal NCR Forms(f72b9afe-e943-5412-9f85-23a51181bee3)","checklist-sectioned","work-in-progress","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 014"
"f72b9afe-e943-5412-9f85-23a51181bee3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 014","NCR Forms"
"25c8947d-6d82-49fb-9e30-7a9f760b46ce","Unsupported Children: folder-normal NCR Forms(c6f3a1bb-2af1-5785-8c33-6fc1d89fabf3)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 015"
"c6f3a1bb-2af1-5785-8c33-6fc1d89fabf3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 015","NCR Forms"
"d0d39887-38d4-4b9b-8038-b1f5f4e088b9","Unsupported Children: folder-normal NCR Forms(fdeb334a-ddfe-5341-947b-d2cacf50a506)","checklist-sectioned","work-in-progress","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 016"
"fdeb334a-ddfe-5341-947b-d2cacf50a506","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 016","NCR Forms"
"7af46783-417f-4bc3-abaa-fdb647242075","Unsupported Children: folder-normal NCR Forms(785cd461-064a-5e3a-bb44-5757399ff446)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 017"
"785cd461-064a-5e3a-bb44-5757399ff446","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 017","NCR Forms"
"a07a1407-4f65-42be-ab29-9d482c4a8566","Unsupported Children: folder-normal NCR Forms(5f14668b-3286-579e-81e4-8f8e4123e85f)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 018"
"5f14668b-3286-579e-81e4-8f8e4123e85f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 018","NCR Forms"
"64c31fc1-7f6e-4ffb-9d72-df1a0b8fba0d","Unsupported Children: folder-normal NCR Forms(2130429d-8976-52f6-9b18-283102c3bf93)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 019"
"2130429d-8976-52f6-9b18-283102c3bf93","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 019","NCR Forms"
