Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Early Works Progress,,,,,,
,Scope,,,Early Works,,
,Rows,,,,,
,,Cold & Heated Water,grouping,cold & heated water,,
,,Level 16,,level 16,early works,cold & heated water
,,Level 19,,level 19,early works,cold & heated water
,,Level 35,,early works,cold & heated water,level 35
,,Sanitary Plumbing,grouping,sanitary plumbing,,
,,Level 16,,level 16,sanitary plumbing,early works
,,Level 19,,sanitary plumbing,level 19,early works
,,Level 35,,sanitary plumbing,early works,level 35
,,Water Heaters,grouping,water heaters,,
,,Level 16,,level 16,water heaters,early works
,,Level 19,,level 19,water heaters,early works
,,Level 35,,water heaters,early works,level 35
,,Penetrations & Core Holes,grouping,penetrations & core holes,,
,,Level 16,,level 16,penetrations & core holes,early works
,,Level 19,,penetrations & core holes,level 19,early works
,,Level 35,,penetrations & core holes,early works,level 35
,,Rough In,grouping,early works,,
,,Level 16,,level 16,early works,rough in
,,Level 19,,level 19,early works,rough in
,,Level 35,,early works,level 35,rough in
,,Sanitary Fixtures,grouping,early works,,
,,Level 16,,level 16,early works,sanitary fixtures
,,Level 19,,level 19,early works,sanitary fixtures
,,Level 35,,early works,level 35,sanitary fixtures
,Columns,,,,,
,,DDA,,dda,,
,,Typical Ammenties,,typical ammenties,,
,,,,,,
Main Works Progress,,,,,,
,Scope,,,Main Works,,
,Rows,,,,,
,,Sanitary Plumbing,grouping,sanitary plumbing,,
,,Level 11,,sanitary plumbing,level 11,main works
,,Level 12,,level 12,sanitary plumbing,main works
,,Level 13,,sanitary plumbing,level 13,main works
,,Level 20,,sanitary plumbing,level 20,main works
,,Level 22,,sanitary plumbing,level 22,main works
,,Level 37,,sanitary plumbing,level 37,main works
,,Level 38,,level 38,sanitary plumbing,main works
,,Rough In,grouping,rough in,,
,,Level 11,,level 11,rough in,main works
,,Level 12,,level 12,rough in,main works
,,Level 13,,level 13,rough in,main works
,,Level 20,,level 20,rough in,main works
,,Level 22,,level 22,rough in,main works
,,Level 37,,level 37,rough in,main works
,,Level 38,,level 38,rough in,main works
,,Sanitary Fixtures,grouping,sanitary fixtures,,
,,Level 11,,level 11,sanitary fixtures,main works
,,Level 12,,level 12,sanitary fixtures,main works
,,Level 13,,level 13,sanitary fixtures,main works
,,Level 20,,level 20,sanitary fixtures,main works
,,Level 22,,level 22,sanitary fixtures,main works
,,Level 37,,level 37,sanitary fixtures,main works
,,Level 38,,level 38,sanitary fixtures,main works
,Columns,,,,,
,,DDA,,dda,,
,,Typical Ammenties,,typical ammenties,,
