Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,STANDARD 2000L DETENTION TANK LIDS,dynamic,STANDARD 2000L DETENTION TANK LIDS,
,,"Standard 1500x900 Pit, up to 1500 deep",dynamic,"Standard 1500x900 Pit, up to 1500 deep",
,,Standard DN1500 Surrounds,dynamic,Standard DN1500 Surrounds,
,,Standard Large P14-2 Headwalls,dynamic,Standard Large P14-2 Headwalls,
,,Standard Tasnetworks Sub Bases,dynamic,Standard Tasnetworks Sub Bases,
,,Standard P24-2 Flat end walls ,dynamic,Standard P24-2 Flat end walls ,
,,"Standard Wet Wells, Shafts & Lids",dynamic,"Standard Wet Wells, Shafts & Lids",
,,DIER PITS,dynamic,DIER PITS,
,,P20-2 Apron Slab,dynamic,P20-2 Apron Slab,
,Columns,,,,
,,Pre Pour,,Pre Pour,
,,Post Pour,,Post Pour,
