type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,DS2672-ITP-S113 - Rip Rap - Rev 1,itp,,,,,DS2672-ITP-S113 - Rip Rap - Rev 1,
section,5.08 Rip Rap Installation,,,,,,,
checkpoint,5.08.01 - Foundation inspection,,,,,,,
note,Acceptance / Conformance Criteria - Prior to the placement of RIPRAP the foundation must be inspected by the Engineer prior to further work being carried out in the area.,,,,,,,
note,Standard / Specification - DOWNER,,,,,,,
note,Verifying Document - Hold Point Release,,,,,,,
note,Frequency - 48 Hours Notice Prior to Each Occurrence,,,,,,,
note,Activity - HP,,,,,,,
note,By - ENG,,,,,,,
note,Comments / Closeout Details - Is this Required,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,5.08.02 - Placement of Rip Rap,,,,,,,
note,Acceptance / Conformance Criteria - Rip rap shall be machine placed such that segregation of breakage of stone does not occur. Dumping and spreading of rock shall not be permitted. Stone shall be released as close to is final position as practical to minimise dragging and rehandling.,,,,,,,
note,Standard / Specification - 14AED/AD4-C - 030.14.6,,,,,,,
note,Verifying Document - Site Records / Photos,,,,,,,
note,Frequency - Each Layer,,,,,,,
note,Activity - C,,,,,,,
note,By - SE,,,,,,,
checkpoint,5.08.03 - Rip Rap Voids,,,,,,,
note,Acceptance / Conformance Criteria - Rip Rap shall have no significant voids occur in the rock blanket through which underlying material could be washed out.,,,,,,,
note,Standard / Specification - 14AED/AD4-C - 030.13.5,,,,,,,
note,Verifying Document - Site Records / Photos,,,,,,,
note,Frequency - Each Layer,,,,,,,
note,Activity - C,,,,,,,
note,By - SE,,,,,,,
checkpoint,5.08.04 - Rip Rap Loose rocks,,,,,,,
note,Acceptance / Conformance Criteria - Rip Rap shall create an interlocking mass of rock in which no individual rock is free to move by itself; and,,,,,,,
note,Standard / Specification - 14AED/AD4-C - 030.13.5,,,,,,,
note,Verifying Document - Site Records / Photos,,,,,,,
note,Frequency - Each Layer,,,,,,,
note,Activity - C,,,,,,,
note,By - SE,,,,,,,
checkpoint,5.08.05 - Rip Rap Protruding Rocks,,,,,,,
note,"Acceptance / Conformance Criteria - Rip Rap shall create a shielding effect on the surface of the rock, which avoids high drag forces that occur when individual rocks protrude into the flow.",,,,,,,
note,Standard / Specification - 14AED/AD4-C - 030.13.5,,,,,,,
note,Verifying Document - Site Records / Photos,,,,,,,
note,Frequency - Each Layer,,,,,,,
note,Activity - C,,,,,,,
note,By - SE,,,,,,,
checkpoint,5.08.06 - Rip Rap Post Installation PSD,,,,,,,
note,Acceptance / Conformance Criteria - The particle size distribution after handling and placement shall conform to the limits set in 030.13.5.,,,,,,,
note,Standard / Specification - 14AED/AD4-C - 030.13.5,,,,,,,
note,Verifying Document - Site Records / Photos,,,,,,,
note,Frequency - Each Layer,,,,,,,
note,Activity - I,,,,,,,
note,By - SE,,,,,,,
