"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"22f0c987-8256-44b2-b9ab-27fdc8f45d6f","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Activities","Skirtings & Architraves"
"5a089aa8-8dce-4d36-8946-1fa5ddb1f942","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Cinema"
"4a9475ca-5161-4db5-a977-e2223b44314c","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Cinema","Nogs"
"666707c5-4234-43d1-90ee-03582851ea0b","","checklist-flat","not-started","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Cinema","Skirtings & Architraves"
"ed43e8ae-64db-421a-b3da-b6263ba09ad1","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Games Room"
"71390c10-a472-46c6-b1fa-1563f0671f1e","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Games Room","Nogs"
"ab50fceb-df2f-4c51-ba96-77918fa544b8","","checklist-flat","work-in-progress","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 1","Common Areas","Games Room","Skirtings & Architraves"
"50043068-9df6-4d80-bd80-520d68bb6c99","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2"
"805251a7-4712-4e46-a539-bb3f07853e62","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)"
"551ec04a-7271-4b52-b093-b8ac789b864b","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G064"
"1e1ac93c-ca53-4703-bd0f-b267a7c38949","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G064","Nogs"
"afb11fd8-28f1-48ee-9f57-5db54713a11f","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G064","Cavity Sliders"
"40fc609f-5386-4412-83b3-5ff6e4a74da1","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G064","Skirtings & Architraves"
"21997ec3-363c-4247-b040-a54ebf8d3678","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G065"
"5ef1101f-a75f-4c9d-b07a-5695783e4ca7","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G065","Nogs"
"9d842f22-65a0-438e-a869-29efdf2f4c10","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G065","Cavity Sliders"
"f0003d6b-0323-4a68-98f8-666ee19bc7e1","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G065","Skirtings & Architraves"
"22ad3f2f-08a8-4213-ba8d-352f759e8f14","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G066"
"f148961b-663d-40a9-9b28-43765e9c9b42","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G066","Nogs"
"51fc4a6a-1e25-46ec-a5a2-d6888776dfc2","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G066","Cavity Sliders"
"da9bd457-58d7-4dc7-bf79-84c729c2a5fc","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G066","Skirtings & Architraves"
"d81a8b97-d92c-43f7-bf84-fb723c53f2ef","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G067"
"642e4c8b-0106-456a-9270-49de9a5aa841","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G067","Nogs"
"43fcd2ec-e12d-42ff-be5f-438fc5b9d3f0","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G067","Cavity Sliders"
"fa53ffa1-6196-4791-ace4-2fb8da201570","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G067","Skirtings & Architraves"
"fcd32391-5794-44fe-aa13-56dd3c7d4576","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G068"
"b2952b8f-35f2-42d1-89f0-3432d84e2017","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G068","Nogs"
"aebc1e8e-718f-4f28-9731-db85fb9ab16c","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G068","Cavity Sliders"
"ee5de7dd-0bb5-429f-90c3-65f9163cb535","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G068","Skirtings & Architraves"
"f3605191-629f-4763-99d7-41092f176edb","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G069"
"8a36c671-8054-4079-aa8b-3c6c0f91bcbd","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G069","Nogs"
"9c146740-0c7c-4302-9764-6d0ac678e362","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G069","Cavity Sliders"
"30884a2b-2e26-42ab-a645-ed3ad65c2e26","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Apartments (ASL)","G069","Skirtings & Architraves"
"ff8825a1-b473-422c-89f0-bd614a2fbd84","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas"
"1a2b76a9-6e46-4e24-bd71-2c877f4be5dc","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas","Craft"
"f8a5d3ac-872f-4e46-b5f5-713eab96bc3c","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas","Craft","Nogs"
