type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,Fit Off Checklist,,,,,Yes,Fit Off Checklist,c0a45859-5a52-4f64-97e4-47bc07b1adfb
section,Kitchen Sink,,,,,,,
checkpoint,Joinery,,,,,,,
checkpoint,Stone,,,,,,,
checkpoint,Mixer,,,,,,,
checkpoint,Waste,,,,,,,
checkpoint,Dw connect,,,,,,,
section,Bathrooms & Powder - Basin,,,,,,,
checkpoint,Joinery,,,,,,,
checkpoint,Stone,,,,,,,
checkpoint,Basin,,,,,,,
checkpoint,Mixer,,,,,,,
section,Bathrooms & Powder - WC,,,,,,,
checkpoint,Tile,,,,,,,
checkpoint,Grout,,,,,,,
checkpoint,Wc,,,,,,,
section,Bathrooms - Shower,,,,,,,
checkpoint,Tile,,,,,,,
checkpoint,Grout,,,,,,,
checkpoint,Rail,,,,,,,
section,Laundries,,,,,,,
checkpoint,Tile,,,,,,,
checkpoint,Trough,,,,,,,
checkpoint,Mini Stop,,,,,,,
checkpoint,Standpipe,,,,,,,
