Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,
68146552-e0ea-429f-886f-b66366c59771,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-203,Quality - Light & Power Circuit Rough-In
1005bebc-2edd-476c-8bea-bc15400b2e82,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-204,Quality - Light & Power Circuit Rough-In
c5130144-945d-4b46-9521-a5a50363b1b6,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-211,Quality - Light & Power Circuit Rough-In
78e17175-0b00-4d9f-986c-5c5b9e9e69db,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-212,Quality - Light & Power Circuit Rough-In
53f4032c-0621-49fb-b15c-85cc532ad402,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-213,Quality - Light & Power Circuit Rough-In
22345b40-3b46-41e0-aab6-48e2f04871d0,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-214,Quality - Light & Power Circuit Rough-In
2bfde677-5fb2-44dc-9886-a0a4b80d6494,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-301,Quality - Light & Power Circuit Rough-In
676b2001-39bc-4d91-ad09-a316adc8c821,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-302,Quality - Light & Power Circuit Rough-In
21477966-ff12-4bb4-8b54-1eeb4c8e5bbb,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-401,Quality - Light & Power Circuit Rough-In
07259b42-49d4-4e91-acba-5eceef4b8a65,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-02-402,Quality - Light & Power Circuit Rough-In
