type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Small Panel,,,,,,Small Panel,
section,Details,,,,,,,
checkpoint,Wall channel correctly cut to length/located and adhered to surface as required.,,,,,,,
checkpoint,Silicone applied full height to wall tiles.,,,,,,,
checkpoint,Panel inserted correct depth into wall channel,,,,,,,
checkpoint,Panel installed plumb + level to suit opening.,,,,,,,
checkpoint,Silicone applied internally to channel and glass,,,,,,,
checkpoint,Silicone applied to inside perimeter of all channels as required.,,,,,,,
checkpoint,Sealed to hob tiles on outside of shower.,,,,,,,
checkpoint,150mm silicone upstand to outside of shower wall channels.,,,,,,,
checkpoint,Photos of completed installation.,,,,,,,
,,,,,,,,
checklist,Large Panel,,,,,,Large Panel,
section,Details,,,,,,,
checkpoint,Wall channel correctly cut to length/located and adhered to surface as required.,,,,,,,
checkpoint,Silicone applied full height to wall tiles/ceiling,,,,,,,
checkpoint,Panel inserted correct depth into wall/ceiling channel,,,,,,,
checkpoint,Panel installed plumb + level to suit opening.,,,,,,,
checkpoint,Silicone applied internally to channels,,,,,,,
checkpoint,Silicone applied to inside perimeter of all channels as required.,,,,,,,
checkpoint,Sealed to hob tiles on outside of shower.,,,,,,,
checkpoint,150mm silicone upstand to outside of shower wall channels.,,,,,,,
checkpoint,Panel bonded to end tiles on wing wall,,,,,,,
checkpoint,Photos of completed installation.,,,,,,,
