"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6a5113e0-3f7b-45bf-83a5-ab88eeb549a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA"
"7c3de3c6-bdd2-4da0-89e8-1d3797b0144a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","High Level Hold Points"
"48510cb2-f822-4796-ac9a-e458f22befdf","","checklist-flat","work-in-progress","G001 – Job Specific Requirements","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G001 – Job Specific Requirements"
"74d571aa-9dc7-449c-9742-fc9a352f126f","","checklist-flat","not-started","G002 – General Requirements","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G002 – General Requirements"
"65d6982c-4b63-4256-9346-0a6d7f3b8e85","","checklist-flat","work-in-progress","G004 – Principal’s Project Accommodation","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G004 – Principal’s Project Accommodation"
"da80396c-d64a-4306-a486-c1d5284bc192","","checklist-flat","work-in-progress","G007 – Utility Adjustment","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G007 – Utility Adjustment"
"991a5215-2c35-4500-8f7e-8042a7fa87de","","checklist-flat","work-in-progress","G010 – Traffic Management","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G010 – Traffic Management"
"94521710-1c47-4e80-8aee-400d680766a7","","checklist-flat","work-in-progress","G022 – Work Health & Safety (Construction Work)","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G022 – Work Health & Safety (Construction Work)"
"8ee4e89f-5618-4f3e-90ba-9c32e62d0b51","","checklist-flat","work-in-progress","G036 – Environmental Protection","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G036 – Environmental Protection"
"6321401b-1ce3-4e6c-a7f3-76e145074229","","checklist-flat","work-in-progress","G038 – Soil and Water Management","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G038 – Soil and Water Management"
"8a647e29-d3b2-47e7-9b9c-a71be690f9ac","","checklist-flat","not-applicable","G040 – Clearing and Grubbing","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G040 – Clearing and Grubbing"
"ed3961ab-fb4a-42b2-a3e0-019e029ec72c","","checklist-flat","work-in-progress","G071 – Construction Survey","checklist-flat","FALSE","FALSE","Project QA","High Level Hold Points","G071 – Construction Survey"
