"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9fb3c1b1-c2c6-4a95-a1d0-4aeee55c937b","","not-started","","folder","TRUE","FALSE","SP1"
"68aec99f-83a2-43e1-bb94-869d2a0bf106","","not-started","","folder","TRUE","FALSE","SP1","Zone 1 North"
"dde6eb7c-e78a-4fe6-a602-68906d6806c0","","not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Earthworks CH??"
"2d258407-509d-4210-8d05-aa600e3b3119","","not-started","DN1210-003 ITP Earthworks Rev IFC2","checklist","FALSE","FALSE","SP1","Zone 1 North","Earthworks CH??","Earthworks CH?? - ??"
"1e530d85-7861-4ab1-9e00-467ff3d4a106","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Stormwater & Drainage"
"7229aebe-7c63-4ed3-87d8-edd6f5122fd2","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Utilites"
"960f59ca-9be6-4a91-9c83-87a396120ee2","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Concrete Works"
"d1c6052c-7ada-4953-8956-fb13bdc52cfb","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Pavement"
"3a778cb1-75c7-4e0c-ae8b-1597f64834d5","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Surfacing"
"6db66fbe-0604-4dce-95a2-8fb23b2486dc","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Street Lighting & ITS"
"dea349c1-ad25-4153-baa4-0822681118bc","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Traffic Services"
"17549002-8b3e-4cab-ac32-319370d6680a","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Landscaping"
"a1b3de9d-2de9-4cb0-88e2-cf9c24d00b7d","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Water Supply & Wastewater"
"e4620db1-2987-42b1-85d6-29be64ec95bf","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Noise Wall"
"3c4d1c69-2bda-4642-ac5a-291620bf4da1","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Underpass Construction"
"947441f2-679e-4632-9475-9210aabad0bb","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Shared User Path"
"e72e5fb8-d0f7-4674-9f59-2da3040ab9a1","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Wetland & Maintenance Track"
"d41d6743-191b-43fe-a2d9-03389b1587a0","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 North","Earthworks CH"
"10069e63-bb08-43cf-b3ca-ce6f442ff259","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2"
"d272e31c-a70f-45e9-bf67-e55e31868dba","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Earthworks"
"dacaa761-951e-4b9f-ba7d-a98c00a8534c","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Stormwater & Drainage"
"a094bdf6-1c8d-4ef7-b2b5-bd05bdea679b","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Utilites"
"b7d92f7d-bd70-4742-a8b1-636d4a4a986f","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Concrete Works"
"19d23cfd-2ae9-41b9-a8ef-996969cdaa84","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Pavement"
"944d4e92-4fa1-43ae-b367-681f3cf414f7","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Surfacing"
"9bda954d-3006-44bd-a609-b421677eacec","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Street Lighting & ITS"
"20120a25-7fff-4523-8a1b-28b38e43815b","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Traffic Services"
"ba9aa3f2-b720-451f-8c3a-dab52ca5f971","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Landscaping"
"cfcbbf95-e0fd-45df-b479-73445a456504","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Water Supply & Wastewater"
"36ec697a-d2c0-462c-b96d-bb9b7a5bcdba","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 2","Shared User Path"
"af1ab094-f603-4a07-acdd-c9ed7e85e21c","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3"
"2585d70e-c203-4562-8b99-9f3b79e227b6","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Earthworks"
"2430ffc8-e28b-4afe-b23d-0bb7f26d791f","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Stormwater & Drainage"
"1fe803f5-94ee-49f0-9bf8-c423b118df04","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Utilites"
"ea206b13-ce2e-4e36-b408-d67d693660b9","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Concrete Works"
"4bf99e1c-343e-40a8-ae72-d51370e24d31","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Pavement"
"3e1fffd3-844b-4773-aab5-59189aa6466c","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Surfacing"
"9978fa18-5962-4adb-9019-55d0c25be481","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Street Lighting & ITS"
"62f939f8-9c24-4ccd-b2fd-f5aaf6fee135","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Traffic Services"
"4a5462a6-cbdb-44b5-8e8f-fd007d02156c","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 3","Landscaping"
"54ce3462-e3f0-4f3f-a0c0-06eb197a5fb1","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 South"
"6df7b453-c5d3-4af1-be95-598ea0eec66f","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 South","Earthworks"
"25ca7191-0330-492c-aeff-5e16fa8aa503","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 South","Stormwater & Drainage"
"4e364bec-545d-4828-9b04-d4b9f5892aa0","","no-status-not-started","","folder","TRUE","FALSE","SP1","Zone 1 South","Utilites"
