"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"179b02b5-3d2d-4b65-942c-b7d19dac539f","","folder-normal","","","step","TRUE","FALSE","Burpengary Station"
"922307e2-2cce-48ff-a904-d2e95e0119aa","","folder-normal","","","step","TRUE","FALSE","Burpengary Station","Ground Floor"
"aa77e908-68d3-4354-b45c-1a7d51b41b8f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P01"
"93448adc-4e80-4845-a6bd-268c4f754441","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P02"
"b614b52c-4431-4fb5-aa6f-6a7d08e90d88","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P03"
"ef7e4a42-9c39-4aae-9d32-4771e9804f9e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P04"
"e0ddf36e-1e3e-4c68-ae79-2b6d9f9dd3ab","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P05"
"6a11be9a-dadc-4a30-97e6-1e6b3e23fbc7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P06"
"3b54a443-5b9a-4204-a9a3-0aa8cde9b724","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P07"
"547ffcc3-09b7-469a-82ca-2aa92ad1c0ed","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Ground Floor","G-P08"
"ac8c215d-2138-45f3-91e2-235d69155a13","","folder-normal","","","step","TRUE","FALSE","Burpengary Station","Level 2"
"bae9e96a-20de-449d-b7c8-61547c21d3c3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Level 2","L2-P02"
"1c4acec3-003c-43ea-8038-184a6063a87d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Level 2","L2-P04"
"ade26d0c-decd-4bcb-bd61-5f3bd7b59611","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Level 2","L2-P06"
"9679bae0-45b4-42f6-9b71-90967bb9b7f1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Level 2","L2-P08"
"8af17c1c-9cbb-44ac-8528-56aa2d4f0320","","folder-normal","","","step","TRUE","FALSE","Burpengary Station","Lids"
"cd9d2e6a-5847-4e2f-9abb-012b380bf457","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Lids","LD-01"
"7eb951b1-20d1-4c05-8b7e-0371d6fc0b29","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Burpengary Station","Lids","LD-02"
"6d475546-03dd-454c-bb05-b04ace935431","","folder-normal","","","step","TRUE","FALSE","Bundamba Station"
"3460b74c-4a62-40e3-a60c-094c6cc35a4b","","folder-normal","","","step","TRUE","FALSE","Bundamba Station","Ground Floor"
"7da6ac72-817e-4789-a666-23d309450417","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Ground Floor","G-PB01"
"467f2ad3-7c84-47ce-af57-7ceb2dbb1652","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Ground Floor","G-PB02"
"34cd8d74-e054-4b8d-a0cf-7e5006848ead","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Ground Floor","G-PB03"
"e8c8bd15-69e6-4dc7-bfaa-3291c1cd08ff","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Ground Floor","G-PB04"
"a0ca170a-8e32-4c5e-998a-64b3ba0687a4","","folder-normal","","","step","TRUE","FALSE","Bundamba Station","Level 2"
"7cdf3e06-093c-4288-8695-ad79447add2f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Level 2","L2-PB02"
"c95db7e2-6378-42c1-a8ec-129ddf66cb5c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Level 2","L2-PB04"
"f3b33db8-e076-4ebb-8af6-cbf53c6d8424","","folder-normal","","","step","TRUE","FALSE","Bundamba Station","Lids"
"85e884ce-c624-45aa-8287-fd8502b9a089","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Bundamba Station","Lids","LD-B02"
