"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15912d0a-1cff-4a33-b74d-478866d16264","","folder-normal","fail","","step","TRUE","FALSE","November 6-10, 2023"
"d0b5c589-f329-4afb-b3e7-5977b31c35b3","","checklist-sectioned","fail","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","November 6-10, 2023","Wednesday"
"ce25daab-981d-45bd-918a-452fdaec8907","","checklist-sectioned","fail","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","November 6-10, 2023","Thursday"
"d301f7ee-b376-466d-94d7-8277cd067b1a","","checklist-sectioned","fail","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 6-10, 2023","Friday"
"e8ebca57-855b-4ee5-86f2-5101fe792f20","","folder-normal","fail","","step","TRUE","FALSE","November 13-17, 2023"
"5698e9a0-8288-4c8d-accd-2142767349cd","","checklist-sectioned","fail","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","November 13-17, 2023","Monday"
"7d7fd610-d444-4e91-838d-ad5caa0b9893","","checklist-sectioned","fail","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 13-17, 2023","Tuesday"
"4193f593-3b98-4910-af79-985cefb83e1c","","checklist-sectioned","fail","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","November 13-17, 2023","Wednesday"
"8ec2a49b-ec45-4e10-a61d-d57b13eedbdf","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","November 13-17, 2023","Thursday"
"55abeafa-7d8f-4678-86fa-fd6f1b30ae48","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 13-17, 2023","Friday"
"6035b9d3-f68a-4fef-8c5d-36d491517523","","folder-normal","not-started","","step","TRUE","FALSE","November 20-24, 2023"
"f17dbc1c-40c0-4320-b799-4ad5d58fdb56","","checklist-sectioned","not-started","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","November 20-24, 2023","Monday"
"09903722-4143-4280-99c5-d983dfc1bcae","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 20-24, 2023","Tuesday"
"7366e333-f3ee-4b1f-a200-6801dd473251","","checklist-sectioned","not-started","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","November 20-24, 2023","Wednesday"
"364596ea-7970-4488-b4b1-bd62dec963a6","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","November 20-24, 2023","Thursday"
"e364a0da-7b35-4c73-93b7-fdb67c902cd9","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 20-24, 2023","Friday"
"0145e811-472c-4fb8-93e6-f8d7ec70c697","","folder-normal","not-started","","step","TRUE","FALSE","November 27 - December 1, 2023"
"1dae454e-6901-425b-8cec-a5c14116e1eb","","checklist-sectioned","not-started","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","November 27 - December 1, 2023","Monday"
"f6c2ca89-2b61-4a3f-bbcd-9cecc9258e77","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 27 - December 1, 2023","Tuesday"
"67086aa0-e994-4db3-8fd3-066d4872c1c7","","checklist-sectioned","not-started","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","November 27 - December 1, 2023","Wednesday"
"15c412d9-373a-4d68-b769-c982816fbed8","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","November 27 - December 1, 2023","Thursday"
"c4b39208-9588-44bb-bbd8-409b5fba1931","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","November 27 - December 1, 2023","Friday"
"e99aa00a-92d4-40f8-aee8-1fbe7865d54a","","folder-normal","not-started","","step","TRUE","FALSE","December 4-8, 2023"
