"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cc19b702-bfc3-453b-a81b-f2637f391954","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"58210e5c-187f-4253-a3bd-ba6981599d1a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-in"
"15232f2c-de05-42c3-87cf-97ffe0b8a38c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-in","Basement 2"
"fd2ec6a2-8566-49e3-b511-66012eac2da7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-in","Basement 2","General"
"7a7186b7-199f-4cc8-8266-35d02fde452f","","checklist-flat","not-started","Ductwork","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","General","Ductwork"
"0f9952fe-18e7-4dac-ad7e-03f261778348","","checklist-flat","not-started","Insulation","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","General","Insulation"
"83d5ec2f-1a94-4abb-b935-0d51f9b663b6","","checklist-flat","not-started","Fire Dampers","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","General","Fire Dampers"
"820d760b-33ac-4729-9bc4-d8e21784baff","","checklist-flat","not-started","Access Panel","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","General","Access Panel"
"168aa435-ebdf-461a-9893-090950de6523","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-in","Basement 2","FCU's"
"72cd0ef8-cd1b-4610-a6d6-e174a1b01d15","","checklist-flat","not-started","Pipework","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","FCU's","Pipework"
"543c054a-33e4-4921-9419-70e65f6edad2","","checklist-flat","not-started","Electrical Wiring","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","FCU's","Electrical Wiring"
"8f781083-7cf1-41c2-b7da-3b0af2cc61b1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-in","Basement 2","FCU's","Fan Coil Unit"
"e90bf949-3b02-4c85-bdf8-b2625069971a","","checklist-flat","not-started","Fan Coil Unit","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","FCU's","Fan Coil Unit","FCU-B2-COMMS-1"
"b0473b7d-75ed-4703-9263-01b0f2cef122","","checklist-flat","not-started","Fan Coil Unit","checklist-flat","FALSE","FALSE","Site QA","Rough-in","Basement 2","FCU's","Fan Coil Unit","FCU-B2-COMMS-2"
