"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf00aef2-9cb7-4c79-b040-4bc12d7b4643","","folder-normal","work-in-progress","","step","TRUE","FALSE","Thin Asphalt Paving"
"fb125e0d-3b25-4a4d-a247-423653d3d595","","checklist-sectioned","work-in-progress","ITP - Moa - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Moa - Thin Asphalt Paving"
"75f4d281-0f8c-4ce2-9cf1-a92fe48e2778","","folder-normal","work-in-progress","","step","TRUE","FALSE","Thin Asphalt Paving","ITP - Wanaka to Athol - Thin Asphalt Paving"
"e281be0e-abff-4636-ab8a-6142bfec5092","","checklist-sectioned","work-in-progress","ITP - Wanaka to Athol - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Wanaka to Athol - Thin Asphalt Paving","ITP - Wanaka to Athol - Thin Asphalt Paving"
"5facc871-153a-47b5-b86a-65f6243d4cc9","","checklist-sectioned","work-in-progress","ITP - Stadium RDB - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Stadium RDB - Thin Asphalt Paving"
"ec996a65-a469-4f94-bf1c-c5a17f05ee57","","checklist-sectioned","work-in-progress","ITP - Abbotsford O_Bridge - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Abbotsford O_Bridge - Thin Asphalt Paving"
"ca68019d-c59f-469b-a06d-827e7590f912","","checklist-sectioned","work-in-progress","ITP - Carisbrook - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Carisbrook - Thin Asphalt Paving"
"11653ed8-3e29-419c-9a13-c6f7e8e2cd26","","checklist-sectioned","work-in-progress","ITP - Severn St - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Severn St - Thin Asphalt Paving"
"3e35f771-8316-4819-97ac-cf0fd36ecbe4","","checklist-sectioned","work-in-progress","ITP - Industrial Park - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Industrial Park - Thin Asphalt Paving"
"23963e30-6a1a-415f-96a9-c729065b1013","","checklist-sectioned","work-in-progress","ITP - Centennial Ave - Thin Asphalt Paving","checklist","FALSE","FALSE","Thin Asphalt Paving","ITP - Centennial Ave - Thin Asphalt Paving"
"a19a0a76-9f76-43fd-b0da-711fc22e6b02","","checklist-flat","pass","ITP - CONOC NETWORK - Sealed Pavement Repair - Insitu Stabilisation","checklist-flat","FALSE","FALSE","ITP - CONOC NETWORK - Sealed Pavement Repair - Insitu Stabilisation - Test"
"222996f0-e918-4513-9424-37151285c098","","folder-normal","no-status-not-started","","step","TRUE","FALSE","CONOC Operations"
