"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6fec1b9-8fb7-40a3-a9e4-f5969b7dd333","","fail","","folder","TRUE","FALSE","Site QA"
"2710b5d9-ffe9-4288-b9a5-c35696076a3c","","fail","","folder","TRUE","FALSE","Site QA","Structural"
"1f26255e-5b21-47cc-8d17-bef75cdd51da","","fail","","folder","TRUE","FALSE","Site QA","Structural","Level 14"
"8b1eb665-dbf1-414b-819f-1c9e68bdf429","","fail","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 1"
"7f9aaf25-d56d-4164-8059-5b3efe67b547","","work-in-progress","SYS - Columns/Shear Walls","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 1","Columns/Shear Walls"
"ffbbb521-ce00-4739-8cfc-20f0aa105325","","fail","SYS - PT Slabs","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 1","PT Slabs"
"26960f42-6965-4a62-9861-eb93af5c6b96","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 2"
"71478e38-6bdf-4e53-9a52-617f66cab37a","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 2","Columns/Shear Walls"
"2d6e3c74-f0b4-4b55-971c-133fd6d44849","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 2","PT Slabs"
"69a3d13b-13e2-4177-b044-03e8938831d9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 3"
"fe92a013-da0f-4f67-b2fa-7b8d51e7cf5b","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 3","Columns/Shear Walls"
"44d871d6-1fbd-4c75-a86a-d49c5b07905e","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 3","PT Slabs"
"8576b339-7070-4bb3-b4e3-1791252ce2f7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 4"
"d38f3e72-054c-423a-8b5f-f37aee117b7d","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 4","Columns/Shear Walls"
"137b7a21-5c20-4761-a586-3e99a2b17135","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 4","PT Slabs"
"81d16e48-5599-4b24-84d5-99df6f58a125","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 4","L14 P4 Upper"
"bfac12b6-6843-41cb-b34c-519f8f679432","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 4","L14 P4 Upper","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab "
"5125cb3f-7734-4d24-b342-bfecf17992bf","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 5"
"0ca02c5e-672f-4443-9899-66f2f618575b","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 5","Columns/Shear Walls"
"558e0ba5-47a4-4807-9728-eb085693e622","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 5","PT Slabs"
"17b6dfb2-dce3-4ef4-85e2-9dcc8bac933b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 6"
"53c7ff52-d934-4cb0-802c-0d5361669220","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 6","Columns/Shear Walls"
