Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Balustrade Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Block A - Level 1,grouping,Block A - Level 1,,
,,Unit A101,,Unit A101,Level 1,Block A
,,Unit A102,,Unit A102,Level 1,Block A
,,Unit A103,,Unit A103,Level 1,Block A
,,Unit A104,,Unit A104,Level 1,Block A
,,Unit A105,,Unit A105,Level 1,Block A
,,Unit A106,,Unit A106,Level 1,Block A
,,Unit A107,,Unit A107,Level 1,Block A
,,Block A - Level 2,grouping,Block A - Level 2,,
,,Unit A201,,Unit A201,Level 2,Block A
,,Unit A202,,Unit A202,Level 2,Block A
,,Unit A203,,Unit A203,Level 2,Block A
,,Unit A204,,Unit A204,Level 2,Block A
,,Unit A205,,Unit A205,Level 2,Block A
,,Unit A206,,Unit A206,Level 2,Block A
,,Unit A207,,Unit A207,Level 2,Block A
,,Block A - Level 3,grouping,Block A - Level 3,,
,,Unit A301,,Unit A301,Level 3,Block A
,,Unit A302,,Unit A302,Level 3,Block A
,,Unit A303,,Unit A303,Level 3,Block A
,,Unit A304,,Unit A304,Level 3,Block A
,,Unit A305,,Unit A305,Level 3,Block A
,,Unit A306,,Unit A306,Level 3,Block A
,,Unit A307,,Unit A307,Level 3,Block A
,,Block B - Level 1,grouping,Block B - Level 1,,
,,Unit B101,,Unit B101,Level 1,Block B
,,Unit B102,,Unit B102,Level 1,Block B
,,Unit B103,,Unit B103,Level 1,Block B
,,Unit B104,,Unit B104,Level 1,Block B
,,Unit B105,,Unit B105,Level 1,Block B
,,Unit B106,,Unit B106,Level 1,Block B
,,Unit B107,,Unit B107,Level 1,Block B
,,Block B - Level 2,grouping,Block B - Level 2,,
,,Unit B201,,Unit B201,Level 2,Block B
,,Unit B202,,Unit B202,Level 2,Block B
,,Unit B203,,Unit B203,Level 2,Block B
,,Unit B204,,Unit B204,Level 2,Block B
,,Unit B205,,Unit B205,Level 2,Block B
,,Unit B206,,Unit B206,Level 2,Block B
,,Unit B207,,Unit B207,Level 2,Block B
,,Block B - Level 3,grouping,Block B - Level 3,,
,,Unit B301,,Unit B301,Level 3,Block B
,,Unit B302,,Unit B302,Level 3,Block B
,,Unit B303,,Unit B303,Level 3,Block B
,,Unit B304,,Unit B304,Level 3,Block B
,,Unit B305,,Unit B305,Level 3,Block B
,,Unit B306,,Unit B306,Level 3,Block B
,,Unit B307,,Unit B307,Level 3,Block B
,,Block C - Level 1,grouping,Block C - Level 1,,
,,Unit C101,,Unit C101,Level 1,Block C
,,Unit C102,,Unit C102,Level 1,Block C
,,Unit C103,,Unit C103,Level 1,Block C
,,Unit C104,,Unit C104,Level 1,Block C
,,Block C - Level 2,grouping,Block C - Level 2,,
,,Unit C201,,Unit C201,Level 2,Block C
,,Unit C202,,Unit C202,Level 2,Block C
,,Unit C203,,Unit C203,Level 2,Block C
,,Unit C204,,Unit C204,Level 2,Block C
,,Block C - Level 3,grouping,Block C - Level 3,,
,,Unit C301,,Unit C301,Level 3,Block C
,,Unit C302,,Unit C302,Level 3,Block C
,,Unit C303,,Unit C303,Level 3,Block C
,,Unit C304,,Unit C304,Level 3,Block C
,Columns,,,,,
,,Bolts/Screws tight,,Bolts/Screws tight,,
,,Balustrade plumb,,Balustrade plumb,,
,,Handrail straight ,,Handrail straight ,,
,,Scratches touched up,,Scratches touched up,,
,,Balustrade installed with no more than 100mm gap between cladding,,Balustrade installed with no more than 100mm gap between cladding,,
,,"Balustrade installation complete, checked and reviewed",,"Balustrade installation complete, checked and reviewed",,
,,,,,,
Stairs Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Block A - Stair 1,grouping,Block A - Stair 1,,
,,Level 1,,Level 1,Stair 1,Block A
,,Level 2,,Level 2,Stair 1,Block A
,,Level 3,,Level 3,Stair 1,Block A
,,Block B - Stairs,grouping,Block B - Stairs,,
,,Level 1,,Level 1,Stairs,Block B
,,Level 2,,Level 2,Stairs,Block B
,,Level 3,,Level 3,Stairs,Block B
,,Block C - Stairs,grouping,Block C - Stairs,,
,,Level 1,,Level 1,Stairs,Block C
,,Level 2,,Level 2,Stairs,Block C
,,Level 3,,Level 3,Stairs,Block C
,Columns,,,,,
,,Bolts/Screws tight,,Bolts/Screws tight,,
,,Balustrade plumb,,Balustrade plumb,,
,,Handrail straight ,,Handrail straight ,,
,,Scratches touched up,,Scratches touched up,,
,,"Balustrade installation complete, checked and reviewed",,"Balustrade installation complete, checked and reviewed",,
