"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5aa26212-44ab-487c-aa9b-241b84a37c74","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"a20264cd-acac-484a-aecf-5f5c883d488a","","pass","Below ground tremco system","checklist","FALSE","FALSE","Site QA","Below ground tremco system"
"142879b7-bd7b-4d41-9a2d-c24bd8e5d43f","","work-in-progress","L.L Roof plant","checklist","FALSE","FALSE","Site QA","L.L Roof plant"
"968c0163-cd4c-4edb-bf67-c86adb940691","","pass","FLGE 505.2 Deckshield ID 1.5mm","checklist","FALSE","FALSE","Site QA","FLGE 505.1 / 505.2  Flowcoat OP Stairs, BOH, Dry areas (Epoxy)"
"e92e08fb-5328-4d3e-b547-6f68a9f9417b","","pass","FLGE 505.3 Dark grey Deckshield ID 2mm","checklist","FALSE","FALSE","Site QA","FLGE 505.3 Dark grey Deckshield ID 2mm"
"8b9d1089-04c8-477b-ac26-07c18105ff41","","not-started","*1 - Pre-Commencement Activities","checklist","FALSE","FALSE","Site QA","*1 - Pre-Commencement Activities"
"2b6c9c61-dc89-4c2b-91b8-7aae8320b4ec","","work-in-progress","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-06 ROOF AREAS TORCH MEMBRANE BUILDING C Roof level","checklist","FALSE","FALSE","Site QA","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-06 ROOF AREAS TORCH MEMBRANE BUILDING C Roof level"
"7840ef59-b743-4ff4-aab0-aba10a2e0c69","","pass","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-09 TREMCO NEM COURTYARDS BUILDING F Level 3","checklist","FALSE","FALSE","Site QA","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-09 TREMCO NEM COURTYARDS BUILDING F Level 3"
"316250df-fab2-473b-8945-3f88f05df112","","pass","Car Park Sealer","checklist","FALSE","FALSE","Site QA","Car Park Sealer"
"53329301-228c-4694-b5e9-53c0a66ce45e","","not-started","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-06 ROOF AREAS TORCH MEMBRANE BUILDING C Roof level","checklist","FALSE","FALSE","Site QA","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-06 ROOF AREAS TORCH MEMBRANE"
"c1d78b4e-6ea8-4b84-9250-e0ca120c6c90","","not-started","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-09 TREMCO NEM COURTYARDS BUILDING F Level 3","checklist","FALSE","FALSE","Site QA","*Standard ITP - Aus Standards - Wet Area Waterproofing WP-09 TREMCO NEM COURTYARDS"
