Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
QA - Electronic Testing,,,,,,,,
,Scope,,,site qa,rings.,,,
,Rows,,,,,,,
,,Rings 1-500 - 1 to 25,grouping,rings.,site qa,rings 1-500,1 to 25,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,1 to 25
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,1 to 25,electronic testing - phase 2
,,Rings 1-500 - 26 to 50,grouping,rings.,site qa,rings 1-500,26 to 50,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,26 to 50
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,26 to 50
,,Rings 1-500 - 51 to 75,grouping,rings.,site qa,rings 1-500,51 to 75,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,51 to 75
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,51 to 75
,,Rings 1-500 - 76 to 100,grouping,rings.,site qa,rings 1-500,76 to 100,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,76 to 100
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,76 to 100
,,Rings 1-500 - 101 to 125,grouping,rings.,site qa,rings 1-500,101 to 125,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,101 to 125
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,101 to 125
,,Rings 1-500 - 126 to 150,grouping,rings.,126 to 150,site qa,rings 1-500,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,126 to 150,site qa,rings 1-500
,,Electronic Testing - Phase 2,,rings.,126 to 150,site qa,rings 1-500,electronic testing - phase 2
,,Rings 1-500 - 151 to 175,grouping,rings.,site qa,rings 1-500,151 to 175,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,151 to 175
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,151 to 175
,,Rings 1-500 - 176 to 200,grouping,rings.,176 to 200,site qa,rings 1-500,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,176 to 200,site qa,rings 1-500
,,Electronic Testing - Phase 2,,rings.,176 to 200,site qa,rings 1-500,electronic testing - phase 2
,,Rings 1-500 - 201 to 225,grouping,rings.,site qa,rings 1-500,201 to 225,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,201 to 225
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,201 to 225
,,Rings 1-500 - 226 to 250,grouping,rings.,226 to 250,site qa,rings 1-500,
,,Electronic Testing - Phase 1,,rings.,226 to 250,electronic testing - phase 1,site qa,rings 1-500
,,Electronic Testing - Phase 2,,rings.,226 to 250,site qa,rings 1-500,electronic testing - phase 2
,,Rings 1-500 - 251 to 275,grouping,rings.,site qa,rings 1-500,251 to 275,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,251 to 275
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,251 to 275
,,Rings 1-500 - 276 to 300,grouping,rings.,site qa,rings 1-500,276 to 300,
,,Electronic Testing - Phase 1,,rings.,electronic testing - phase 1,site qa,rings 1-500,276 to 300
,,Electronic Testing - Phase 2,,rings.,site qa,rings 1-500,electronic testing - phase 2,276 to 300
,,Rings 1-500 - 301 to 325,grouping,rings.,301 to 325,site qa,rings 1-500,
,,Electronic Testing - Phase 1,,rings.,301 to 325,electronic testing - phase 1,site qa,rings 1-500
,,Electronic Testing - Phase 2,,rings.,301 to 325,site qa,rings 1-500,electronic testing - phase 2
