"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1d7055b2-ec86-4a23-83ea-b88cf88f65e7","","checklist-flat","pass","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E2-E3","Slab Reinforcement"
"c7211857-c417-4896-acf4-5caee34058d6","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E2-E3","Columns checklist"
"d88d6aa2-ba15-4d34-a914-8ab296eeff11","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E3-E4"
"d930a0f1-4ae8-4862-8cf2-eacfea249350","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E3-E4","Lift Footing/ Pile Cap Reinforcement"
"12aa3385-07fb-4476-94e8-31d8c1b56937","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E3-E4","Strip Footing/ Ground Beam Reinforcement"
"884072d6-d707-4588-a9fa-721921918edb","","checklist-flat","pass","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E3-E4","Slab Reinforcement"
"ba7949ba-1996-482e-8ed8-07563c249611","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E3-E4","Columns checklist"
"7277ce85-8f4d-42da-b532-e780220179a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E4-E5"
"2d06b809-fd52-4d08-8a58-1c444015fb3d","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E4-E5","Lift Footing/ Pile Cap Reinforcement"
"f9eccb64-b3a7-415a-b13b-15f72a20b2ab","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E4-E5","Strip Footing/ Ground Beam Reinforcement"
"8aaf5694-27b1-499b-bb2e-835eb7491d96","","checklist-flat","pass","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E4-E5","Slab Reinforcement"
"865ba91a-8693-4421-8b97-8a640c8472fb","","checklist-flat","pass","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Grids E4-E5","Columns checklist"
"d5e4f555-b8f1-42be-9c22-66d12baab418","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1"
"e3c56f77-2e12-4249-8062-a51ca1c5feb8","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids 36A-34"
"a44533c9-9c22-4a62-9e86-48229ea702ce","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids 36A-34","Slab Reinforcement"
"48394b79-62ee-4a7b-b81c-feaca2f5f4d8","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids 34-35"
"08e78fa5-668d-4a08-899a-cd7f8a13ed7e","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids 34-35","Slab Reinforcement"
"703be9ee-ab19-4f53-b8ad-b3aa7d7c814c","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids 35-E1"
"ed3166f3-4282-4edf-aee3-525cf461f23e","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids 35-E1","Slab Reinforcement"
"40dc97e9-0b64-45eb-aa30-5ce1d95e30c8","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E1-E2"
"7a896c98-5d3b-4b88-872b-60479ff2e470","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E1-E2","Slab Reinforcement"
"166e51cd-76c6-4aec-adfc-2e7a95763224","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E2-E3"
"4836aedc-c595-4ff7-ac9f-46932d5c635c","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E2-E3","Slab Reinforcement"
"a51ec0b7-284d-4010-911f-fff0fa8576f0","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E3-E4"
"74d1914b-79f2-4fca-a635-4608e3884a2e","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E3-E4","Slab Reinforcement"
"2f24d79a-5e7e-4ab0-88dd-c44c465506f2","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E4-E5"
"9596605d-409b-4e71-8f5c-6eb1ec76bc06","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Grids E4-E5","Slab Reinforcement"
"6ef554f7-49c1-4ba4-adb8-0a840b2e0d91","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 1","Columns"
"4584d581-1bd9-4915-9df3-264553ddb9e5","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2"
"f80e1c8f-e8e6-4ba8-92e4-5f5992f49c01","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids 36A-34"
"c5eb0569-fdf2-429f-80e3-fc56c7231e7e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids 34-35"
"3d89b039-08a6-4aa2-b8eb-bb8e9e3e4366","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids 35-E1"
"df640ce5-6ee0-41b2-ab96-4030e937cd95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids E1-E2"
"b591a443-2b42-4daa-a223-614a309ae759","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids E2-E3"
"ebb1ad24-aeb5-4e68-9e17-657dc9c9775b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids E3-E4"
