resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.20 - 2P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.20 - 2P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.21 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.21 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.21 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.22 - 14P Consultation Room,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.22 - 14P Consultation Room,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.22 - 14P Consultation Room,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.23 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.23 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.23 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.24 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.24 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.24 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.25 - Community Space,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.25 - Community Space,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.25 - Community Space,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.26 - Customer Experience Room,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.26 - Customer Experience Room,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.26 - Customer Experience Room,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.27 - Corridor,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.27 - Corridor,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.27 - Corridor,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.28 - Waiting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.28 - Waiting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.28 - Waiting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.29 - Coffee Cart,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.29 - Coffee Cart,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.29 - Coffee Cart,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.30 - Open 8P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.30 - Open 8P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.30 - Open 8P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.31 - Concierge,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.31 - Concierge,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.31 - Concierge,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.32 - Customer Arrival,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.32 - Customer Arrival,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.32 - Customer Arrival,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.35 - Landing + Ramp,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.35 - Landing + Ramp,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.35 - Landing + Ramp,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.36 - Open Meet,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.36 - Open Meet,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.36 - Open Meet,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.38 - 12P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.38 - 12P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.38 - 12P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.39 - 12P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.39 - 12P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.39 - 12P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.40 - 12P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.40 - 12P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.40 - 12P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.41 - All Gender WC,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.41 - All Gender WC,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.41 - All Gender WC,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.42 - Lift Lobby 2,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.42 - Lift Lobby 2,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.42 - Lift Lobby 2,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.43 - Storage,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.43 - Storage,Partition Walls,,,,,
