"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"abe7b60f-29d3-435d-95a8-983b7f12db3d","","folder-normal","pass","","step","TRUE","FALSE","Site QA"
"348110e2-6bbf-499c-b383-19e097e37bdb","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Baseplates and Pools"
"04cbdab5-2fec-4fa4-95dd-5852cb5ca343","","checklist-flat","pass","Waterstop-Penebar","checklist-flat","FALSE","FALSE","Site QA","Baseplates and Pools","Waterstop Checklist"
"16ad52bc-d19a-486b-b10d-7c2a5dcb0d4a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Roof"
"5c1bf463-f847-4dda-84ca-bec39c55ec2c","","checklist-flat","pass","fec6e3cd62fc9edb02b75a7daeb9529dc9d98f76aa55e88cc658f1947cb20a4b","checklist-flat","FALSE","FALSE","Site QA","Roof","Polyglass Spider P Checklist"
"ec1cdcbe-f11c-4fe1-aa61-82d3eecdb04a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Pool Structure"
"22dd422d-069e-4017-9f90-15707c9125bd","","checklist-flat","pass","Liquid Membranes Checklist","checklist-flat","FALSE","FALSE","Site QA","Pool Structure","Liquid Membranes Checklist"
"313e732d-ce48-40cc-9478-93775d9716cb","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Globe Base"
"b13b8fc4-dbe4-4aee-ada2-7bc91396bdce","","checklist-flat","pass","Liquid Membranes Checklist","checklist-flat","FALSE","FALSE","Site QA","Globe Base","Liquid Membranes Checklist"
"f49d2031-d5a4-40e0-b6f0-2c20aa2c9bb4","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Planters"
"5243beaf-5a11-4127-b3c9-6bf3bf3380a1","","checklist-flat","pass","Liquid Membranes Checklist","checklist-flat","FALSE","FALSE","Site QA","Planters","Liquid Membranes Checklist"
