"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6d667d0-7f06-40d7-9273-101e0c9b7d70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"fd58f035-ff7d-452a-b51e-ed457ae42be7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","SOG B-1"
"6e02ff0a-5213-4390-8e12-6fa3c4b0e1dc","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs"
"7b7bd6ca-1f9a-4663-b323-cf0021d41a9c","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 4","Screens"
"a3bb59e7-f843-4185-95cc-006a0b3a9b5f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 4","Hoist"
"8525f246-af1d-4a82-b5ad-8eaccadf51c3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"4e9eb61c-c472-4bde-aa10-78bdeaa9ea81","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Columns"
"e36e8c87-cfcb-452d-b41c-9e535da3fbfd","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Walls"
"8484a0ef-ee27-4d9f-8b22-f8965b99e655","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Slab"
"7004508e-66cc-41d8-9799-1b2e28b58b0f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs"
"be66a6f4-f8ef-4926-a4d3-aedee117ab75","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 5","Screens"
"abdf08da-4077-4ac4-a6db-e2a874457e8a","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"4e911cef-2811-4139-84b2-ffb63d41f3c6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"e75cf62b-efa6-44c6-a9f4-0121845842a8","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Columns"
"df18abc2-b3de-47a7-950b-e7768550bcef","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Walls"
"bff8c318-3e9a-497a-b06c-5cd516cb7f5b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Slab"
"662b9d9c-37c1-4123-abd5-f16672b5baf4","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Stairs"
"52624a00-4b36-41e7-9a85-8916816109cc","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 6","Screens"
"b0dc3c0a-d675-40e9-ba64-5bf3c7920c1f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 6","Hoist"
"aee250d2-bb41-4896-b053-536279f38c22","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"19516eb4-d7c8-42c7-9545-b6f5780f0ed4","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Columns"
"4e170fed-3c81-4f1f-afee-4982a899d5c0","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Walls"
"07e73d1d-b901-4336-9532-5eb609b95783","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Slab"
"f616c359-0f18-48be-af63-51f1a1831618","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Stairs"
"9581f861-42b1-41d3-94c1-f2b5030de50e","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 7","Screens"
"3fde87c8-c57c-4e66-947f-fc9858964a4c","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 7","Hoist"
"1f8c6e6d-a204-4d9f-8d3d-341b330cdb93","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"334cbd8e-0ba4-4704-b222-00136c33ec11","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Columns"
"f42f9220-4b97-4c7f-b1a9-8d9568d7f89e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Walls"
"87fcddcb-fbb8-4a38-8881-1509aaa3c10c","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Slab"
"7346c8bc-4950-4095-a0f1-4b5cbc2114bc","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Stairs"
"a4b415b2-9f08-49b3-a967-ddb72a7bac84","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 8","Screens"
"c3abc24d-0eb6-41a0-8d45-c4911716397f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 8","Hoist"
"19ff5181-052a-4281-8642-fc2604ba9dbd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 9"
"5b1e0f68-d486-4294-ae90-72107ad15489","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Columns"
"8c2e3bdb-9046-4ffa-bda8-a85792089587","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Walls"
"2260e5ed-def8-417f-a390-c2d7e721de2d","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Slab"
"8862d487-fe71-4aca-a4f8-b94bc26d1cbd","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Stairs"
"a7c581bd-faef-4943-b960-912029b0f183","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 9","Screens"
"fe66e77c-5d5f-4762-9962-53b4fe4d15de","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 9","Hoist"
"f0c046ad-41fe-4790-a24c-7546d0280d74","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 10"
"2dd85e14-5773-41bc-a759-77ee9e097abc","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Columns"
"8cd18f7a-7f73-4a7b-9c35-0e5ecaf7a737","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Walls"
"2009b6a2-bbee-44fa-a21f-e14144ab120b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Slab"
"d407775f-5ba8-4313-828c-4a9814194847","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Stairs"
"d78af4a9-8d7c-4f28-9d40-fbb359507733","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 10","Screens"
"53847f22-ebf5-4e95-af85-f74d40eea869","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 10","Hoist"
"78c1e298-39c5-48b9-b4e5-4e9988ba713e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 11"
"1fbeeb5f-90c7-4da5-8988-7d659c773d96","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Columns"
"548b0624-4275-40da-9665-d97b9cc9dc86","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Walls"
"c069fa6c-094e-415b-8484-8b7ebc1a8e44","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Slab"
"a1745a6c-29f4-438b-95b8-c1a1ac913b26","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Stairs"
"15b2ee5d-8e54-49a4-bef7-a7d4732aa318","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 11","Screens"
"c5ca691e-752b-4bdc-b79c-43484e149505","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 11","Hoist"
"0c25a8fe-b815-45ef-a02b-7d7a305c497d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 12"
"71daa62e-584e-4733-b170-e37b2a4125ed","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Columns"
"67ffcd4a-6249-491f-b855-e3c5739852f0","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Walls"
"6e6ab133-9439-49ec-8df4-ea8b65987fd8","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Slab"
"e6d88b47-0bf6-4e1f-b29e-f4297123b898","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Stairs"
"dfd01a12-435b-4db4-a758-b9a4bf3b4cbd","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 12","Screens"
"8b9037d8-ed9c-4abe-b6c8-4b8c6b854731","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 12","Hoist"
"0bf11b73-2c5e-457d-b342-5064f3e5e2b2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 13"
"0ab2c493-1c6f-4692-8abf-94c2844c6188","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Columns"
"33e26d81-b9d4-4762-a823-c1a041597de3","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Walls"
"acb1e96d-c2d0-42e3-8c29-e77db47f9e29","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Slab"
"be41c6dd-2ab0-4a98-a950-9ed229896e20","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Stairs"
"c7dd6c4b-728e-4e5d-8f9a-0053fa69ff60","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 13","Screens"
"a929dfa0-c75e-43df-8b66-b240801d2ef2","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 13","Hoist"
"f4d344a8-04ec-4d73-80f9-38451257c80f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 14"
"8c30250d-57c4-4c46-bfe4-71f436474971","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Columns"
"1703478c-9c87-411d-80b2-1f9aa574cb63","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Walls"
"95f8a7a7-b452-4fee-bb7f-c0f013e5f387","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Slab"
"b1854265-3118-43a8-b532-128f8394a27f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Stairs"
"d73d9245-914f-42ca-923a-0e5d9dcb0ac4","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 14","Screens"
"4b79b9b4-f452-445e-9263-922d4b1dd478","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 14","Hoist"
"a8ff61c6-e200-427e-ac8b-781596f750c9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 15"
"83f6f9c2-7e7b-4e50-8389-e6cee351d02c","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Columns"
"c06b0158-2229-40bd-94ba-3b153ec58683","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Walls"
"bc19d077-5081-406a-9941-47774dc28afe","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Slab"
"69cdc33c-583d-4cb7-ba8d-2ef5974380a1","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Stairs"
"3eff06e0-62f1-4c88-90f9-6fe09c4dd754","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 15","Screens"
"4401a20f-22b5-4adc-82b9-c7e1c7215b89","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 15","Hoist"
"0d703d4e-4863-441a-8d34-4e3cc2458b36","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 16"
"d673f805-d5f6-45a6-b457-024b9ac5dcf6","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Columns"
"eebbba0b-d25b-4c06-b85c-fbc77f24b039","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Walls"
"5cc2c44f-0116-4ac0-bfa1-022dbfcceb69","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Slab"
"0a89f678-be5c-43e8-bf89-d65b47ebc6dd","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Stairs"
"6e203c19-4b2d-4d59-86e8-13f99644ddf4","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 16","Screens"
"ed6694db-2734-4567-8ba9-57941d034b98","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 16","Hoist"
"62169ea8-2f0c-40ed-b81f-e5d6444b151b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 17"
"8647aa7d-9fc3-4a00-8632-d63a51293001","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Columns"
"ac0e9a75-0241-4327-a37c-9c4956e9af28","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Walls"
"a481de3f-227a-4933-a1c1-19d49350d944","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Slab"
"51f1f04c-1efb-41cd-b220-60ff58cf8f5f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Stairs"
"bd9c8391-29be-4dc0-82e7-4b16bb38c164","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 17","Screens"
"151a1d41-ab18-4c51-89b8-eef0206a185c","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 17","Hoist"
"f546cdce-41df-4eb1-bc9a-11bf6fc33b3b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 18"
"b34862ce-4f85-4feb-83f7-63812ef8b36e","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Columns"
"480642c8-940f-4fc4-8c8b-765f1b6ef84b","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Walls"
"f218ebf6-4546-4093-90b1-b0097967fdd3","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Slab"
"767d9224-b9c1-4c85-acc2-cb512ea8896f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Stairs"
"a2bda454-a99e-43e9-bf76-4c6f4aabada3","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 18","Screens"
"83d7ba9d-eb4e-44bd-9e40-0c3c2d926dd8","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 18","Hoist"
"50a2fbfa-2075-45ed-8c8e-fd872e1e3903","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 19"
"f117abb9-4006-4eef-8f32-f4ad837b0e1e","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Columns"
"fa7614e3-7fc4-45ba-a416-a6d63aebcf4a","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Walls"
"12a294d7-41de-43e4-b4f5-a892f7ddd81c","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Slab"
"66a3e7ee-bfe7-4f37-a949-77d02aab4a34","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Stairs"
"101d4926-aeb4-4f45-bb8a-511cd066b955","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 19","Screens"
"ba1eefde-6b37-4a27-88c0-976d46006309","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 19","Hoist"
"65b85411-6419-4ae9-b812-ea12427e0c6d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 20"
"06899043-28e7-4ad3-aaa1-348b9b3672ea","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Columns"
"aede6fbd-d640-4d64-b91d-6065597e00e6","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Walls"
"3edf4669-65ce-4f7c-903f-6ae73e98efb6","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Slab"
"92b9b4fd-d44d-4d4e-90bb-7fe9c1915306","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Stairs"
"25f44fed-c54f-421b-8241-9318043ecee3","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 20","Screens"
"483d41ca-794d-4c38-9ec8-594312ee1b75","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 20","Hoist"
"95aab3af-cbd9-47f9-a86e-7bb1c6e41819","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 21"
"cd2eda79-158b-4370-b61a-0b5caa881ce3","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 21","Columns"
"a00f519f-c651-4108-8c53-20448be737b3","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 21","Walls"
"c6ac3cde-e640-4740-8585-76bac471ddc8","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 21","Slab"
"ad0fa923-a22e-4b7b-88c8-4a74dfd280d8","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Stairs"
