resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Tower 1 West,,,,,,,,
,,,step,,,,Level 4,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 401,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 402,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 403,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 404,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 405,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 5,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 502,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 503,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 504,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 505,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 506,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 501,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area Corridor/ Lift Lobby,,,,,,
,,,step,,,,Level 6,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 601,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 602,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 603,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 604,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 605,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 606,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 7,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 701,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 702,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 703,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 704,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 705,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 706,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 8,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 801,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 802,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 803,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 804,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 805,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 806,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 9,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 901,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 902,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 903,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 904,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 905,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 10,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1001,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1002,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1003,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1004,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1005,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 11,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1101,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1102,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1103,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1104,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1105,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 12,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1201,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1202,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1203,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1204,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1205,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 13 Apartments,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment PH01,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment PH02,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Common Area - Corridor/Lift Lobby,,,,,,
,,,step,,,Tower 2 East,,,,,,,,
,,,step,,,,Level 4,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 407,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 408,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 409,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 410,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 411,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Corridor/ Lift Lobby,,,,,,
,,,step,,,,Level 5,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 507,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 508,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 509,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 510,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 511,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 512,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/ Lift Lobby,,,,,,
,,,step,,,,Level 6,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 607,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 608,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 609,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 610,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 611,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 612,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 7,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 707,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 708,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 709,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 710,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 711,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 712,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 8,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 807,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 808,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 809,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 810,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 811,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 812,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 9,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 906,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 907,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 908,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 909,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 910,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 10,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1006,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1007,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1008,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1009,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1010,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 11,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1106,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1107,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1108,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1109,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment 1110,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
,,,step,,,,Level 12,,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment PH07,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,Timber Installation Checklist,folder-with-checklists,,,,,Apartment PH08,,,,,,
Floor Prep Checklist,Carpet & Vinyl Installation Checklist,,folder-with-checklists,,,,,Public Corridor/Lift Lobby,,,,,,
