"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30ca6050-e622-455f-9e5f-1b56bd18765c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"19505ca2-d2fc-41c4-81ba-d647d41b7065","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","BASEMENT 02"
"6b0de0ee-9906-4df1-ac6d-af6154d3d672","","checklist-flat","not-started","6f7e78447d747636b87d7eb6e5dfdbf883deb0fc05398d0291477b3d82a922c2","checklist-flat","FALSE","FALSE","Site QA","BASEMENT 02","PUMP ROOM"
"9b32f553-74b1-41ef-8a50-4d8a9e681a40","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","BASEMENT 01"
"5858b9cf-4945-488b-b6db-97631b4c9be4","","checklist-flat","not-started","6f7e78447d747636b87d7eb6e5dfdbf883deb0fc05398d0291477b3d82a922c2","checklist-flat","FALSE","FALSE","Site QA","BASEMENT 01","BIN STORE"
"02a42c21-39d2-46fe-a49f-2aa65329d6bc","","checklist-flat","not-started","aad3d07260b2499ba724aa76dd3171d8e23eb8762deccb1bbd49aa9071a95ec8","checklist-flat","FALSE","FALSE","Site QA","BASEMENT 01","EXPOSED POOL DECK"
"3fc4271e-687d-4b0d-85cb-288f51e96a1a","","checklist-flat","not-started","adee9909a5ba8f384be5d713e2ff59b109937f2ae29c8d594b8b9daf904488f6","checklist-flat","FALSE","FALSE","Site QA","BASEMENT 01","LANDSCAPING"
"0f8492be-955d-4b50-81a4-e0fc7452c4a8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01- UPPER GROUND"
"8bdb2730-7415-4888-b3c5-70f226569513","","checklist-flat","not-started","adee9909a5ba8f384be5d713e2ff59b109937f2ae29c8d594b8b9daf904488f6","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","LANDSCAPING"
"4b56c806-156d-4eca-b9f9-55703d3dc657","","checklist-flat","not-started","5e9042212313f4842f475f8c3af99133dbcd95ccbf1dd17545bc4dae27cc8c2e","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","TERRACE"
"d5170b5e-5565-4a35-aade-077d1f54e016","","checklist-flat","not-started","5e9042212313f4842f475f8c3af99133dbcd95ccbf1dd17545bc4dae27cc8c2e","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","BALCONY"
"aaa6ebe9-6328-4ab4-81a3-9708cf49fd72","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT101"
"acde1f99-dd8f-444a-8c30-6d877260e957","","checklist-flat","not-started","5e9042212313f4842f475f8c3af99133dbcd95ccbf1dd17545bc4dae27cc8c2e","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT101","BALCONY"
"5821cc25-d17b-4256-b6c4-777eff159676","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT101","BATH-04"
"39d30031-409a-4aea-99f6-29229614c3ae","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT101","LND-03A"
"7804fcd5-a958-4d7a-aaa8-057f41f9cd39","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT102"
"a1e740d5-f0f6-47a8-b25b-85adb3793b3b","","checklist-flat","not-started","5e9042212313f4842f475f8c3af99133dbcd95ccbf1dd17545bc4dae27cc8c2e","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT102","BALCONY"
"b6f22faa-8d10-470f-9623-807bf9938881","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT102","ENS-05"
"9cce6615-f575-45ba-892b-04a285ccf0b9","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT102","BATH-06"
"0c853a73-b601-4e3f-b9b6-939383dd140f","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT102","ENS-06"
"6e94a4f4-b2bb-4c0b-a33c-baa14d69d175","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01- UPPER GROUND","LOBBYL01"
"6c7a6c5b-c829-4078-97c8-3e324e48bbfe","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","LOBBYL01","COLD WATER METER"
"a7aaed65-89a1-4dbd-be7f-f5e2758df9c6","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","LOBBYL01","ENS-01"
"dd08a8e0-ea47-4659-95e0-a191ec54011f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT103"
"be4ed0b5-b6fd-42b8-b44c-4fcd38713bd4","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT103","BATH-03"
"75f69587-85a4-4221-b61f-127b86e4ae66","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT103","LND-03B"
"af0d0cad-bf58-4b46-8914-30b8d9bb68b2","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT103","ENS-03"
"5d4b0cbc-7bcd-4011-b2ec-de220c179324","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT104"
"19194a11-0367-4227-8728-f99ddff4e262","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT104","BATH-03"
"28f463cc-141e-401c-b121-f951e11974a8","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT104","LND-03C"
"294d353a-9572-43ba-9882-06d9161599eb","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT104","ENS-04"
"e1378365-3fa1-4549-8687-dba3bc875bc3","","checklist-flat","not-started","607e83f944ff6794881612355bd600f673143dde459713a0f2bd7b5455ebc255","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01- UPPER GROUND","APT104","BOOSTER CABINET"
"b6bff14d-788f-42a4-89f1-8ae0defa7123","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","LEVEL 02"
"50902ef0-56a0-4901-8b5c-a85a22fc33b3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 02","APT01"
"ea1a1aad-52c1-4bd8-a373-8257d05c8807","","checklist-flat","not-started","5e9042212313f4842f475f8c3af99133dbcd95ccbf1dd17545bc4dae27cc8c2e","checklist-flat","FALSE","FALSE","Site QA","LEVEL 02","APT01","BALCONY"
