Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Overall Progress,,,,,,,,,
,Scope,,,Site QA,,,,,
,Rows,,,,,,,,
,,HOTEL QA,dynamic,Site QA,HOTEL QA,,,,
,,Switchboards,dynamic,Site QA,Switchboards,,,,
,Columns,,,,,,,,
,,QA,,Site QA,,,,,
,,,,,,,,,
HOTEL QA - Detailed Progress,,,,,,,,,
,Scope,,,Site QA,HOTEL QA,,,,
,Rows,,,,,,,,
,,Basement Level B1,dynamic,Site QA,HOTEL QA,Basement Level B1,,,
,,Ground,dynamic,Site QA,HOTEL QA,Ground,,,
,,Level 1,dynamic,Site QA,HOTEL QA,Level 1,,,
,,Level 2,dynamic,Site QA,HOTEL QA,Level 2,,,
,,Level 3,dynamic,Site QA,HOTEL QA,Level 3,,,
,,Level 4,dynamic,Site QA,HOTEL QA,Level 4,,,
,,Level 5,dynamic,Site QA,HOTEL QA,Level 5,,,
,,Level 6,dynamic,Site QA,HOTEL QA,Level 6,,,
,,Level 7,dynamic,Site QA,HOTEL QA,Level 7,,,
,,Level 8,dynamic,Site QA,HOTEL QA,Level 8,,,
,,Level 9,dynamic,Site QA,HOTEL QA,Level 9,,,
,,Level 10,dynamic,Site QA,HOTEL QA,Level 10,,,
,,Level 11,dynamic,Site QA,HOTEL QA,Level 11,,,
,Columns,,,,,,,,
,,Lighting roughed in,,Lighting roughed in,Rough In & Fit Off,,,,
,,Power roughed in,,Power roughed in,Rough In & Fit Off,,,,
,,Lighting control roughed in (DALI),,Lighting control roughed in (DALI),Rough In & Fit Off,,,,
,,Light feed installed,,Light feed installed,Rough In & Fit Off,,,,
,,Power feeds installed,,Power feeds installed,Rough In & Fit Off,,,,
,,Lighting fit off,,Lighting fit off,Rough In & Fit Off,,,,
,,Power fit off,,Power fit off,Rough In & Fit Off,,,,
,,Room complete,,Room complete,Rough In & Fit Off,,,,
,,Cable Tray Completed,,Cable Tray Completed,Cable Tray,,,,
,,,,,,,,,
Switchboards (MP-R) - Detailed Progress,,,,,,,,,
,Scope,,,Site QA,Switchboards,MP-R,,,
,Rows,,,,,,,,
,,MP-R,dynamic,Site QA,Switchboards,MP-R,,,
,Columns,,,,,,,,
,,DB installed,,DB installed,DB,,,,
,,CB's installed,,CB's installed,DB,,,,
,,Mains roughed in,,Mains roughed in,DB,,,,
,,Lighting feeds roughed in,,Lighting feeds roughed in,DB,,,,
,,Power feeds roughed in,,Power feeds roughed in,DB,,,,
,,Lighting control feeds roughed in (CBUS & DALI),,Lighting control feeds roughed in (CBUS & DALI),DB,,,,
,,Mains fit off,,Mains fit off,DB,,,,
,,Lighting fit off,,Lighting fit off,DB,,,,
,,Power fit off,,Power fit off,DB,,,,
,,Lighting control fit off (CBUS & DALI),,Lighting control fit off (CBUS & DALI),DB,,,,
,,Schedule completed (attached to door),,Schedule completed (attached to door),DB,,,,
,,DB cleaned,,DB cleaned,DB,,,,
,,Glands tight,,Glands tight,DB,,,,
,,Escutchion secured,,Escutchion secured,DB,,,,
,,DB complete,,DB complete,DB,,,,
,,,,,,,,,
Switchboards (MSB-3) - Detailed Progress,,,,,,,,,
,Scope,,,Site QA,Switchboards,MSB-3,,,
,Rows,,,,,,,,
,,MSB-3,grouping,MSB-3,,,,,
,,MDB-GEN-COEX,,Site QA,Switchboards,MSB-3,MDB-GEN-COEX,,
,,MDB-Hotel,grouping,MDB-Hotel,,,,,
,,EDB-H-B1CP,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-B1CP,
,,EDB-H-M-COM,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-M-COM,
,,EDB-H-H1-BR/PF,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-H1-BR/PF,
,,EDB-H-L2-GYM/POOL,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-L2-GYM/POOL,
,,EDB-H-L10-KIT,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-L10-KIT,
,,EDB-H-M-UPS-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-M-UPS-01,
,,EDB-H-L1KIT,,Site QA,Switchboards,MSB-3,MDB-Hotel,EDB-H-L1KIT,
,,LIFT-H1,,Site QA,Switchboards,MSB-3,MDB-Hotel,LIFT-H1,
,,LIFT-H2,,Site QA,Switchboards,MSB-3,MDB-Hotel,LIFT-H2,
,,LIFT-H3,,Site QA,Switchboards,MSB-3,MDB-Hotel,LIFT-H3,
,,LIFT-H4,,Site QA,Switchboards,MSB-3,MDB-Hotel,LIFT-H4,
,,LIFT-F1,,Site QA,Switchboards,MSB-3,MDB-Hotel,LIFT-F1,
,,LIFT-H6,,Site QA,Switchboards,MSB-3,MDB-Hotel,LIFT-H6,
,,MSSB-R-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-R-01,
,,MSSB-B1-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-B1-01,
,,DIESEL FIRE PUMP 1,,Site QA,Switchboards,MSB-3,MDB-Hotel,DIESEL FIRE PUMP 1,
,,DIESEL FIRE PUMP 2,,Site QA,Switchboards,MSB-3,MDB-Hotel,DIESEL FIRE PUMP 2,
,,JACKING PUMP,,Site QA,Switchboards,MSB-3,MDB-Hotel,JACKING PUMP,
,,HOT WATER PLANT,,Site QA,Switchboards,MSB-3,MDB-Hotel,HOT WATER PLANT,
,,MSSB-G-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-G-01,
,,MSSB-MEZZ-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-MEZZ-01,
,,MSSB-L1-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-L1-01,
,,MSSB-L1-02,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-L1-02,
,,MSSB-L2-01,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-L2-01,
,,MSSB-R-02,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-R-02,
,,MSSB-R-03,,Site QA,Switchboards,MSB-3,MDB-Hotel,MSSB-R-03,
,,MDB-Hotel - HOUSE RISER,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOUSE RISER,
,,MDB-Hotel - HOTEL ROOM RISER - EDB-H-L3,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOTEL ROOM RISER,EDB-H-L3
,,MDB-Hotel - HOTEL ROOM RISER - EDB-H-L4-COM,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOTEL ROOM RISER,EDB-H-L4-COM
,,MDB-Hotel - HOTEL ROOM RISER - EDB-H-L5-COM,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOTEL ROOM RISER,EDB-H-L5-COM
,,MDB-Hotel - HOTEL ROOM RISER - EDB-H-L6-COM,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOTEL ROOM RISER,EDB-H-L6-COM
,,MDB-Hotel - HOTEL ROOM RISER - EDB-H-L7-COM,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOTEL ROOM RISER,EDB-H-L7-COM
,,MDB-Hotel - HOTEL ROOM RISER - EDB-H-L8-COM,dynamic,Site QA,Switchboards,MSB-3,MDB-Hotel,HOTEL ROOM RISER,EDB-H-L8-COM
