resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Delays,,,,,,,,,
,step,,,Site Safety,,,,,,,,,
,step,,,Site QA,,,,,,,,,
,step,,,,HOTEL QA,,,,,,,,
,step,,,,,Basement Level B1,,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.B1.002,,,,,,
Rough In & Fit Off 2,checklist,,,,,,General store 2.B1.004,,,,,,
Rough In & Fit Off 2,checklist,,,,,,General store 2.B1.004,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Retail store 2.B1.006,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hotel carpark 2.B1.016,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hydraulic plant 2.B1.025,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Retail tenant store 2.B1.026,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hotel fire pump & tank room 2.B1.027,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Diesel fuel tank 2.B1.028,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hydraulic plant 2.B1.029,,,,,,
,step,,,,,Ground,,,,,,,
Cable Tray,checklist,,,,,,Cable Tray,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.00.001,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Corridor 2.00.002,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Purchase office 2.00.003,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hotel general waste store 2.00.004,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Debox room 2.00.005,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Acc WC 2.00.006,,,,,,
Rough In & Fit Off 2,checklist,,,,,,AG WC 2.00.007,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Office 2.00.008,,,,,,
Rough In & Fit Off 2,checklist,,,,,,FCP 2.00.009,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Luggage 2.00.010,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hotel lobby 2.00.011,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Waiting 2.00.012,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Airlock 2.00.013,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Cafe 2.00.014,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Kitchen 2.00.015,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Dirty Linen 2.00.017,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Food & beverage 2.00.018,,,,,,
,step,,,,,Level 1,,,,,,,
Cable Tray,checklist,,,,,,Cable Tray,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.01.001,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.01.002,,,,,,
Rough In & Fit Off 2,checklist,,,,,,All day dinning 2.01.003,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Ballroom 2.01.005,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Cloak store 2.01.006,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Operable wall store 2.01.007,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Prefunction 2.01.008,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Ballroom store 2.01.009,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Corridor 2.01.010,,,,,,
Rough In & Fit Off 2,checklist,,,,,,ACC 2.01.011,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hotel kitchen 2.01.012,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Hotel plant 2.01.013,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Female WC 2.01.015,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Linen store 2.01.026,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Male WC 2.01.027,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Furniture store 2.01.030,,,,,,
,step,,,,,Level 2,,,,,,,
Cable tray,checklist,,,,,,Cable tray,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.02.001,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.02.002,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Linen store 2.02.003,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lobby lounge 2.02.004,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Gym 2.02.005,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Female change 2.02.006,,,,,,
Rough In & Fit Off 2,checklist,,,,,,ACC WC 2.02.007,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Male change 2.02.008,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Pool 2.02.009,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Pool plant 2.02.010,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Pool store 2.02.011,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Cleaner 2.02.012,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Store room 2.02.013,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Store 2.02.014,,,,,,
Rough In & Fit Off 2,checklist,,,,,,ACC WC 2.02.015,,,,,,
Rough In & Fit Off 2,checklist,,,,,,AG WC 2.02.016,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Meeting 10P 2.02.018,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Function room 20P 2.02.019,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Corridor 2.02.021,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Open work 2.02.022,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Plant 2.02.023,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 201,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 202,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 203,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 204,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 205,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 206,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 207,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 208,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 209,,,,,,
,step,,,,,Level 3,,,,,,,
Cable tray,checklist,,,,,,Cable tray,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Lift lobby 2.03.001,,,,,,
Rough In & Fit Off 2,checklist,,,,,,BOH service corridor 2.03.002,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Corridor 2.03.010,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 301,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 302,,,,,,
Rough In & Fit Off 2,checklist,,,,,,Room 303,,,,,,
