"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3d321021-b6f6-41b6-88c0-a8434b527a36","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturing QA"
"09809baa-34c7-4f33-8234-7168558a1013","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01"
"c20e491f-d022-469c-8bf7-550e9fe1a85a","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01","Apartment 1.04"
"48f3c31e-d642-4d59-aa4b-f7b4cad26fa4","","checklist-flat","pass","Windows Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25"
"39dc8685-9191-5e1b-8ee2-91a766dea128","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","WANZ notes applied"
"d2885f35-4d22-54fb-8e0a-db05a091c617","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Surface finish is compliant to standards"
"39b5c8f0-855b-51da-94a2-9f83895a9ab6","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Small Joint and back sealing correct"
"2b644d5e-2e17-5832-b2c3-d1cbf6c2ab4a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Hardware is correct and correctly fitted"
"9c85ef91-7e4c-5531-acca-faad54fc8a3a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","01003 Liner adaptor fitted to specified centres"
"791448cf-a0aa-536e-ade1-53f04acc9fee","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Item number & description written on adaptor"
"f9d92992-3b5b-51b3-b6d2-ce40eb4273f9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Sizes are correct against job sheets"
"43a3fbe7-c741-5f2c-bf38-f8732c4e63a6","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Drainage correct as per APL manufacturing pack"
"4b3834f4-9ae7-54c8-b72e-762b4df20667","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Sashes are fitted square and operating correctly"
"40cedb73-f06b-58ed-b27c-23111c3ff3ff","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Restrictor stays fitted where required"
"d964cf8c-f005-5d4d-8728-cccac971d125","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25","Correct beads supplied for site glazing"
"55686561-892f-4d49-a0c2-27ccc014640d","","checklist-flat","pass","Slider Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H"
"9bd5719b-ef92-5ae6-a610-36697e05e8a6","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","WANZ notes applied"
"8d63507a-84fa-5831-b408-f60e0fea9bf7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Surface finish is compliant to standards"
"02eb7461-1f6b-5ae4-8af5-cf71f4828daa","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Small Joint and back sealing correct"
"b2b85d5d-a8f4-56a3-a459-4326e6285665","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Hardware is correct and correctly fitted"
"f978a071-16fe-5e70-b4db-a66d8f27ea68","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","01003 Liner adaptor fitted to specified centres"
"a5d807be-de1b-52ec-82a4-bf5dbd453be6","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Item number & description written on adaptor"
"94b3a395-76dd-5298-9c31-2484aa5a5720","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Sizes are correct against job sheets"
"fde8a427-bf12-524b-bbee-1ec2a5922f70","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Drainage correct as per APL manufacturing pack"
"92bd9c15-671b-5a0f-8745-492e13f08d15","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Panels are sliding freely"
"514b9337-187a-5586-949f-d04ddc1a5b46","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Correct weight rollers fitted"
"47f2bc03-df91-5737-973c-8b2accff1917","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Stops and end caps fitted correctly"
"7cc4ceed-fd8d-5e9d-b664-d82616d95118","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Infills fitted correctly"
"7961563f-c9bd-5399-982c-59a0dfbfa909","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.04","W-104-01 - W49H","Correct beads supplied for site glazing"
"6ae67765-8787-4d6f-ba8c-40fdd1b6d6b9","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01","Apartment 1.05"
"09df6b18-fce2-432d-bc63-164940d45da0","","checklist-flat","pass","Slider Manufacturing (with Stiffeners fitted)","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H"
"a856e4a1-f332-5a7d-b25f-59eeb2ee9dfe","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","WANZ notes applied"
"731447b9-948e-5551-8a85-cd789ea0e322","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Surface finish is compliant to standards"
"d90678a6-8290-5d2b-bcbe-1ec056bc80ce","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Small Joint and back sealing correct"
"d1c16fa1-3fc9-5db6-80de-c4d53aa13293","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Hardware is correct and correctly fitted"
"dabc936c-8080-5b3f-83fd-1da956d1fea1","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","01003 Liner adaptor fitted to specified centres"
"ea43f22d-c2a6-589c-b509-84a1084f3c09","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Item number & description written on adaptor"
"0b33a161-997c-558e-9f63-4f9d797dfdeb","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Sizes are correct against job sheets"
"581920dc-36f3-5ffd-acc1-0185dfe1133b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Drainage correct as per APL manufacturing pack"
"889f22a8-a747-5546-83aa-51bc45354776","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Panels are sliding freely"
"2e88707c-c50e-50d1-bbd9-6924d8ebb2a3","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Correct weight rollers fitted"
"6ded0bea-8fd3-55e6-8952-e8285c097703","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Stops and end caps fitted correctly"
"afbc0c14-58a5-57bf-9670-eb873ccc759b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Infills fitted correctly"
"429e714e-0f63-5477-8193-2143579351a4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Correct beads supplied for site glazing"
"e69e8ea2-f940-5a2d-b459-5b4417d5c4e0","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-02 - W48H","Stiffeners fitted - 47x27x3 Bended galvenised steel channel fitted inside interlocker"
"583218db-e3f0-4674-9157-3cb9814a8d90","","checklist-flat","pass","Slider Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49"
"223c1b61-6817-5440-8815-d454e71e3690","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","WANZ notes applied"
"f293be4c-4824-58a3-9457-78fdd2707a76","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Surface finish is compliant to standards"
"009fa349-f1c2-55f8-a9eb-b3c702f17efd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Small Joint and back sealing correct"
"5f939395-cffe-541f-8079-a60b2a802740","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Hardware is correct and correctly fitted"
"8fd8f9d2-f6db-583a-8861-0360731527dd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","01003 Liner adaptor fitted to specified centres"
"0069168a-8f58-5a0a-88c0-be028eadb3dd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Item number & description written on adaptor"
"8f71e993-8593-536d-95e2-6c37d9aba427","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Sizes are correct against job sheets"
"70f2e7df-773a-57d8-b852-08ab8d242006","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Drainage correct as per APL manufacturing pack"
"cf82380c-df37-5920-bfe4-0db9760c6115","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Panels are sliding freely"
"099a577c-68ff-5f52-9c7c-ad8bf564d052","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Correct weight rollers fitted"
"07988b5f-97c5-513f-bf0b-18bde2f3d574","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Stops and end caps fitted correctly"
"276ea69a-6c82-5515-b6a6-3add5f95dee6","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Infills fitted correctly"
"5dbcd0ba-b2a8-57ea-a9bb-23529654635e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-01 - W49","Correct beads supplied for site glazing"
"da270139-68ec-49a9-8e4a-f62c521435a3","","checklist-flat","pass","Hinge door Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42"
"702157fd-f8ab-5cbe-85da-8c679c3ec8dd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","WANZ notes applied"
"a36b11ed-6abf-5567-8d7e-dd0613d9383c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Surface finish is compliant to standards"
"ec5a7375-f626-5b74-9bd7-fe51bc652404","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Small Joint and back sealing correct"
"529ca778-456a-5d70-ac2d-86254482b250","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Hardware is correct and correctly fitted"
"85bbb209-ef51-5f93-be99-9ce3002d76ee","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","01003 Liner adaptor fitted to specified centres"
"5ee59740-94f6-5f4a-87b0-14a8e2032c18","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Item number & description written on adaptor"
"d9a7ca00-e25c-5c46-b915-ecd91ead7ef8","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Sizes are correct against job sheets"
"e4dc0f7c-b0ac-5362-8faa-25edc7cc9184","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Drainage correct as per APL manufacturing pack"
"91f04870-6867-5452-820a-f45e252cdba0","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Doors are square and operating/sealing correctly"
"a36dfc32-c254-5841-89b4-9df037f0e96f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Strikers are engaging correctly"
"f550b5d6-49e7-5a2d-94fb-087fece6f285","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Flush Bolts/twin bolts are engaging correctly"
"40f80c09-e0b1-5ca2-aad8-f736305944b7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 1.05","W-105-03 - W42","Correct beads supplied for site glazing"
"d431030f-0564-4d31-90d3-c52e2799a450","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01","Apartment 2.07"
"5953fc5f-7345-4293-83fc-804407ad6903","","checklist-flat","pass","Slider Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45"
"d979d511-2156-52ee-86b1-c8be1ef7cdcc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","WANZ notes applied"
"05818a75-1f94-5c9a-afbb-e8549ece3d01","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Surface finish is compliant to standards"
"50763c7e-68fa-5f7d-a4ea-764b6bb2e847","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Small Joint and back sealing correct"
"dc43632e-d6cb-5315-8c11-018719614b0b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Hardware is correct and correctly fitted"
"73fd4c29-e344-5ee6-a631-87cc7e49670c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","01003 Liner adaptor fitted to specified centres"
"4bd2adbd-3acd-5d68-962f-4a7c9c43e02c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Item number & description written on adaptor"
"482d618a-e1a9-566b-a7c4-f657234b501c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Sizes are correct against job sheets"
"6175f168-29ae-5c11-aba1-6ce3e861c828","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Drainage correct as per APL manufacturing pack"
"42e75b9c-3f34-5380-a036-1a9caa229044","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Panels are sliding freely"
"aab5d74d-8e9f-5484-8f10-62c517dd9621","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Correct weight rollers fitted"
"b7f8dac9-291d-5a5f-af46-65ddd5cc8074","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Stops and end caps fitted correctly"
"71b91d58-f68f-5fd6-8e2b-0988860e8831","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Infills fitted correctly"
"9d4e621c-d317-5bd5-8707-4d8adb9cd0bb","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-03 - W45","Correct beads supplied for site glazing"
"249ac53b-9c72-45a8-bf79-ff551035f649","","checklist-flat","pass","Windows Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33"
"1f44a60c-d166-59a3-995b-2b0b0b7f48a4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","WANZ notes applied"
"66d074e0-7a81-5a85-81db-30fcba9eb352","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Surface finish is compliant to standards"
"814aec69-78df-5165-89b7-e20715f3e057","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Small Joint and back sealing correct"
"445b2df0-d87c-529f-97ed-c87cd045c7c3","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Hardware is correct and correctly fitted"
"bf07b760-ff31-50a6-8172-0ba9b77517f2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","01003 Liner adaptor fitted to specified centres"
"5ca3b800-db33-56b8-b312-be2f9930ef0d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Item number & description written on adaptor"
"d6542a2a-ff56-5fd4-a278-aab621a676c9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Sizes are correct against job sheets"
"1c15f9e8-bcc6-5767-aec2-044266d66278","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Drainage correct as per APL manufacturing pack"
"d5b17614-09cc-561b-b3e4-01f22892b9ef","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Sashes are fitted square and operating correctly"
