"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4f4aab99-de6e-4c56-8b08-6a9cfa7f9c79","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"120792e9-ce20-4860-a820-934b37f98ba6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 1 ( Dalgety Drive Park)"
"aff14b9a-fb2c-40c8-af18-f842aba0ba22","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 1 ( Dalgety Drive Park)","Area 1-1A-1"
"39c437f5-a7a7-40ec-b811-4a0150a1236e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 1 ( Dalgety Drive Park)","Area 1-1A-2"
"750b3a6a-ae65-456d-9a0e-a36fc0681309","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 1 ( Dalgety Drive Park)","Area 1-1A-3"
"1e03b010-381f-4d1e-9b37-13dcc38b298a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 2 (McVilly Road/Browns Road)"
"c64d5949-c524-4cd8-9204-099bf9531729","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 2 (McVilly Road/Browns Road)","Area 2-2A-1"
"ceb07957-05a9-4c4a-8e04-27de3542de8d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 2 (McVilly Road/Browns Road)","Area 2-2A-2"
"0cbd9371-1c1e-471b-b9b8-d8bbe95b9d2a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 2 (McVilly Road/Browns Road)","Area 2-2A-3"
"a8afd935-e785-4e7a-8863-7f1a7ceb69ba","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)"
"8dea0f44-2319-4baf-a3f7-7c1e3d6fb3b0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-1"
"9059e69e-ec9f-47ab-b18e-ae3c46db8cd9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-2"
"40229e48-6c90-48d0-8e84-ee201021e3f7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-3"
"46be716e-94c8-46ac-8b85-13362357579e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-4"
"653808b6-f4b8-4e7f-9a82-7ab13056707d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-5"
"d4d2d250-8607-453b-9a4d-b42f582035e2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-6"
"2e081535-feea-431f-8613-0c52040fd86f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-7"
"06985124-979c-4312-88d2-ef3e052c331c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-8"
"2a584aa3-83bb-441f-8f31-5f8d9eb37603","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Area 3 (Trackside /Platform)","Area 3-3A-9"
