resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,Switchboards,,,,,,,,
,step,,,,,Exterior,,,,,,,
Switchboard,checklist,,,,,,DB-C,,,,,,
Switchboard,checklist,,,,,,DB-C1,,,,,,
,step,,,,,Block 2,,,,,,,
Switchboard,checklist,,,,,,MSB-2,,,,,,
Switchboard,checklist,,,,,,T1,,,,,,
Switchboard,checklist,,,,,,T2,,,,,,
Switchboard,checklist,,,,,,T3,,,,,,
Switchboard,checklist,,,,,,T4,,,,,,
Switchboard,checklist,,,,,,T5,,,,,,
Switchboard,checklist,,,,,,T6,,,,,,
Switchboard,checklist,,,,,,T7,,,,,,
,step,,,,,Block 3,,,,,,,
Switchboard,checklist,,,,,,MSB-3,,,,,,
Switchboard,checklist,,,,,,T1,,,,,,
Switchboard,checklist,,,,,,T2,,,,,,
,step,,,,First Fix,,,,,,,,
,step,,,,,Block 2,,,,,,,
QA - First Fix Electrical,checklist,,,,,,Service Room,,,,,,
QA - First Fix Electrical,checklist,,,,,,T1,,,,,,
QA - First Fix Electrical,checklist,,,,,,T2,,,,,,
,step,,,,,Block 3,,,,,,,
QA - First Fix Electrical,checklist,,,,,,Service Room,,,,,,
QA - First Fix Electrical,checklist,,,,,,T1,,,,,,
QA - First Fix Electrical,checklist,,,,,,T2,,,,,,
QA - First Fix Electrical,checklist,,,,,,T3,,,,,,
QA - First Fix Electrical,checklist,,,,,,T4,,,,,,
QA - First Fix Electrical,checklist,,,,,,T5,,,,,,
QA - First Fix Electrical,checklist,,,,,,T6,,,,,,
QA - First Fix Electrical,checklist,,,,,,T7,,,,,,
,step,,,,,Exterior,,,,,,,
QA - First Fix Electrical,checklist,,,,,,Pole Lighting,,,,,,
QA - First Fix Electrical,checklist,,,,,,Signs,,,,,,
,step,,,,Second Fix,,,,,,,,
,step,,,,,Block 2,,,,,,,
QA - Second Fix Electrical,checklist,,,,,,Service Room,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T1,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T2,,,,,,
,step,,,,,Block 3,,,,,,,
QA - Second Fix Electrical,checklist,,,,,,Service Room,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T1,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T2,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T3,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T4,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T5,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T6,,,,,,
QA - Second Fix Electrical,checklist,,,,,,T7,,,,,,
,step,,,,,Exterior,,,,,,,
QA - Second Fix Electrical,checklist,,,,,,Pole Lighting,,,,,,
QA - Second Fix Electrical,checklist,,,,,,Signs,,,,,,
,step,,,FEL SM Weekly Site Checklist,,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,4-Nov-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,11-Nov-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,18-Nov-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,25-Nov-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,2-Dec-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,9-Dec-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,16-Dec-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,23-Dec-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,30-Dec-24,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,6-Jan-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,13-Jan-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,20-Jan-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,27-Jan-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,3-Feb-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,10-Feb-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,17-Feb-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,24-Feb-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,3-Mar-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,10-Mar-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,17-Mar-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,24-Mar-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,31-Mar-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,7-Apr-25,,,,,,,,
FEL SM Weekly Site Checklist,checklist,,,,14-Apr-25,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
