"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f0f408bb-023c-4cf9-a528-32597c2be1ef","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"4a69816c-848c-4ba7-9114-ecd7f4524e64","","checklist-sectioned","work-in-progress","Seismic Install","checklist","FALSE","FALSE","Ground Floor","WZ11 - Community Entry"
"d197fb62-a477-44e2-a840-5f52a11907be","","checklist-sectioned","fail","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ10 - Manager's Office"
"1cfc0029-c775-43c6-9c01-44338117eb52","","checklist-sectioned","not-started","Seismic Install","checklist","FALSE","FALSE","Ground Floor","DZ01 - Managers Office"
"e41ef38b-a376-4d7a-945d-ed8da667bfbf","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ19 - Staff Kitchen - OBS"
"35857ff9-1d69-46bf-8485-4f210ae18f6a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ18 - Corridor"
"0ede4a86-6123-41a4-b808-f2ecb43a30a0","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ18 - Arts and Crafts"
"2c772c8f-0fa6-425f-81a5-043c1fbb5117","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ18 - Arts and Crafts"
"904a2a4f-46b1-4f0a-adbf-8a9151b42f97","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ17 - Corridor"
"0ed6e3b8-18d9-4cc0-b1bd-725b1e45ceb3","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ16 - Lounge"
"f2fe4bb8-ebb7-4d66-a430-ba6b490ed578","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ15 - Lounge"
"02879238-1290-4c91-8b0b-7a9d7c98d490","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Ground Floor","WZ20"
"93d738bc-942e-4a0b-b590-b4e85bf6e845","","checklist-sectioned","not-started","Seismic Install","checklist","FALSE","FALSE","Ground Floor","WZ14 - Residents Entry"
"189aa109-73d3-409a-ac95-c18d3f286235","","checklist-sectioned","not-started","Seismic Install","checklist","FALSE","FALSE","Ground Floor","WZ13-Community Entry"
"05309845-46f3-4389-9747-1e7bc2c7015b","","checklist-sectioned","not-started","Seismic Install","checklist","FALSE","FALSE","Ground Floor","WZ12 - Community Room"
"52f0f5ab-e1a0-47d8-86fb-538464fb7b9c","","folder-normal","not-started","","step","TRUE","FALSE","Level 1"
"85d97df7-03a6-4ab9-9679-d617cff69d62","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ03A - B.1.2 - Level 1"
"1d7cabf0-37f5-4d2c-bb82-3bfe1804c11a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ02 - B.1.1"
"2209f470-f987-4953-9dcb-30e84be8521a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ01 - B.1.1"
"06e72e8f-b6cd-4962-a3d8-934991d577c2","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ04 - B.1.1 - OBS"
"54abcceb-bbef-43e6-bff7-875955daec46","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ05 - B.1.1"
"f716414a-cc1e-410f-9c43-66208548cb11","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ06 - B.1.1"
"5cae5538-4061-4f2c-8b30-fee26248391d","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ09A B1.2- Corridor"
"262badab-b060-4414-8db0-2127db899579","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ09-CORRIDOR"
"9598f3bb-7a7c-46ca-81c0-f7397a512857","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ09A-B1.3"
"eb423037-ddb8-4efd-868f-3e695b8d0780","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ08 - Stairs"
"757e95a4-e04e-4ee6-99a4-b368edadc0c3","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ07 - Corridor"
"58be2356-0efe-499b-9f47-4465086a336d","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ06 - B.1.7"
"4b05871d-4a16-4206-b9f0-9237f4ddf08a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ05 - B.1.6"
"ff03ca8e-5d37-415a-8546-ab0fcfdc7da5","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ04 - B.1.6 - OBS"
"a78e1d4a-f381-43c1-87a8-64c427aa3288","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ01 - B.1.6"
"5f80d6f2-a8be-4c26-86c4-10561b9dc77d","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ03 - B.1.6"
"3230810a-0724-478e-823f-9a27f26d4706","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ02 - B.1.5"
"4ba65b27-1050-49e5-911b-46206e99552f","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ01 - B.1.5"
"d2681a5b-a929-4bd4-852a-826080da036f","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ01 - B.1.4"
"cd8750c0-d58d-4ad8-904b-25d4efffa140","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ03A - B.1.4"
"93ee857c-9f73-49d8-99c9-8094d54ab981","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ02A - B.1.3"
"8e31532a-08f7-48fb-90a7-0a9fecce0bbb","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ01 - B.1.3"
"0895314f-f890-4aed-a332-7ff80f049a42","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 1","WZ01 - B.1.2"
"f9f895cd-6e26-496f-a239-a8871de5bcbb","","folder-normal","not-started","","step","TRUE","FALSE","Level 2"
"1ad704c1-c186-4344-a339-532dca1a71ff","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ03A - B.2.2 -"
"66f84473-0b6b-4367-a7df-dcca77e85630","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ02 - B.2.1"
"b79db3fe-2b7a-401c-931c-aadf9b770528","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ01 - B.2.1"
"a94e2c49-475a-4120-8ad4-8199361a3aeb","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ04 - B.2.1 - OBS"
"06fc8ecd-03e1-4566-8d70-41456e25e646","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ05 - B.2.1"
"2b923efa-5ccc-407c-9cae-d07d2f526be0","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ06 - B.2.1"
"691b9f7f-ec50-4f71-89ec-6a2371310b82","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ09A - B2.2"
"f0dbe731-6d11-4b07-b47a-a8681828985a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ09-Corridor"
"e73dd593-3c36-405a-8f17-a8e83d9458bc","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ09A B2.3"
"d51a279f-3730-48da-825f-f2eecc282046","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ08 - Stairs"
"bbd5b2f0-769e-4719-92c6-62eca3fcad74","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ07 - Corridor"
"4fd002b9-09e4-42c3-afc0-62c359f7f338","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ06 - B.2.6"
"bd643a8f-3ca1-4683-be3f-d3112b82cf6f","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ05 - B.2.6"
"be3944d4-cc21-4c53-bc3c-2646474973f8","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ04 - B.2.6 - OBS"
"5ba9dd6e-1397-4e21-bc52-6effb683c9be","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ01 - B.2.6"
