type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Quality Assurance Pre-Commencement Checklist,,,,,,Quality Assurance Pre-Commencement Checklist
checkpoint,"Quality Management Plan Completed, Agreed & Attached",,,,,,
checkpoint,"Inspection & Test Plan Completed, Agreed & Attached",,,,,,
checkpoint,Relevant Breakdown & Checklists Setup on Conqa & Reviewed by Ryman,,,,,,
checkpoint,Conqa Setup & Project Team Trained & Given Access,,,,,,
checkpoint,Review Access Granted to Ryman & Relevant Parties,,,,,,
checkpoint,Matrix/Insights Setup (if required),,,,,,
,,,,,,,
checklist-flat,Job Details (Highett Site),,,,,,Job Details (Highett Site)
checkpoint,Site Info,,,,,,
label,"Site Address: 32 - 40 Graham Road Highett VIC 3190
",,,,,,
text,Builders Details: Ryman Healthcare Construction,,,,,,
text,Project Managers Details,,,,,,
text,Site Managers Details,,,,,,
checkpoint,latest drawings (attached or referenced),,,,,,
checkpoint,Scope of Works Attached,,,,,,
checkpoint,Additional Pre-Start Docs (attached or referenced),,,,,,
,,,,,,,
checklist,Common Area Checklist,,,,,,Common Area Checklist
section,Prewire,,,,,,
checkpoint,Access available,,,,,,
checkpoint,Framework available,,,,,,
checkpoint,Wifi cabling completed (Attach Photo),,,,,,
checkpoint,Repeater cabling completed  (Attach Photo),,,,,,
checkpoint,CCTV Cabling completed (Attach Photo),,,,,,
checkpoint,Nurse call cabling completed (Attach Photo),,,,,,
checkpoint,DDU- Digital Display Unit- cabled (Attach Photo),,,,,,
checkpoint,Access Control cabling completed (Attach Photo),,,,,,
checkpoint,Salto Gate way Cabled (Attach Photo),,,,,,
checkpoint,Salto Nodes Cabled (Attach Photo) ,,,,,,
checkpoint,Data Cabling Completed (Attach Photos),,,,,,
checkpoint,PA Cabling Completed (Attach Photos),,,,,,
checkpoint,MATV Cabling Completed (Attach Photos),,,,,,
checkpoint,Intercom Cabling Completed (Attach Photos),,,,,,
checkpoint,NBN conduit installed (Attach Photo),,,,,,
checkpoint,Attach photos of Fire penetrations & specify location,,,,,,
holdpoint,Raise remedial / Sign Off,,,,,,
section,Termination and Testing,,,,,,
checkpoint,Wifi Fit Off (Attach Photo),,,,,,
checkpoint,Repeaters fit off  (Attach Photo),,,,,,
checkpoint,Nurse call fit off (Attach Photo),,,,,,
checkpoint,DDU- Digital Display Unit-  installed (Attach Photo),,,,,,
checkpoint,CCTV cameras fit off  (Attach Photo),,,,,,
checkpoint,Access Control doors fit off (Attach Photo),,,,,,
checkpoint,Salto Gateway Installed (Attach Photo),,,,,,
checkpoint,Salto Node Installed (Attach photo),,,,,,
checkpoint,Data Fit off (Attach Photos),,,,,,
checkpoint,PA Fit off (Attach Photos),,,,,,
checkpoint,MATV Fit Off (Attach Photos),,,,,,
checkpoint,Intercom Fit Off (Attach Photos),,,,,,
holdpoint,Raise remedial / Sign Off,,,,,,
,,,,,,,
checklist,Apartment Checklist,,,,,,Apartment Checklist
section,Pre-wire,,,,,,
checkpoint,Access available,,,,,,
checkpoint,Framework available,,,,,,
checkpoint,Comms box/NBN Conduit/Lead in Cables,,,,,,
checkpoint,Bed NC (Attached Photo),,,,,,
checkpoint,Ensuit NC (Attached Photo ,,,,,,
checkpoint,Ensuit Shower NC (Attach Photo),,,,,,
checkpoint,Bath NC (Attach Photo),,,,,,
checkpoint,Bath Shower NC (Attach Photo),,,,,,
checkpoint,Toilet NC (Attach Photo),,,,,,
checkpoint,Nurs Press (Attach Photo),,,,,,
checkpoint,ODL (Attach Photo),,,,,,
checkpoint,Bed 1 Phone (Attach Photo),,,,,,
checkpoint,Bed 1 TV/Data  (Attach Photo),,,,,,
checkpoint,Bed 2 Phone (Attach Photo),,,,,,
checkpoint,Bed 2 TV/Data (Attach Photo),,,,,,
checkpoint,Bed 3 Phone (Attach Photo),,,,,,
checkpoint,Bed 3 TV/Data (Attach Photo),,,,,,
checkpoint,Lounge Data/Ph (Attach Photo),,,,,,
checkpoint,Lounge TV (Attach Photo),,,,,,
checkpoint,Kitchen Data/phn (Attach Photo),,,,,,
checkpoint,Study Nook Data/Phone (Attach Photo),,,,,,
checkpoint,Wifi (Attach Photo),,,,,,
checkpoint,Client extras (Attach Photo),,,,,,
checkpoint,Attach photos of Fire penetrations & specify location,,,,,,
holdpoint,Raise remedial / Sign Off,,,,,,
section,Termination and Testing,,,,,,
checkpoint,Cut-out,,,,,,
holdpoint,Raise remedial / Sign Off,,,,,,
checkpoint,Comms box installed,,,,,,
checkpoint,Comms box fit off (Attach Photo),,,,,,
checkpoint,Bed NC Fit Off Tested (Attached Photo),,,,,,
checkpoint,Ensuit NC Fit Off Tested (Attached Photo ,,,,,,
checkpoint,Ensuit Shower NC (Attach Photo),,,,,,
checkpoint,Bath NC Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bath Shower NC Fit Off Tested (Attach Photo),,,,,,
checkpoint,Toilet NC Fit Off Tested (Attach Photo),,,,,,
checkpoint,Nurs Press Fit Off Tested (Attach Photo),,,,,,
checkpoint,ODL Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bed 1 Phone Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bed 1 TV Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bed 2 Phone Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bed 2 TV/Data Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bed 3 Phone Fit Off Tested (Attach Photo),,,,,,
checkpoint,Bed 3 TV/Data Fit Off Tested (Attach Photo),,,,,,
checkpoint,Lounge Data/Ph Fit Off Tested (Attach Photo),,,,,,
checkpoint,Lounge TV Fit Off Tested (Attach Photo),,,,,,
