"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Defects"
,"Scope",,
,"Rows"
,,"BUILDING A","grouping","building a"
,,"Level 0","dynamic","level 0","building a","site qa"
,,"Level 1","dynamic","level 1","building a","site qa"
,,"Level 2","dynamic","building a","level 2","site qa"
,,"Level 3","dynamic","building a","level 3","site qa"
,,"Level 4","dynamic","level 4","building a","site qa"
,,"Level 5","dynamic","level 5","building a","site qa"
,,"Level 6","dynamic","building a","level 6","site qa"
,,"Level 7","dynamic","building a","level 7","site qa"
,,"Level 8","dynamic","level 8","building a","site qa"
,,"Roof","dynamic","roof","building a","site qa"
,,"BUILDING B","grouping","building b"
,,"Level 0","dynamic","level 0","building b","site qa"
,,"Level 1","dynamic","level 1","building b","site qa"
,,"Level 2","dynamic","level 2","building b","site qa"
,,"Level 3","dynamic","building b","level 3","site qa"
,,"Level 4","dynamic","level 4","building b","site qa"
,,"Level 5","dynamic","level 5","building b","site qa"
,,"Level 6","dynamic","level 6","building b","site qa"
,,"Level 7","dynamic","building b","level 7","site qa"
,,"Level 8","dynamic","level 8","building b","site qa"
,,"Roof","dynamic","roof","building b","site qa"
,,"BUILDING C","grouping","building c"
,,"Level 0","dynamic","level 0","building c","site qa"
,,"Level 1","dynamic","level 1","building c","site qa"
,,"Level 2","dynamic","level 2","building c","site qa"
,,"Level 3","dynamic","level 3","building c","site qa"
,,"Level 4","dynamic","level 4","building c","site qa"
,,"Level 5","dynamic","level 5","building c","site qa"
,,"Level 6","dynamic","level 6","building c","site qa"
,,"Level 7","dynamic","level 7","building c","site qa"
,,"Level 8","dynamic","level 8","building c","site qa"
,,"Roof","dynamic","roof","building c","site qa"
,,"COMMON","grouping","common"
,,"B1","dynamic","common","b1","site qa"
,,"B2","dynamic","b2","common","site qa"
,,"Level 0","dynamic","level 0","common","site qa"
,,"Level 1","dynamic","common","level 1","site qa"
,,"Level 2","dynamic","common","level 2","site qa"
,,"Level 3","dynamic","common","level 3","site qa"
,,"Level 4","dynamic","level 4","common","site qa"
,,"Level 5","dynamic","common","level 5","site qa"
,,"Level 6","dynamic","common","level 6","site qa"
,,"Level 7","dynamic","common","level 7","site qa"
,,"Level 8","dynamic","level 8","common","site qa"
,,"Roof","dynamic","common","roof","site qa"
,"Columns"
,,"Take photos or documents & comment where applicable",,"take photos or documents & comment where applicable"
,,"Dilap","Dilap","take photos or documents & comment where applicable"
,,"FD/Penetration No","FD/Penetration No","take photos or documents & comment where applicable"
,,"Ceiling Access Panel","Ceiling Access Panel","take photos or documents & comment where applicable"
,,"Duct Access Panel","Duct Access Panel","take photos or documents & comment where applicable"
,,"Damper Type","Damper Type","take photos or documents & comment where applicable"
,,"Wall type","Wall type","take photos or documents & comment where applicable"
,,"Shape","Shape","take photos or documents & comment where applicable"
,,"Tested System Ref #","Tested System Ref #","take photos or documents & comment where applicable"
,,"Angle System","Angle System","take photos or documents & comment where applicable"
,,"Angle Installation","Angle Installation","take photos or documents & comment where applicable"
,,"Mastic","Mastic","take photos or documents & comment where applicable"
,,"Breakaway joint","Breakaway joint","take photos or documents & comment where applicable"
,,"Actuators","Actuators","take photos or documents & comment where applicable"
,,"Bathroom - Airflow Reading L/sec","Bathroom - Airflow Reading L/sec","take photos or documents & comment where applicable"
,,"Ensuite - Airflow Reading L/sec","Ensuite - Airflow Reading L/sec","take photos or documents & comment where applicable"
,,"Laundry - Airflow Reading L/sec","Laundry - Airflow Reading L/sec","take photos or documents & comment where applicable"

