"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"44f04f84-9a88-4539-a2aa-a2557a7738c2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"57ba7cdc-909b-47e4-b9ea-0d78247efddd","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Building A"
"a226c6dc-746d-417e-8c79-d0ee0e95c4f9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 0"
"74cf1c6a-b3bf-42c5-b00a-cfe72e0634a8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 1"
"d9efb079-a85d-4bfc-8ef9-3039c79df6eb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 2"
"329eb7dd-af4f-4657-9007-e7eff7fb3f77","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 3"
"549b755e-2f8f-49df-850e-79fcb2ab82fe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 4"
"bed628c6-b264-4d9d-995d-d93171dfe5f5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 5"
"8f77db82-af0d-4b59-a45b-4e0aae1a0f5e","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Building A","Level 6"
"59659a82-1546-4c39-95d2-15222bf92205","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Building A","Level 6","A611"
"7580536b-271a-46d6-8361-b68e6131c3b0","","checklist-flat","pass","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building A","Level 6","A611","A611 Defect ITP FD#1"
"cd4b90df-8e5a-4779-a1c6-7b211dfd023e","","checklist-flat","fail","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building A","Level 6","A611","A611 Defect ITP FD#2"
