"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"44f04f84-9a88-4539-a2aa-a2557a7738c2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"57ba7cdc-909b-47e4-b9ea-0d78247efddd","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Building A"
"ca2cc0a9-65c3-4561-b822-2351c038eb77","","checklist-flat","fail","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building A","Level 6","A611","A611 Defect ITP airflow"
"a8ea4972-cce6-4b2b-b446-ba856c5447df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 7"
"16fa88b4-fb77-41d1-9f9c-d33ec819ae9b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 8"
"e88e3c55-6d6a-4bbe-afdf-efe0a2cda52f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Roof"
"8d9e9738-c252-4704-9a4b-ae9afc2900e2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B"
"145ceddb-6679-439b-97f8-7ce5a3103386","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 0"
"a82f5eb1-d19a-4373-8b12-d38a2974f974","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1"
"d5be1676-d307-4222-9d01-a56e98e04f2a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2"
"ac82499d-a977-495a-bea3-daf2b7e514e1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 3"
"64ef6626-b22b-4f5e-9ccc-0d1aa104709a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 4"
"55bb7e84-ee81-41c0-a11b-2253c41da6c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 5"
"606b89e5-018a-422b-8cd0-34627d83bc55","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 6"
"8c3c4e3d-f1f7-4588-b83e-2694b0849219","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 7"
"0c778c5c-7ac9-4a44-b497-21d8dc6ff643","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 8"
"2cf1fe8e-cd04-40b2-adac-72bfec1c0ef0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Roof"
"a63c40f9-a379-480b-8519-c4ca231e6ea0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C"
"7f42c80a-badd-4c55-883a-f3278bede0e6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Level 0"
"7d2dcab2-89e3-40a1-9d38-8c04e65f3071","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building C","Level 1"
"b7155285-1bba-4a84-b7e8-644da4db7ccf","","checklist-flat","not-started","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 1","Defect ITP"
"adaf7002-c48f-4ff5-b604-4ffb37befabc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Level 2"
"7b3f4c0b-61dc-453b-ab85-f7d6d94baeac","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C","Level 3"
"a21b21a9-44e2-4f73-9494-0dfd1a78ff2b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C","Level 3","C327"
"161c5fb9-1a10-4fd3-b836-3c7b04ee90f3","","checklist-flat","work-in-progress","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 3","C327","C327 Defect ITP FD#1"
"fbba03f9-67c8-4e68-9bd8-a8a3791e2d81","","checklist-flat","work-in-progress","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 3","C327","C327 Defect ITP FD#2"
"aa462e77-9a19-4270-abe8-b941b6f03045","","checklist-flat","work-in-progress","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 3","C327","C327 Defect ITP FD#3"
"33988132-8437-4b2b-83c5-3629bb0df3ae","","checklist-flat","work-in-progress","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 3","C327","C327 Defect ITP FD#4"
"7351fea6-2d1c-4cbc-a780-88390f17cc6a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Level 4"
"528d354b-3a4a-4730-a188-391441629529","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C","Level 5"
"ed74261e-87ef-46a1-929f-238a4473c190","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C","Level 5","C530"
"295d9305-9157-436e-85f9-bae19632d2cb","","checklist-flat","pass","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 5","C530","Defect ITP c530"
"9fabba2a-42de-4afc-a084-234be90e260e","","checklist-flat","work-in-progress","cdcf3f5ca61bc9a388a835e352ca5e3a3eb483aaae4edf2e4750d691c1ee4ea0","checklist-flat","FALSE","FALSE","Site QA","Building C","Level 5","C530","Actuator Access"
"4735fe5e-9d3d-4e4e-a33d-4343b51c1b2e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Level 6"
"fb4d8210-c49a-44c1-ba93-7ce40a8ae1a1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Level 7"
"e796bc02-b589-427e-9a95-ba2dcf9eff64","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Level 8"
"18dec241-8088-4333-980f-13be323ece07","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building C","Roof"
"5ee2318a-e32c-4fac-805d-39ad7a996e18","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common"
"92a41c44-ccb2-4b22-aa2f-1ba7e1e1f90a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","B1"
"ce6b2688-3f8c-4a12-b208-c4f33e8f9c51","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","B2"
"a1f11e95-5452-4557-a73a-b6bdd0015284","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 0"
"8e0df44c-2f99-4212-9b95-d9de21e9c1c9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 1"
"ae1f1476-89f0-4be1-9de7-4a43357b4f99","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 2"
"a85684d0-357d-443e-8f20-197a5e62e4b0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 3"
"b85c26fa-37b9-4fb3-8912-85abeef81484","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 4"
"151de2ba-3dec-4628-b4f1-52c95cc373a9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 5"
"192c7c6d-b200-4133-8db4-fe2908009c5e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 6"
"66d862a9-fcb5-4f3c-8825-29e7035e01ba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 7"
"7567c3fd-76f2-49c3-a1fd-478175afe018","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Level 8"
"cac6b9b5-f2a2-4668-9c3f-f88e8ff807b7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Common","Roof"
