"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Ground Floor","grouping","ground floor"
,,"G01","dynamic","g01"
,,"G02","dynamic","g02"
,,"Level 1","grouping","level 1"
,,"101","dynamic","101"
,,"102","dynamic","102"
,,"Level 2","grouping","level 2"
,,"201","dynamic","201"
,,"202","dynamic","202"
,,"Level 3","grouping","level 3"
,,"301","dynamic","301"
,,"302","dynamic","302"
,,"Level 4","grouping","level 4"
,,"401","dynamic","401"
,,"Common Area - Roof","dynamic","common area - roof"
,"Columns"
,,"Wet Area Floor",,"wet area floor"
,,"Wet Area Wall",,"wet area wall"
,,"Courtyard North",,"courtyard north"
,,"Courtyard East",,"courtyard east"
,,"Courtyard South",,"courtyard south"
,,"Balcony South",,"balcony south"
,,"Balcony East",,"balcony east"
,,"Common Area - Roof",,"common area - roof"

