"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"90789c87-ddc6-4bb2-a1b1-61c031978d31","","folder-normal","not-started","","step","TRUE","FALSE","North"
"ba25079f-45a1-45aa-9309-1854014497ae","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","ED02.0.01.3"
"3a8c81fc-8a0f-46aa-a41e-d16218ec4f71","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","ED03.0.14.2"
"c21d539b-bde3-45d3-8d57-906019c0b98d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","EW01.0.11.1 / ED02.0.11.1 / ED02.0.11.2"
"d28ca8e0-2327-4fae-99f9-488a1becd72d","","folder-normal","not-started","","step","TRUE","FALSE","East"
"6cd30f36-a6ad-43de-ba09-c96a59547d60","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","East","EW02.0.11.1"
"141d15a9-cdad-425c-9a42-bf59abe4a6fd","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","East","EW02.0.11.2"
"74a070eb-1f09-4860-b87b-8093dedbbec5","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","East","ED02.0.21.2"
"bd2e9c36-be6f-4f42-8899-01e3f6c198e9","","folder-normal","not-started","","step","TRUE","FALSE","South"
"2030c21f-180a-44b8-b42c-4e08dd3cbb7c","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EW03.0.09.1"
"e7fdfc29-28d8-4805-b1b4-6972152db9e7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EW03.0.10.1"
"14e8cadc-f08a-44fc-a065-ffb311328151","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EW04.0.08.1"
"e9f38e35-9be4-4bef-ad4a-64be4e3f2603","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EW08.0.07.1"
