"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1d1e6a92-4c79-4cfd-b6a1-eea37e486c63","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"320e6e77-1cd7-4e50-97b7-0763c598e6c1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B"
"1288f73d-af33-474c-9d1d-c76834ed5bb1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground"
"a6ecec03-b91a-4fc3-bfca-7d236c26ca48","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","50"
"312f50c7-46d8-475e-b006-a24df7ca8221","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","50","Walls"
"36ae8809-c91b-49f2-9fd1-207903c70c06","","checklist-flat","work-in-progress","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","50","Ceilings"
"6a7b8bed-ba6c-4b90-8230-b2d7a5aaa4dc","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","50","Speedpanel"
"3a841eb6-a3b0-4a08-ac76-9d28df6b9d1e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","51"
"ab7e8bde-e958-48a9-8e80-e23075bf6a49","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","51","Walls"
"8c3289c6-50e7-4618-8d63-4b0695c5b6a8","","checklist-flat","work-in-progress","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","51","Ceilings"
"029e3f0c-cf9c-460b-baee-262e4a990854","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","51","Speedpanel"
"dab3a3cd-822b-4905-9269-f1264246e552","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","52"
"fb24df82-6c2f-4208-a6db-a1602cb59ccb","","checklist-flat","work-in-progress","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","52","Walls"
"063a3ac8-62f9-4521-a174-ccca4b51d326","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","52","Ceilings"
"5735ad32-85c3-454f-aea4-02eb009c97ee","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","52","Speedpanel"
"783e0215-5777-4375-b9b0-bde5eb339208","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","53"
"f362e1cc-0492-40ae-9e72-6f599a93d37c","","checklist-flat","work-in-progress","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","53","Walls"
"62aeebe2-f0d2-45d5-a964-1b93483c0762","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","53","Ceilings"
"e37acc2a-a07c-4a94-911a-e25c8ebcd429","","checklist-flat","work-in-progress","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","53","Speedpanel"
"8e382138-0135-4108-8b27-69da99bfd981","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","55"
"eefe1887-efd9-46a2-83ff-019b9b42bd4e","","checklist-flat","work-in-progress","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","55","Walls"
"859ac6a7-eacb-4bfb-b33c-43444ab0592b","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","55","Ceilings"
"5a5342bf-f3f5-403e-9774-ba3b6267348f","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","55","Speedpanel"
"8147a9dc-bc2e-4a8b-a3e4-63a1cc1ea8f0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","56"
"49921a44-cdcf-4dcf-be1d-3dd402dfe836","","checklist-flat","work-in-progress","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","56","Walls"
"45dfe396-c2bf-480d-a8fb-0c25c100abc2","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","56","Ceilings"
"8a475eae-574b-4e17-9bfb-bbe60e3d4892","","checklist-flat","work-in-progress","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","56","Speedpanel"
"30b07341-9e7f-46cc-ba44-732094d8e6fa","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","58"
