"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"28ce7f12-74bf-418c-bdd1-213770edeec5","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"b8c11d82-7791-4b0c-bbab-4c0af8465de1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Site Management"
"7bfb2e5c-ba25-4336-81ff-0fbfd9b36d2d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Site Management","Site Setup"
"46986082-b09a-4394-a24b-2d9da6d10216","","checklist-flat","not-started","SSU","checklist-flat","FALSE","FALSE","Site QA","Site Management","Site Setup","Various"
"5ba1dd34-45ea-4862-af16-9e7ba13fc736","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Site Management","Site Closure & Exit"
"bc76b731-2e10-400a-a239-eebb715aebf3","","checklist-flat","not-started","SCE","checklist-flat","FALSE","FALSE","Site QA","Site Management","Site Closure & Exit","Various"
"e0105213-bf97-4ae5-b782-7d53fafd3a45","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Apartments"
"a117f846-f972-4984-8dad-94e8180a1550","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Apartments","Apartment 14"
"2beb5a68-8040-4d51-a5bb-c74a058b3504","","checklist-flat","not-started","14","checklist-flat","FALSE","FALSE","Site QA","Apartments","Apartment 14","External"
"eac2d4af-1adc-4a36-aa9a-4e6e299f8923","","checklist-flat","fail","14.1","checklist-flat","FALSE","FALSE","Site QA","Apartments","Apartment 14","Internal"
"974ec082-650d-4bf6-bd37-a8d1c025b059","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Apartments","Apartment 301"
"da1d7337-8561-4f7f-83b4-2fea6fa9cbd9","","checklist-flat","not-started","301","checklist-flat","FALSE","FALSE","Site QA","Apartments","Apartment 301","External"
