"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a3af146a-ca79-42ed-b6cf-8bf464eeda59","","pass","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"3a25693b-0820-4422-9c15-c7b85c915cf9","","work-in-progress","","folder","TRUE","FALSE","QA"
"12f6f7de-7d2a-44c5-9555-ad8c3a98844a","","work-in-progress","","folder","TRUE","FALSE","QA","Main Roof"
"4b7f8566-0100-49cf-940c-785e50ed707a","","work-in-progress","Fibertite Roof Overlay with PIR board","checklist","FALSE","FALSE","QA","Main Roof","Fibertite Roof Overlay with PIR board"
"75f29f55-f2da-48b2-a445-6b46a38a7817","","no-status-not-started","","folder","TRUE","FALSE","QA","Mansard Roof"
"46ebf589-7bc3-4b1b-8931-984ef74fdd9c","","no-status-not-started","","folder","TRUE","FALSE","QA","Loading dock roof"
"b061e235-03b2-45de-80c1-0403b968e274","","work-in-progress","Weather Monitoring","checklist","FALSE","FALSE","Weather Monitoring"
"11128dd1-f5a3-4759-bce9-6e525d38a255","","work-in-progress","","folder","TRUE","FALSE","Supplier site visit "
"7dba6760-050a-4677-95db-bdc0e2929acd","","work-in-progress","Supplier Site Visit","checklist","FALSE","FALSE","Supplier site visit ","12-2-25"
