Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,Site QA,
,Rows,,,,
,,Site QA,dynamic,Site QA,
,Columns,,,,
,,Pre Façade,,Pre Façade checklist,
,,Wall Framing & External Cladding,,Wall Framing and External Cladding Checklist,
,,Fire Tunnel,,Fire Tunnel checklist,
,,,,,
Pre Façade,,,,,
,Scope,,,Site QA,Pre Façade checklist
,Rows,,,,
,,Site QA,dynamic,Site QA,
,Columns,,,,
,,Set out,,Set out,
,,Soffit Installation,,Soffit Installation,
,,Speedpanel & Caulking,,Speedpanel & Caulking,
,,Frame walls,,Frame walls,
,,Install noggins,,Install noggins,
,,Plaster walls,,Plaster walls,
,,Frame ceilings,,Frame ceilings,
,,Sheet ceilings,,Sheet ceilings,
,,Caulking,,Caulking,
,,Area clean & handover,,Area clean and handover,
,,,,,
Wall Framing & External Cladding,,,,,
,Scope,,,Site QA,Wall Framing and External Cladding Checklist
,Rows,,,,
,,Site QA,dynamic,Site QA,
,Columns,,,,
,,Wall framing,,Wall framing,
,,Rad board installation tape & seal,,Rad board installation tape & seal,
,,Insulation install,,Insulation install,
,,,,,
Fire Tunnel,,,,,
,Scope,,,Site QA,Fire Tunnel checklist
,Rows,,,,
,,Site QA,dynamic,Site QA,
,Columns,,,,
,,Frame,,Frame,
,,Sheet,,Sheet,
,,Caulk,,Caulk,
