"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"094aa08d-6b2f-4549-b0ee-7b8e1c1cb116","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 2"
"8e6586fb-8f53-4494-809c-752e12512f90","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 3"
"8709ec3e-ea4d-4c87-aba5-278d30e06b7e","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 4"
"f3be9d3d-29be-46e5-ae4f-4c5d003c082d","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 5"
"0cd6e00c-260b-4f69-9d50-57d55e672d46","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 6"
"54c477b3-c182-4696-b727-59e3438d45ef","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 7"
"98c2810d-40a5-472b-b117-77948a270090","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 8"
"0d4d8d20-adbd-4273-88fb-0aafb19152af","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 9"
"ae5309d2-e6ea-40c4-a3bf-8523a9c49ed3","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 10"
"48d173f6-bf26-4484-ab99-2d4222824084","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 11"
"39411f7b-453b-46e2-bbcf-ad4195dc2a86","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 12"
"681da539-80c4-46f8-bb6b-33ba968aba1f","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 13"
"ec93a6b1-bb5d-4385-9b5e-aedb251341d4","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 14"
