resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,Podium,,,,,,,,
Steel Fixing Checklist,checklist,,,,,TC1 Crane Base,,,,,,,
Steel Fixing Checklist,checklist,,,,,TC2 Crane Base,,,,,,,
,step,,,,,Basement 1,,,,,,,
,step,,,,,,Pour 1,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Pile Caps,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 3,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 4,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 5,,,,,
,step,,,,,,Pour 2,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Pile Caps,,,,,
,step,,,,,,Pour 3,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Pile Caps,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 7,,,,,
,step,,,,,,Pour 4,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Pile Caps,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 1,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 2,,,,,
,step,,,,,,Pour 5,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Pile Caps,,,,,
,step,,,,,,Pour 6,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Pile Caps,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 6,,,,,
,step,,,,,Ground,,,,,,,
,step,,,,,,Capping Beam,,,,,,
,step,,,,,,Pour 1,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 2,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 3,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 4,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 5,,,,,
,step,,,,,,Pour 3,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 7,,,,,
,step,,,,,,Pour 4,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 5,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 6,,,,,
,step,,,,,,Pour 6,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 1,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 2,,,,,
,step,,,,,Level 1,,,,,,,
,step,,,,,,Pour 1,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 2,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 3,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 4,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 5,,,,,
,step,,,,,,Pour 3,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 4,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 5,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 6,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 1,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 2,,,,,
,step,,,,,Level 2,,,,,,,
,step,,,,,,Pour 1,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 2,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 3,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 4,,,,,
Steel Fixing Checklist,checklist,,,,,,,Core 5,,,,,
,step,,,,,,Pour 3,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 4,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
Steel Fixing Checklist,checklist,,,,,,,Walls,,,,,
,step,,,,,,Pour 5,,,,,,
Steel Fixing Checklist,checklist,,,,,,,Slab,,,,,
Steel Fixing Checklist,checklist,,,,,,,Columns,,,,,
