"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1173a02e-4d35-4b4c-9dc4-550a0b480bea","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing and Grubbing"
"36d676fc-089b-4541-a59a-23816b36d33a","","pass","FHC-ITP-001 - Clearing & Grubbing Rev1","checklist","FALSE","FALSE","FHC-ITP-001 - Clearing and Grubbing","708-0301 - Clearing and Grubbing - FHC-ITP-001-01"
"a41b4524-85b7-4bc4-91d7-9296d70d1785","","pass","","folder","TRUE","FALSE","FHC-ITP-004 - Type A Capping"
"aeb4b8e2-bc23-4a8d-a44a-f28f53c5744f","","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Capping","	708-0309 - LOT 1 - Type A Fill Placement "
"48dfa15e-4cc1-4e40-8edb-4d1420dbd250","","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Capping","	708-0310  - LOT 2 - Type A Fill Placement "
"122600f0-3847-4290-ab61-4a6c82d24814","","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Capping","	708-0311 - LOT 3 - Type A Fill Placement "
"ff0e7f43-b84e-4cc0-bfa2-248f9367dff4","","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Capping","708-0312 - LOT 4 - Type A Fill Placement "
"97cc9866-1399-4f21-b2ec-f5606e91356d","","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Capping","708-0313 - LOT 5 - Type A Fill Placement "
"caec4768-4040-4ce6-99b2-4b48d57088a1","","work-in-progress","","folder","TRUE","FALSE","FHC-ITP-004 - 3% CT Class 3 Crushed Rock"
"427f3af9-63c1-41ea-8180-5f5f2de6bf09","","pass","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - 3% CT Class 3 Crushed Rock","708-0323 - LOT 1 - 3% CT Class 3 Crushed Rock "
"0ed49d0f-0d42-4ad2-be89-ebdf408ca374","","work-in-progress","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - 3% CT Class 3 Crushed Rock","[superseded] 708-xxxx - LOT 4 REMEDIATION - 3% CT Class 3 Crushed Rock"
"52fff459-7564-4300-84ac-596dc67d0191","","pass","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - 3% CT Class 3 Crushed Rock","708-0325 - LOT 3 - 3% CT Class 3 Crushed Rock"
"5429552f-20d8-4c88-987b-74b05a768381","","pass","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - 3% CT Class 3 Crushed Rock","708-0324 - LOT 2 - 3% CT Class 3 Crushed Rock"
"94380305-7a25-40cb-ad94-ec5036a6235e","","pass","","folder","TRUE","FALSE","FHC-ITP-005 - Class 2 Crushed Concrete "
"79904849-7bc3-455d-b17e-69e2425d9c17","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Concrete ","	708-0442 - LOT 1 - Class 2 Crushed Concrete"
"18bf2db7-ba65-4944-a10f-c2b78a3dea75","","pass","FHC-ITP-005 - Class 2 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Concrete ","708-0456 - LOT 2 - Class 2 Crushed Concrete"
