"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"71b3c20a-c8f2-4eac-bc3b-397a7ee6ec84","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing & Grubbing"
"249119ed-d332-4f30-86ce-23b7e9ed2be2","","pass","ITP-01-001 - Clearing & Grubbing","checklist","FALSE","FALSE","FHC-ITP-001 - Clearing & Grubbing","702-0001 - CSP - Earthworks - Clearing and Grubbing - FHC-ITP-001 - Lot 01"
"13f6a9a7-02cb-4b2e-ba84-50a297cc0f2b","","pass","ITP-01-001 - Clearing & Grubbing","checklist","FALSE","FALSE","FHC-ITP-001 - Clearing & Grubbing","702-0043 - CSP - Earthworks - Clearing and Grubbing - FHC-ITP-001 - Lot 02"
"20445d30-faad-4ad7-8fb1-ea5e7618a696","","pass","","folder","TRUE","FALSE","FHC-ITP-002 - Stripping Topsoil & Topsoil Placement"
"04dced2a-e256-42ab-a44f-88bd1c87e486","","pass","ITP-01-002 - Stripping Topsoil & Topsoil Replacement","checklist","FALSE","FALSE","FHC-ITP-002 - Stripping Topsoil & Topsoil Placement","702-0002 - CSP - Earthworks - Stripping Topsoil - FHC-ITP-002 - Lot 01"
"949f6d7a-3bee-4c0c-906c-67e4bd3ecc17","","pass","","folder","TRUE","FALSE","FHC-ITP-003 - Subgrade Preparation"
"ef23ddbc-9150-4a65-8677-2c7b6eb1c687","","pass","ITP-01-003 - Subgrade Preparation","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","702-0003 - CSP - Earthworks - Subgrade Preparation - FHC-ITP-003 - Lot 01"
"6af21a2c-3645-486f-b40b-274e1d6049a8","","pass","ITP-01-003 - Subgrade Preparation","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","702-0004 - CSP - Earthworks - Subgrade Preparation - FHC-ITP-003 - Lot 02"
"d1812656-7d61-412b-87bc-63d751a09055","","pass","ITP-01-003 - Subgrade Preparation","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","702-0005 - CSP - Earthworks - Subgrade Preparation - FHC-ITP-003 - Lot 03"
"3d46ea1e-5801-4a31-b170-19d971971136","","pass","","folder","TRUE","FALSE","FHC-ITP-004 - Type A Fill placement"
"53ac1b15-dbb4-48ba-89dd-887dcdbf75aa","","pass","ITP-01-004 - Type A Fill Placement","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill placement","702-0019 - CSP - Earthworks - Type A Fill Placement - FHC-ITP-004 - Lot 02"
