"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cf0e2ad-49e3-4f5b-b64b-366618425281","","pass","","folder","TRUE","FALSE","ITP-005 - Drainage"
"4eb77291-502a-443a-9ffe-9207879938f3","","pass","ITP-011 - NPD - Stormwater Drainage","checklist","FALSE","FALSE","ITP-005 - Drainage","ITP-011 - NPD - Stormwater Drainage - Lot 1 - 23/11/22"
"0a74fc1a-cd2d-413f-9920-aeaf5103590a","","pass","","folder","TRUE","FALSE","ITP-003 - Electrical and Communication Conduit Installation"
"fab204d9-8eb4-483d-9ed3-7b73ff33f56d","","pass","ITP-003 - NPD - Electrical and Communication Conduit and Pit Installation","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit Installation","ITP-003 -  Electrical and Communication Conduit and Pit Installation - Lot 1 - 24/11/22"
"0e45c68f-6d4a-4a9f-bba1-5f106c9d4e00","","pass","","folder","TRUE","FALSE","ITP-025-NPD Structural Concrete Construction"
"5d8309e3-e84c-435e-8448-739f5f756cf6","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A7 - Lot 13"
"eb4bb2c8-299a-4bab-88ea-a029d43760dd","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","B7 - Lot 14"
"05e55f19-4bab-4285-ad9c-79dd95464ddf","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A8 - Lot 16"
"efe4e350-2b3e-4d23-b25d-225c11586f49","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","B9 - Lot 18"
"8b56698f-2da5-493e-a892-245786392e74","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C9 - Lot 19"
"2c6ebd20-a8b5-4793-b983-4d91736b1757","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A1 - Lot 1"
"d35201b4-59b2-472c-8661-528564869e85","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C1 - Lot 2"
"5e524896-a7b6-40e7-8cbc-416386e5f82d","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A2 - Lot 3"
"e399efcb-4551-4056-83ae-7b0a8d5b2daa","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C2 - Lot 4"
"f5ddf6b5-60e2-4436-8ab0-775ecca34d72","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A3 - Lot 5"
"716f1c7f-31e4-4d01-855e-d338e2615e04","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C3 - Lot 6"
"4c0d5cf9-3a7a-4106-b707-b5e4269bb2ed","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A4 - Lot 7"
"9b0dfd08-8b94-490c-9062-f26ecdaf343c","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C4 - Lot 8"
"2a29a6a2-d58f-46c9-a16a-797c17c382de","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A5 - Lot 9 "
"9013def8-7d31-4282-812d-5db9381669bf","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C5 - Lot 10"
"0592e99e-b608-4326-9287-3709ee6d7a58","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","A6 - Lot 11"
"a0ab3384-6c9d-4d52-9ecd-c32d497ec459","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C6 - Lot 12"
"f0e86832-0dda-48ca-8d4a-92a7d248f20d","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C7 - Lot 15"
"db111ebd-9bb2-4c5e-91be-4477d7adea19","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","C8 - Lot 17"
"ec8f5f93-6a26-498e-8b0c-32aa3685b7ad","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","JP1 - Lot 20"
"c25bf308-047b-497b-90f5-29c7e1aac0b6","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","JP2 - Lot 21"
"eb8ff9a2-c21a-4054-a820-a5d5298f12f3","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","JP3 - Lot 22"
"0f7d2b53-2411-472d-8c10-ee3118af21b0","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","Slab Pour 1 - Lot 23"
"503032b3-eba0-4f4f-9c9a-d86f93003544","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","Footpath - Lot 24"
"0bec4601-def7-48a9-a74a-9adc62ef16e8","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","Slab Pour 2 - Lot 25"
"6aba111a-5420-4e2a-a5dd-14856be4f00f","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","Slab Pour 3 - Lot 26"
"fdbc4f4a-711f-4d85-bfe7-c238dc4a7d7e","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","HOBS - Lot 27"
"587c9ea5-ed02-4625-892a-04409b33936e","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","Level 1 Pour 1 - Lot 28"
"2de225ec-f72e-4b0e-bcc9-025561f5a9e3","","pass","ITP-025 - NPD - Structural Concrete Construction","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","Level 1 Pour 2 - Lot 29"
"d62c91ba-78f7-4283-8d84-ac737fa49ccd","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP-025-NPD Structural Concrete Construction","ITP-099 - NPD - Tram Jack Grout - Lot 30"
"2131ffc4-e7ad-4315-9c64-e63d8e78ae84","","pass","","folder","TRUE","FALSE","ITP-007 - Concrete Track Slab Pour "
"128cafe6-6557-4d53-a1e1-4407f74ee759","","pass","ITP-007 - Concrete Track Slab Pour Rev2","checklist","FALSE","FALSE","ITP-007 - Concrete Track Slab Pour ","ITP-007 - Concrete Track Slab Pour - Rd 34, 35 & 36"
"7511bd00-547e-4146-a14e-a00826da591d","","pass","","folder","TRUE","FALSE","ITP-006 - Track Placement"
"9c6da0a8-da4f-4d8c-8587-5ebbcdb3a763","","pass","ITP-006 - Track Placement Rev2","checklist","FALSE","FALSE","ITP-006 - Track Placement","ITP-006 - Track Placement - Lot 1 - CH70-CH115 - Rd 34, Rd 35 & Rd36"
"40382a1a-d800-46d6-b042-e1b6c4c8fb78","","pass","","folder","TRUE","FALSE","ITP-049-NPD Shear Stud Welding"
