"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8433e2c9-96ef-4947-971f-20f623c2f9da","","work-in-progress","","folder","TRUE","FALSE","Occupation 1"
"3337d55d-bb1b-4872-96a2-b33a711b77b7","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 3E"
"b20b2585-c361-4101-9d8e-f11c84da4239","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 4E"
"dc6a5152-7132-4c57-9485-14103158414f","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 4F"
"9773a98e-359a-4919-be16-818a387e3c64","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 4G"
"304de17e-0aff-4aae-9190-76ee95def490","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 4H"
"48db18fe-9992-4e1c-bb0c-cb0f6b36c7ae","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5A"
"1b06b895-5b63-40c4-ac3c-6cbae415c0b5","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5B"
"219a14fb-cd18-4c68-86a7-b345b481efff","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5C"
"f73d9092-ae26-43fd-8065-3df426c23720","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5D"
"97aa9d22-4066-461b-bd70-37b8ec49be76","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5F"
"c74d8652-4b5d-47d0-a46e-d88562a3e957","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5G"
"e3d97698-e400-4f70-83a7-8fd484926555","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 1","ITP-01 - Rocker-roller Bearing Replacement - 5H"
"9e2e1789-866c-4c2f-9129-43ad6d8585b0","","work-in-progress","","folder","TRUE","FALSE","Occupation 2"
"6d8b18d1-2aea-41de-815d-34fbc8e97fcc","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 3A"
"1da7aa5d-75f8-4287-9cf5-6058a38e2e8f","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 3B"
"a2c15a24-ed4b-4439-aeb7-9b48a19c35e8","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 3C"
"74b55359-9a58-4fd0-9781-2f15b49e1a63","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 3D"
"a585e31c-f87d-429d-b3bb-56ca808e73ab","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 4A"
"5811d8f7-ed7c-4eef-9280-159cd0711bf4","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 4B"
"5d5d4018-4d6c-4562-a873-1483c962ed65","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 4C"
"d5f24ab5-b8ab-4fee-847b-a8e99fa6c722","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 4D"
"9d2e368d-fb87-43fd-92c8-fb09ab7516b7","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 6A"
"920a08a6-8a4a-4ae1-8899-f8385e3f8d74","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 6B"
"57270b92-ef2b-4b99-80d2-26ee6b89725f","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 6C"
"41d08177-9d2b-4828-bb12-b8c1a7cfc387","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 2","ITP-01 - Rocker-roller Bearing Replacement - 6D"
"e5cf92b4-d5ed-4fbe-b4fe-c56cb574f5ab","","work-in-progress","","folder","TRUE","FALSE","Occupation 3"
"49342e86-63c5-42c7-9863-89cc6e439461","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 3J"
"8b279e92-cc2c-4c2e-8a60-2e26d4eff8f3","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 3L"
"2cde3fc0-0854-45a9-9aa1-7f3b5579a143","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 4I"
"8afb1855-aac2-45e7-8e6a-8cdacfbf3b73","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 4J"
"45feef85-a152-40ca-8389-fb38cb3e2bcd","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 4K"
"6cc4c382-b518-45f7-8fa7-d063a56477ea","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 4L"
"ed7aab0d-9141-450c-827e-ab95c93b79cd","","work-in-progress","ITP-01 - Rocker-roller Bearing Replacement Rev 1","checklist","FALSE","FALSE","Occupation 3","ITP-01 - Rocker-roller Bearing Replacement - 5L"
