"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aca522eb-25dc-4497-8c3a-669ff7a69f92","","pass","","folder","TRUE","FALSE","Greensborough Stage 1"
"5e358ca9-6e64-4a3b-95a8-0f521f976e6c","","pass","","folder","TRUE","FALSE","Greensborough Stage 1","ITP-012 - Hot Mix Asphalt - Greensborough"
"0ed328ed-8869-466f-bfee-6e8c4726f3b4","","pass","FHC-ITP-012 - Hot Mix Asphalt - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 1","ITP-012 - Hot Mix Asphalt - Greensborough","FHC-ITP-012 - Hot Mix Asphalt - Greensborough - Lot 01 - 18/12/24 PM"
"9d34d574-d46b-48d3-b811-8b4159e7f630","","pass","","folder","TRUE","FALSE","Greensborough Stage 1","ITP-015 - Kerb and Channel - Greensborough"
"14fc682d-82b2-4719-bf65-89301f4eebf6","","pass","FHC-ITP-015 - Kerb and Channel - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 1","ITP-015 - Kerb and Channel - Greensborough","FHC-ITP-015 - Kerb and Channel - Greensborough - 16/12/24 PM"
"46c782b1-59cd-49d7-9456-b5a21e71d25d","","pass","","folder","TRUE","FALSE","Greensborough Stage 1","ITP-025 - Structural Concrete Construction - Greensborough"
"a80fba06-df59-4841-8dbb-30701f03f559","","pass","FHC-ITP-025 - Structural Concrete Construction - Greensborough Rev1","checklist","FALSE","FALSE","Greensborough Stage 1","ITP-025 - Structural Concrete Construction - Greensborough","FHC-ITP-025 - Blinding Concrete - Greensborough - Lot 01 - 16/12/24 AM "
"1e922c17-2530-4c6c-85bb-a867e4d8243c","","pass","FHC-ITP-025 - Structural Concrete Construction - Greensborough Rev1","checklist","FALSE","FALSE","Greensborough Stage 1","ITP-025 - Structural Concrete Construction - Greensborough","FHC-ITP-025 - Structural Concrete - Greensborough - Lot 02 - 17/12/24 PM"
"98c1972c-00c9-4b0a-a7de-2ac713132f6f","","pass","","folder","TRUE","FALSE","Greensborough Stage 1","ITP - 008 Stormwater Drainage - Greensborough Stg 1"
"7aa9b244-6d99-4d8f-9a07-c45a1f6954d2","","pass","FHC-ITP-008 - Stormwater Drainage - Greensborough Rev3","checklist","FALSE","FALSE","Greensborough Stage 1","ITP - 008 Stormwater Drainage - Greensborough Stg 1","FHC-ITP-008 - Stormwater Drainage - Greensborough - Lot 01 N2-3, N2-4 to E1-1 - 17/12/24 AM"
"38e0c2b4-de90-43c2-bf0e-6f83950a8138","","work-in-progress","","folder","TRUE","FALSE","Greensborough Stage 2"
"e10c2c7c-3da2-47c0-8572-36ddb26bb8d7","","pass","","folder","TRUE","FALSE","Greensborough Stage 2","ITP-008 - Stormwater Drainage - Greensborough"
"7763f436-20ef-45b2-a076-097d9e7b8df6","","pass","FHC-ITP-008 - Stormwater Drainage - Greensborough Rev3","checklist","FALSE","FALSE","Greensborough Stage 2","ITP-008 - Stormwater Drainage - Greensborough","FHC-ITP-008 - Stormwater Drainage - Greensborough - Lot02 - E1-1 to N1-1 "
"b854e74e-9879-484f-870e-d8c17cf9335f","","pass","FHC-ITP-008 - Stormwater Drainage - Greensborough Rev3","checklist","FALSE","FALSE","Greensborough Stage 2","ITP-008 - Stormwater Drainage - Greensborough","FHC-ITP-008 - Stormwater Drainage - Greensborough - Lot 03 - N2-3 to N2-2 "
