"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"06245748-c1e6-4341-b86a-33083c726c4b","","work-in-progress","","folder","TRUE","FALSE","ITP-001 - Clearing & Grubbing"
"a1c87626-5cf1-46c5-b381-d623254193b5","","work-in-progress","ITP-001 - Clearing & Grubbing","checklist","FALSE","FALSE","ITP-001 - Clearing & Grubbing","ITP-001 - Clearing & Grubbing"
"a78478f9-578a-4762-8f6f-9f923483753f","","pass","","folder","TRUE","FALSE","ITP-002 - Stripping Topsoil & Topsoil Placement"
"a4984482-5b5a-4d96-80a4-036a4fc26eb0","","pass","ITP-002 - Stripping Topsoil & Topsoil Placement","checklist","FALSE","FALSE","ITP-002 - Stripping Topsoil & Topsoil Placement","ITP-002 - Stripping Topsoil & Topsoil Placement"
"85ba1f53-11aa-466b-afbb-cb85b3bb7a1d","","work-in-progress","","folder","TRUE","FALSE","ITP-003 - Subgrade Preparation"
"d1adc95d-f9e8-4720-9fb5-9741727773ba","","work-in-progress","ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-003 - Subgrade Preparation","ITP-003 - Subgrade Preparation"
"3302fead-0c8d-4fae-a721-25e6a253ba37","","not-started","","folder","TRUE","FALSE","ITP-004 - Type A Fill Placement"
"f5ae7f7c-68dd-4e11-a38f-bebedf7ee990","","not-started","ITP-004 - Type A Fill Placement","checklist","FALSE","FALSE","ITP-004 - Type A Fill Placement","ITP-004 - Type A Fill Placement"
"488d36d3-60f7-4d57-ab7f-319fd6e1df22","","not-started","","folder","TRUE","FALSE","ITP-005 - Sub-Base Construction Class 2"
"3beff796-2a76-4fd4-90c1-23e754ef9302","","not-started","ITP-005 - Sub-Base Construction Class 2","checklist","FALSE","FALSE","ITP-005 - Sub-Base Construction Class 2","ITP-005 - Sub-Base Construction Class 2"
"6f79a814-c842-47d8-9a80-f1a2b05f75d5","","work-in-progress","","folder","TRUE","FALSE","ITP-006 - Sub-Base Construction Class 3"
"c4a351b0-4721-4e6c-904f-fdee4eda23e4","","work-in-progress","ITP-006 - Sub-Base Construction Class 3","checklist","FALSE","FALSE","ITP-006 - Sub-Base Construction Class 3","ITP-006 - Sub-Base Construction Class 3"
"ce2ecf77-af1e-435c-8e9b-c7fa9c3a00bb","","not-started","","folder","TRUE","FALSE","ITP-008 - Stormwater Drainage"
"a8030204-a99b-4a8c-a248-0e6e81c9dc3c","","not-started","ITP-008 - Stormwater Drainage","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","ITP-008 - Stormwater Drainage"
"6ab69dd4-abfe-4044-b619-0a00d64aa304","","not-started","","folder","TRUE","FALSE","ITP-012 - Hot Mix Asphalt"
"549a05ad-fc74-4d9d-9e1f-730b0de9c69f","","not-started","ITP-012 - Hot Mix Asphalt","checklist","FALSE","FALSE","ITP-012 - Hot Mix Asphalt","ITP-012 - Hot Mix Asphalt"
"76670786-3e55-453b-80a3-dcd97e3ac3f2","","not-started","","folder","TRUE","FALSE","ITP-014 - Subsurface Drainage"
"8061b088-8ea4-4730-9192-0d3f60a8ce52","","not-started","ITP-014 - Subsurface Drainage","checklist","FALSE","FALSE","ITP-014 - Subsurface Drainage","ITP-014 - Subsurface Drainage"
"8456c303-1209-40f2-8187-9687e2a45dc2","","not-started","","folder","TRUE","FALSE","ITP-015 - Kerb and Channel"
"a61d76f1-06d8-4060-b656-62091bd21d61","","not-started","ITP-015 - Kerb and Channel","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","ITP-015 - Kerb and Channel"
"c528d3dd-5d23-4728-9df1-d3c5d1b68a1c","","not-started","","folder","TRUE","FALSE","ITP-019 - Line Marking"
"3c8419d1-48f4-4fc7-a468-182e892caab0","","not-started","ITP-019 - Line Marking","checklist","FALSE","FALSE","ITP-019 - Line Marking","ITP-019 - Line Marking"
"3ad6c242-db57-4518-89fe-4e6cf7aa7d6e","","work-in-progress","","folder","TRUE","FALSE","ITP-027 - Pile Footing Construction"
"beb544e7-a603-485a-a12f-497d0326ba26","","work-in-progress","ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","ITP-027 - Pile Footing Construction"
